name,sounding_cm,ullage_cm,trim,heel,volume_m3,correction_m3
BLG_Bilge_Tank,cm,cm,-6,,m3,
BLG_Bilge_Tank,cm,cm,-4,,m3,
BLG_Bilge_Tank,cm,cm,-3,,m3,
BLG_Bilge_Tank,cm,cm,-2,,m3,
BLG_Bilge_Tank,cm,cm,-1,,m3,
BLG_Bilge_Tank,cm,cm,0,,m3,
BLG_Bilge_Tank,cm,cm,1,,m3,
BLG_Bilge_Tank,cm,cm,2,,m3,
BLG_Bilge_Tank,cm,cm,,P2,,m3
BLG_Bilge_Tank,cm,cm,,P1,,m3
BLG_Bilge_Tank,cm,cm,,S-1,,m3
BLG_Bilge_Tank,cm,cm,,S-2,,m3
BLG_Bilge_Tank,0,475,-6,,0.2,
BLG_Bilge_Tank,0,475,-4,,0.1,
BLG_Bilge_Tank,0,475,-3,,0.1,
BLG_Bilge_Tank,0,475,-2,,0.1,
BLG_Bilge_Tank,0,475,-1,,0.1,
BLG_Bilge_Tank,0,475,0,,0.1,
BLG_Bilge_Tank,0,475,1,,0.2,
BLG_Bilge_Tank,0,475,2,,0.2,
BLG_Bilge_Tank,0,475,,P2,,0.0
BLG_Bilge_Tank,0,475,,P1,,0.0
BLG_Bilge_Tank,0,475,,S-1,,0.0
BLG_Bilge_Tank,0,475,,S-2,,0.1
BLG_Bilge_Tank,5,470,-6,,0.6,
BLG_Bilge_Tank,5,470,-4,,0.5,
BLG_Bilge_Tank,5,470,-3,,0.4,
BLG_Bilge_Tank,5,470,-2,,0.4,
BLG_Bilge_Tank,5,470,-1,,0.4,
BLG_Bilge_Tank,5,470,0,,0.4,
BLG_Bilge_Tank,5,470,1,,0.4,
BLG_Bilge_Tank,5,470,2,,0.4,
BLG_Bilge_Tank,5,470,,P2,,-0.1
BLG_Bilge_Tank,5,470,,P1,,0.0
BLG_Bilge_Tank,5,470,,S-1,,0.1
BLG_Bilge_Tank,5,470,,S-2,,0.1
BLG_Bilge_Tank,10,465,-6,,1.0,
BLG_Bilge_Tank,10,465,-4,,0.9,
BLG_Bilge_Tank,10,465,-3,,0.9,
BLG_Bilge_Tank,10,465,-2,,0.8,
BLG_Bilge_Tank,10,465,-1,,0.8,
BLG_Bilge_Tank,10,465,0,,0.8,
BLG_Bilge_Tank,10,465,1,,0.8,
BLG_Bilge_Tank,10,465,2,,0.8,
BLG_Bilge_Tank,10,465,,P2,,-0.1
BLG_Bilge_Tank,10,465,,P1,,-0.1
BLG_Bilge_Tank,10,465,,S-1,,0.1
BLG_Bilge_Tank,10,465,,S-2,,0.2
BLG_Bilge_Tank,15,460,-6,,1.6,
BLG_Bilge_Tank,15,460,-4,,1.4,
BLG_Bilge_Tank,15,460,-3,,1.4,
BLG_Bilge_Tank,15,460,-2,,1.3,
BLG_Bilge_Tank,15,460,-1,,1.3,
BLG_Bilge_Tank,15,460,0,,1.2,
BLG_Bilge_Tank,15,460,1,,1.2,
BLG_Bilge_Tank,15,460,2,,1.2,
BLG_Bilge_Tank,15,460,,P2,,-0.1
BLG_Bilge_Tank,15,460,,P1,,-0.1
BLG_Bilge_Tank,15,460,,S-1,,0.1
BLG_Bilge_Tank,15,460,,S-2,,0.2
BLG_Bilge_Tank,20,455,-6,,2.2,
BLG_Bilge_Tank,20,455,-4,,2.0,
BLG_Bilge_Tank,20,455,-3,,1.9,
BLG_Bilge_Tank,20,455,-2,,1.9,
BLG_Bilge_Tank,20,455,-1,,1.8,
BLG_Bilge_Tank,20,455,0,,1.7,
BLG_Bilge_Tank,20,455,1,,1.7,
BLG_Bilge_Tank,20,455,2,,1.6,
BLG_Bilge_Tank,20,455,,P2,,-0.2
BLG_Bilge_Tank,20,455,,P1,,-0.1
BLG_Bilge_Tank,20,455,,S-1,,0.1
BLG_Bilge_Tank,20,455,,S-2,,0.2
BLG_Bilge_Tank,25,450,-6,,2.9,
BLG_Bilge_Tank,25,450,-4,,2.7,
BLG_Bilge_Tank,25,450,-3,,2.6,
BLG_Bilge_Tank,25,450,-2,,2.5,
BLG_Bilge_Tank,25,450,-1,,2.4,
BLG_Bilge_Tank,25,450,0,,2.3,
BLG_Bilge_Tank,25,450,1,,2.3,
BLG_Bilge_Tank,25,450,2,,2.2,
BLG_Bilge_Tank,25,450,,P2,,-0.2
BLG_Bilge_Tank,25,450,,P1,,-0.1
BLG_Bilge_Tank,25,450,,S-1,,0.1
BLG_Bilge_Tank,25,450,,S-2,,0.3
BLG_Bilge_Tank,30,445,-6,,3.6,
BLG_Bilge_Tank,30,445,-4,,3.4,
BLG_Bilge_Tank,30,445,-3,,3.3,
BLG_Bilge_Tank,30,445,-2,,3.2,
BLG_Bilge_Tank,30,445,-1,,3.1,
BLG_Bilge_Tank,30,445,0,,3.0,
BLG_Bilge_Tank,30,445,1,,2.9,
BLG_Bilge_Tank,30,445,2,,2.8,
BLG_Bilge_Tank,30,445,,P2,,-0.2
BLG_Bilge_Tank,30,445,,P1,,-0.1
BLG_Bilge_Tank,30,445,,S-1,,0.1
