name,sounding_cm,ullage_cm,trim,heel,volume_m3,correction_m3
CD2_N2_Cofferdam,cm,cm,-6,nan,m3,nan
CD2_N2_Cofferdam,cm,cm,-4,nan,m3,nan
CD2_N2_Cofferdam,cm,cm,-3,nan,m3,nan
CD2_N2_Cofferdam,cm,cm,-2,nan,m3,nan
CD2_N2_Cofferdam,cm,cm,-1,nan,m3,nan
CD2_N2_Cofferdam,cm,cm,0,nan,m3,nan
CD2_N2_Cofferdam,cm,cm,1,nan,m3,nan
CD2_N2_Cofferdam,cm,cm,2,nan,m3,nan
CD2_N2_Cofferdam,cm,cm,nan,P2,nan,m3
CD2_N2_Cofferdam,cm,cm,nan,P1,nan,m3
CD2_N2_Cofferdam,cm,cm,nan,S=1,nan,m3
CD2_N2_Cofferdam,cm,cm,nan,S=2,nan,m3
CD2_N2_Cofferdam,0,488,-6,nan,0.1,nan
CD2_N2_Cofferdam,0,488,-4,nan,0.1,nan
CD2_N2_Cofferdam,0,488,-3,nan,0.1,nan
CD2_N2_Cofferdam,0,488,-2,nan,0.2,nan
CD2_N2_Cofferdam,0,488,-1,nan,0.4,nan
CD2_N2_Cofferdam,0,488,0,nan,1.3,nan
CD2_N2_Cofferdam,0,488,1,nan,2.4,nan
CD2_N2_Cofferdam,0,488,2,nan,3.6,nan
CD2_N2_Cofferdam,0,488,nan,P2,nan,1.0
CD2_N2_Cofferdam,0,488,nan,P1,nan,0.5
CD2_N2_Cofferdam,0,488,nan,S=1,nan,-0.3
CD2_N2_Cofferdam,0,488,nan,S=2,nan,-0.4
CD2_N2_Cofferdam,5,483,-6,nan,0.3,nan
CD2_N2_Cofferdam,5,483,-4,nan,0.4,nan
CD2_N2_Cofferdam,5,483,-3,nan,0.6,nan
CD2_N2_Cofferdam,5,483,-2,nan,0.9,nan
CD2_N2_Cofferdam,5,483,-1,nan,1.8,nan
CD2_N2_Cofferdam,5,483,0,nan,2.9,nan
CD2_N2_Cofferdam,5,483,1,nan,4.1,nan
CD2_N2_Cofferdam,5,483,2,nan,5.3,nan
CD2_N2_Cofferdam,5,483,nan,P2,nan,1.1
CD2_N2_Cofferdam,5,483,nan,P1,nan,0.5
CD2_N2_Cofferdam,5,483,nan,S=1,nan,-0.4
CD2_N2_Cofferdam,5,483,nan,S=2,nan,-0.7
CD2_N2_Cofferdam,10,478,-6,nan,0.7,nan
CD2_N2_Cofferdam,10,478,-4,nan,1.1,nan
CD2_N2_Cofferdam,10,478,-3,nan,1.5,nan
CD2_N2_Cofferdam,10,478,-2,nan,2.3,nan
CD2_N2_Cofferdam,10,478,-1,nan,3.5,nan
CD2_N2_Cofferdam,10,478,0,nan,4.7,nan
