name,sounding_cm,ullage_cm,trim,heel,volume_m3,correction_m3
CLR1_ME_CYL_STORE_1,cm,cm,-6,nan,m3,nan
CLR1_ME_CYL_STORE_1,cm,cm,-4,nan,m3,nan
CLR1_ME_CYL_STORE_1,cm,cm,-3,nan,m3,nan
CLR1_ME_CYL_STORE_1,cm,cm,-2,nan,m3,nan
CLR1_ME_CYL_STORE_1,cm,cm,-1,nan,m3,nan
CLR1_ME_CYL_STORE_1,cm,cm,0,nan,m3,nan
CLR1_ME_CYL_STORE_1,cm,cm,1,nan,m3,nan
CLR1_ME_CYL_STORE_1,cm,cm,2,nan,m3,nan
CLR1_ME_CYL_STORE_1,cm,cm,nan,P2,nan,m3
CLR1_ME_CYL_STORE_1,cm,cm,nan,P1,nan,m3
CLR1_ME_CYL_STORE_1,cm,cm,nan,S-1,nan,m3
CLR1_ME_CYL_STORE_1,cm,cm,nan,S-2,nan,m3
CLR1_ME_CYL_STORE_1,0,475,-6,nan,0.0,nan
CLR1_ME_CYL_STORE_1,0,475,-4,nan,0.0,nan
CLR1_ME_CYL_STORE_1,0,475,-3,nan,0.0,nan
CLR1_ME_CYL_STORE_1,0,475,-2,nan,0.0,nan
CLR1_ME_CYL_STORE_1,0,475,-1,nan,0.0,nan
CLR1_ME_CYL_STORE_1,0,475,0,nan,0.0,nan
CLR1_ME_CYL_STORE_1,0,475,1,nan,0.0,nan
CLR1_ME_CYL_STORE_1,0,475,2,nan,0.0,nan
CLR1_ME_CYL_STORE_1,0,475,nan,P2,nan,0.0
CLR1_ME_CYL_STORE_1,0,475,nan,P1,nan,0.0
CLR1_ME_CYL_STORE_1,0,475,nan,S-1,nan,0.0
CLR1_ME_CYL_STORE_1,0,475,nan,S-2,nan,0.0
CLR1_ME_CYL_STORE_1,5,470,-6,nan,0.25,nan
CLR1_ME_CYL_STORE_1,5,470,-4,nan,0.25,nan
CLR1_ME_CYL_STORE_1,5,470,-3,nan,0.25,nan
CLR1_ME_CYL_STORE_1,5,470,-2,nan,0.25,nan
CLR1_ME_CYL_STORE_1,5,470,-1,nan,0.25,nan
CLR1_ME_CYL_STORE_1,5,470,0,nan,0.25,nan
CLR1_ME_CYL_STORE_1,5,470,1,nan,0.25,nan
CLR1_ME_CYL_STORE_1,5,470,2,nan,0.25,nan
CLR1_ME_CYL_STORE_1,5,470,nan,P2,nan,0.0
CLR1_ME_CYL_STORE_1,5,470,nan,P1,nan,0.0
CLR1_ME_CYL_STORE_1,5,470,nan,S-1,nan,0.0
CLR1_ME_CYL_STORE_1,5,470,nan,S-2,nan,0.0
CLR1_ME_CYL_STORE_1,10,465,-6,nan,0.5,nan
CLR1_ME_CYL_STORE_1,10,465,-4,nan,0.5,nan
CLR1_ME_CYL_STORE_1,10,465,-3,nan,0.5,nan
CLR1_ME_CYL_STORE_1,10,465,-2,nan,0.5,nan
CLR1_ME_CYL_STORE_1,10,465,-1,nan,0.5,nan
CLR1_ME_CYL_STORE_1,10,465,0,nan,0.5,nan
CLR1_ME_CYL_STORE_1,10,465,1,nan,0.5,nan
CLR1_ME_CYL_STORE_1,10,465,2,nan,0.5,nan
CLR1_ME_CYL_STORE_1,10,465,nan,P2,nan,0.0
CLR1_ME_CYL_STORE_1,10,465,nan,P1,nan,0.0
CLR1_ME_CYL_STORE_1,10,465,nan,S-1,nan,0.0
CLR1_ME_CYL_STORE_1,10,465,nan,S-2,nan,0.0
CLR1_ME_CYL_STORE_1,15,460,-6,nan,0.75,nan
CLR1_ME_CYL_STORE_1,15,460,-4,nan,0.75,nan
CLR1_ME_CYL_STORE_1,15,460,-3,nan,0.75,nan
CLR1_ME_CYL_STORE_1,15,460,-2,nan,0.75,nan
CLR1_ME_CYL_STORE_1,15,460,-1,nan,0.75,nan
CLR1_ME_CYL_STORE_1,15,460,0,nan,0.75,nan
CLR1_ME_CYL_STORE_1,15,460,1,nan,0.75,nan
CLR1_ME_CYL_STORE_1,15,460,2,nan,0.75,nan
CLR1_ME_CYL_STORE_1,15,460,nan,P2,nan,0.0
CLR1_ME_CYL_STORE_1,15,460,nan,P1,nan,0.0
CLR1_ME_CYL_STORE_1,15,460,nan,S-1,nan,0.0
CLR1_ME_CYL_STORE_1,15,460,nan,S-2,nan,0.0
CLR1_ME_CYL_STORE_1,20,455,-6,nan,1.0,nan
CLR1_ME_CYL_STORE_1,20,455,-4,nan,1.0,nan
CLR1_ME_CYL_STORE_1,20,455,-3,nan,1.0,nan
CLR1_ME_CYL_STORE_1,20,455,-2,nan,1.0,nan
CLR1_ME_CYL_STORE_1,20,455,-1,nan,1.0,nan
CLR1_ME_CYL_STORE_1,20,455,0,nan,1.0,nan
CLR1_ME_CYL_STORE_1,20,455,1,nan,1.0,nan
CLR1_ME_CYL_STORE_1,20,455,2,nan,1.0,nan
CLR1_ME_CYL_STORE_1,20,455,nan,P2,nan,0.0
CLR1_ME_CYL_STORE_1,20,455,nan,P1,nan,0.0
CLR1_ME_CYL_STORE_1,20,455,nan,S-1,nan,0.0
CLR1_ME_CYL_STORE_1,20,455,nan,S-2,nan,0.0
CLR1_ME_CYL_STORE_1,25,450,-6,nan,1.25,nan
CLR1_ME_CYL_STORE_1,25,450,-4,nan,1.25,nan
CLR1_ME_CYL_STORE_1,25,450,-3,nan,1.25,nan
CLR1_ME_CYL_STORE_1,25,450,-2,nan,1.25,nan
CLR1_ME_CYL_STORE_1,25,450,-1,nan,1.25,nan
CLR1_ME_CYL_STORE_1,25,450,0,nan,1.25,nan
CLR1_ME_CYL_STORE_1,25,450,1,nan,1.25,nan
CLR1_ME_CYL_STORE_1,25,450,2,nan,1.25,nan
CLR1_ME_CYL_STORE_1,25,450,nan,P2,nan,0.0
CLR1_ME_CYL_STORE_1,25,450,nan,P1,nan,0.0
CLR1_ME_CYL_STORE_1,25,450,nan,S-1,nan,0.0
CLR1_ME_CYL_STORE_1,25,450,nan,S-2,nan,0.0
CLR1_ME_CYL_STORE_1,30,445,-6,nan,1.5,nan
CLR1_ME_CYL_STORE_1,30,445,-4,nan,1.5,nan
CLR1_ME_CYL_STORE_1,30,445,-3,nan,1.5,nan
CLR1_ME_CYL_STORE_1,30,445,-2,nan,1.5,nan
