name,sounding_cm,ullage_cm,trim,heel,volume_m3,correction_m3
CLV2_Cyl_Oil_Service_tk_2,cm,cm,-6,nan,m3,nan
CLV2_Cyl_Oil_Service_tk_2,cm,cm,-4,nan,m3,nan
CLV2_Cyl_Oil_Service_tk_2,cm,cm,-3,nan,m3,nan
CLV2_Cyl_Oil_Service_tk_2,cm,cm,-2,nan,m3,nan
CLV2_Cyl_Oil_Service_tk_2,cm,cm,-1,nan,m3,nan
CLV2_Cyl_Oil_Service_tk_2,cm,cm,0,nan,m3,nan
CLV2_Cyl_Oil_Service_tk_2,cm,cm,1,nan,m3,nan
CLV2_Cyl_Oil_Service_tk_2,cm,cm,2,nan,m3,nan
CLV2_Cyl_Oil_Service_tk_2,cm,cm,nan,P2,nan,m3
CLV2_Cyl_Oil_Service_tk_2,cm,cm,nan,P1,nan,m3
CLV2_Cyl_Oil_Service_tk_2,cm,cm,nan,S-1,nan,m3
CLV2_Cyl_Oil_Service_tk_2,cm,cm,nan,S-2,nan,m3
CLV2_Cyl_Oil_Service_tk_2,0,321,-6,nan,0.0,nan
CLV2_Cyl_Oil_Service_tk_2,0,321,-4,nan,0.0,nan
CLV2_Cyl_Oil_Service_tk_2,0,321,-3,nan,0.0,nan
CLV2_Cyl_Oil_Service_tk_2,0,321,-2,nan,0.0,nan
CLV2_Cyl_Oil_Service_tk_2,0,321,-1,nan,0.0,nan
CLV2_Cyl_Oil_Service_tk_2,0,321,0,nan,0.0,nan
CLV2_Cyl_Oil_Service_tk_2,0,321,1,nan,0.0,nan
CLV2_Cyl_Oil_Service_tk_2,0,321,2,nan,0.0,nan
CLV2_Cyl_Oil_Service_tk_2,0,321,nan,P2,nan,0.0
CLV2_Cyl_Oil_Service_tk_2,0,321,nan,P1,nan,0.0
CLV2_Cyl_Oil_Service_tk_2,0,321,nan,S-1,nan,0.0
CLV2_Cyl_Oil_Service_tk_2,0,321,nan,S-2,nan,0.0
CLV2_Cyl_Oil_Service_tk_2,10,311,-6,nan,0.2,nan
