name,sounding_cm,ullage_cm,trim,heel,volume_m3,correction_m3
EGMGO_E-G_MGO_Tank,cm,cm,-6,nan,m3,nan
EGMGO_E-G_MGO_Tank,cm,cm,-4,nan,m3,nan
EGMGO_E-G_MGO_Tank,cm,cm,-3,nan,m3,nan
EGMGO_E-G_MGO_Tank,cm,cm,-2,nan,m3,nan
EGMGO_E-G_MGO_Tank,cm,cm,-1,nan,m3,nan
EGMGO_E-G_MGO_Tank,cm,cm,0,nan,m3,nan
EGMGO_E-G_MGO_Tank,cm,cm,1,nan,m3,nan
EGMGO_E-G_MGO_Tank,cm,cm,2,nan,m3,nan
EGMGO_E-G_MGO_Tank,cm,cm,nan,P2,nan,m3
EGMGO_E-G_MGO_Tank,cm,cm,nan,P1,nan,m3
EGMGO_E-G_MGO_Tank,cm,cm,nan,S-1,nan,m3
EGMGO_E-G_MGO_Tank,cm,cm,nan,S-2,nan,m3
EGMGO_E-G_MGO_Tank,30,130,-6,nan,0.36,nan
EGMGO_E-G_MGO_Tank,30,130,-4,nan,0.36,nan
EGMGO_E-G_MGO_Tank,30,130,-3,nan,0.36,nan
EGMGO_E-G_MGO_Tank,30,130,-2,nan,0.36,nan
EGMGO_E-G_MGO_Tank,30,130,-1,nan,0.36,nan
EGMGO_E-G_MGO_Tank,30,130,0,nan,0.36,nan
EGMGO_E-G_MGO_Tank,30,130,1,nan,0.36,nan
EGMGO_E-G_MGO_Tank,30,130,2,nan,0.36,nan
EGMGO_E-G_MGO_Tank,30,130,nan,P2,nan,0.0
EGMGO_E-G_MGO_Tank,30,130,nan,P1,nan,0.0
EGMGO_E-G_MGO_Tank,30,130,nan,S-1,nan,0.0
EGMGO_E-G_MGO_Tank,30,130,nan,S-2,nan,0.0
EGMGO_E-G_MGO_Tank,40,120,-6,nan,0.48,nan
EGMGO_E-G_MGO_Tank,40,120,-4,nan,0.48,nan
EGMGO_E-G_MGO_Tank,40,120,-3,nan,0.48,nan
