name,sounding_cm,ullage_cm,trim,heel,volume_m3,correction_m3
FO1S_NO1_HFO_TK_S,cm,cm,-6,nan,m3,nan
FO1S_NO1_HFO_TK_S,cm,cm,-4,nan,m3,nan
FO1S_NO1_HFO_TK_S,cm,cm,-3,nan,m3,nan
FO1S_NO1_HFO_TK_S,cm,cm,-2,nan,m3,nan
FO1S_NO1_HFO_TK_S,cm,cm,-1,nan,m3,nan
FO1S_NO1_HFO_TK_S,cm,cm,0,nan,m3,nan
FO1S_NO1_HFO_TK_S,cm,cm,1,nan,m3,nan
FO1S_NO1_HFO_TK_S,cm,cm,2,nan,m3,nan
FO1S_NO1_HFO_TK_S,cm,cm,nan,P2,nan,m3
FO1S_NO1_HFO_TK_S,cm,cm,nan,P1,nan,m3
FO1S_NO1_HFO_TK_S,cm,cm,nan,S-1,nan,m3
FO1S_NO1_HFO_TK_S,cm,cm,nan,S-2,nan,m3
FO1S_NO1_HFO_TK_S,0,1428,-6,nan,0.2,nan
FO1S_NO1_HFO_TK_S,0,1428,-4,nan,0.3,nan
FO1S_NO1_HFO_TK_S,0,1428,-3,nan,0.4,nan
FO1S_NO1_HFO_TK_S,0,1428,-2,nan,0.5,nan
FO1S_NO1_HFO_TK_S,0,1428,-1,nan,0.9,nan
FO1S_NO1_HFO_TK_S,0,1428,0,nan,1.3,nan
FO1S_NO1_HFO_TK_S,0,1428,1,nan,1.8,nan
FO1S_NO1_HFO_TK_S,0,1428,2,nan,2.2,nan
FO1S_NO1_HFO_TK_S,0,1428,nan,P2,nan,-1.0
FO1S_NO1_HFO_TK_S,0,1428,nan,P1,nan,-0.8
FO1S_NO1_HFO_TK_S,0,1428,nan,S-1,nan,0.8
FO1S_NO1_HFO_TK_S,0,1428,nan,S-2,nan,1.6
FO1S_NO1_HFO_TK_S,10,1418,-6,nan,1.6,nan
FO1S_NO1_HFO_TK_S,10,1418,-4,nan,2.3,nan
FO1S_NO1_HFO_TK_S,10,1418,-3,nan,2.8,nan
FO1S_NO1_HFO_TK_S,10,1418,-2,nan,3.2,nan
FO1S_NO1_HFO_TK_S,10,1418,-1,nan,3.6,nan
FO1S_NO1_HFO_TK_S,10,1418,0,nan,4.0,nan
FO1S_NO1_HFO_TK_S,10,1418,1,nan,4.5,nan
FO1S_NO1_HFO_TK_S,10,1418,2,nan,4.9,nan
FO1S_NO1_HFO_TK_S,10,1418,nan,P2,nan,-1.6
