name,sounding_cm,ullage_cm,trim,heel,volume_m3,correction_m3
FO3C_NO3_HFO_TK,cm,cm,-6,nan,m3,nan
FO3C_NO3_HFO_TK,cm,cm,-4,nan,m3,nan
FO3C_NO3_HFO_TK,cm,cm,-3,nan,m3,nan
FO3C_NO3_HFO_TK,cm,cm,-2,nan,m3,nan
FO3C_NO3_HFO_TK,cm,cm,-1,nan,m3,nan
FO3C_NO3_HFO_TK,cm,cm,0,nan,m3,nan
FO3C_NO3_HFO_TK,cm,cm,1,nan,m3,nan
FO3C_NO3_HFO_TK,cm,cm,2,nan,m3,nan
FO3C_NO3_HFO_TK,cm,cm,nan,P2,nan,m3
FO3C_NO3_HFO_TK,cm,cm,nan,P1,nan,m3
FO3C_NO3_HFO_TK,cm,cm,nan,S-1,nan,m3
FO3C_NO3_HFO_TK,cm,cm,nan,S-2,nan,m3
FO3C_NO3_HFO_TK,0,2191,-6,nan,1.0,nan
FO3C_NO3_HFO_TK,0,2191,-4,nan,1.3,nan
FO3C_NO3_HFO_TK,0,2191,-3,nan,1.7,nan
FO3C_NO3_HFO_TK,0,2191,-2,nan,2.2,nan
FO3C_NO3_HFO_TK,0,2191,-1,nan,2.7,nan
FO3C_NO3_HFO_TK,0,2191,0,nan,3.3,nan
FO3C_NO3_HFO_TK,0,2191,1,nan,3.8,nan
FO3C_NO3_HFO_TK,0,2191,2,nan,4.3,nan
FO3C_NO3_HFO_TK,0,2191,nan,P2,nan,-0.3
FO3C_NO3_HFO_TK,0,2191,nan,P1,nan,-0.9
FO3C_NO3_HFO_TK,0,2191,nan,S-1,nan,1.6
FO3C_NO3_HFO_TK,0,2191,nan,S-2,nan,3.9
FO3C_NO3_HFO_TK,10,2181,-6,nan,5.3,nan
FO3C_NO3_HFO_TK,10,2181,-4,nan,6.4,nan
FO3C_NO3_HFO_TK,10,2181,-3,nan,6.9,nan
FO3C_NO3_HFO_TK,10,2181,-2,nan,7.4,nan
FO3C_NO3_HFO_TK,10,2181,-1,nan,7.9,nan
FO3C_NO3_HFO_TK,10,2181,0,nan,8.4,nan
FO3C_NO3_HFO_TK,10,2181,1,nan,9.0,nan
FO3C_NO3_HFO_TK,10,2181,2,nan,9.5,nan
FO3C_NO3_HFO_TK,10,2181,nan,P2,nan,-2.6
FO3C_NO3_HFO_TK,10,2181,nan,P1,nan,-2.1
FO3C_NO3_HFO_TK,10,2181,nan,S-1,nan,1.4
FO3C_NO3_HFO_TK,10,2181,nan,S-2,nan,3.0
FO3C_NO3_HFO_TK,20,2171,-6,nan,10.5,nan
FO3C_NO3_HFO_TK,20,2171,-4,nan,11.5,nan
FO3C_NO3_HFO_TK,20,2171,-3,nan,12.0,nan
FO3C_NO3_HFO_TK,20,2171,-2,nan,12.5,nan
FO3C_NO3_HFO_TK,20,2171,-1,nan,13.1,nan
FO3C_NO3_HFO_TK,20,2171,0,nan,13.6,nan
FO3C_NO3_HFO_TK,20,2171,1,nan,14.1,nan
FO3C_NO3_HFO_TK,20,2171,2,nan,14.6,nan
FO3C_NO3_HFO_TK,20,2171,nan,P2,nan,-3.8
FO3C_NO3_HFO_TK,20,2171,nan,P1,nan,-2.1
FO3C_NO3_HFO_TK,20,2171,nan,S-1,nan,1.4
FO3C_NO3_HFO_TK,20,2171,nan,S-2,nan,2.9
FO3C_NO3_HFO_TK,30,2161,-6,nan,15.6,nan
FO3C_NO3_HFO_TK,30,2161,-4,nan,16.6,nan
FO3C_NO3_HFO_TK,30,2161,-3,nan,17.1,nan
FO3C_NO3_HFO_TK,30,2161,-2,nan,17.6,nan
FO3C_NO3_HFO_TK,30,2161,-1,nan,18.1,nan
FO3C_NO3_HFO_TK,30,2161,0,nan,18.6,nan
FO3C_NO3_HFO_TK,30,2161,1,nan,19.1,nan
FO3C_NO3_HFO_TK,30,2161,2,nan,19.6,nan
FO3C_NO3_HFO_TK,30,2161,nan,P2,nan,-4.0
FO3C_NO3_HFO_TK,30,2161,nan,P1,nan,-2.1
FO3C_NO3_HFO_TK,30,2161,nan,S-1,nan,1.4
FO3C_NO3_HFO_TK,30,2161,nan,S-2,nan,2.9
FO3C_NO3_HFO_TK,40,2151,-6,nan,20.7,nan
FO3C_NO3_HFO_TK,40,2151,-4,nan,21.6,nan
FO3C_NO3_HFO_TK,40,2151,-3,nan,22.1,nan
FO3C_NO3_HFO_TK,40,2151,-2,nan,22.6,nan
FO3C_NO3_HFO_TK,40,2151,-1,nan,23.1,nan
FO3C_NO3_HFO_TK,40,2151,0,nan,23.6,nan
FO3C_NO3_HFO_TK,40,2151,1,nan,24.0,nan
FO3C_NO3_HFO_TK,40,2151,2,nan,24.5,nan
FO3C_NO3_HFO_TK,40,2151,nan,P2,nan,-4.0
FO3C_NO3_HFO_TK,40,2151,nan,P1,nan,-2.0
FO3C_NO3_HFO_TK,40,2151,nan,S-1,nan,1.4
FO3C_NO3_HFO_TK,40,2151,nan,S-2,nan,2.9
FO3C_NO3_HFO_TK,50,2141,-6,nan,25.7,nan
FO3C_NO3_HFO_TK,50,2141,-4,nan,26.6,nan
FO3C_NO3_HFO_TK,50,2141,-3,nan,27.1,nan
FO3C_NO3_HFO_TK,50,2141,-2,nan,27.5,nan
FO3C_NO3_HFO_TK,50,2141,-1,nan,28.0,nan
FO3C_NO3_HFO_TK,50,2141,0,nan,28.5,nan
FO3C_NO3_HFO_TK,50,2141,1,nan,28.9,nan
FO3C_NO3_HFO_TK,50,2141,2,nan,29.4,nan
FO3C_NO3_HFO_TK,50,2141,nan,P2,nan,-3.9
FO3C_NO3_HFO_TK,50,2141,nan,P1,nan,-2.0
FO3C_NO3_HFO_TK,50,2141,nan,S-1,nan,1.3
FO3C_NO3_HFO_TK,50,2141,nan,S-2,nan,3.8
FO3C_NO3_HFO_TK,60,2131,-6,nan,30.5,nan
FO3C_NO3_HFO_TK,60,2131,-4,nan,31.5,nan
FO3C_NO3_HFO_TK,60,2131,-3,nan,31.9,nan
FO3C_NO3_HFO_TK,60,2131,-2,nan,32.4,nan
FO3C_NO3_HFO_TK,60,2131,-1,nan,32.8,nan
FO3C_NO3_HFO_TK,60,2131,0,nan,33.3,nan
FO3C_NO3_HFO_TK,60,2131,1,nan,33.7,nan
FO3C_NO3_HFO_TK,60,2131,2,nan,34.2,nan
FO3C_NO3_HFO_TK,60,2131,nan,P2,nan,-3.3
FO3C_NO3_HFO_TK,60,2131,nan,P1,nan,-2.0
FO3C_NO3_HFO_TK,60,2131,nan,S-1,nan,1.4
FO3C_NO3_HFO_TK,60,2131,nan,S-2,nan,4.8
FO3C_NO3_HFO_TK,70,2121,-6,nan,35.4,nan
FO3C_NO3_HFO_TK,70,2121,-4,nan,36.3,nan
FO3C_NO3_HFO_TK,70,2121,-3,nan,36.7,nan
FO3C_NO3_HFO_TK,70,2121,-2,nan,37.1,nan
FO3C_NO3_HFO_TK,70,2121,-1,nan,37.6,nan
FO3C_NO3_HFO_TK,70,2121,0,nan,38.1,nan
FO3C_NO3_HFO_TK,70,2121,1,nan,38.4,nan
FO3C_NO3_HFO_TK,70,2121,2,nan,38.9,nan
FO3C_NO3_HFO_TK,70,2121,nan,P2,nan,-2.1
FO3C_NO3_HFO_TK,70,2121,nan,P1,nan,-1.6
FO3C_NO3_HFO_TK,70,2121,nan,S-1,nan,2.4
FO3C_NO3_HFO_TK,70,2121,nan,S-2,nan,5.9
FO3C_NO3_HFO_TK,80,2111,-6,nan,40.2,nan
FO3C_NO3_HFO_TK,80,2111,-4,nan,41.1,nan
FO3C_NO3_HFO_TK,80,2111,-3,nan,41.5,nan
FO3C_NO3_HFO_TK,80,2111,-2,nan,42.0,nan
FO3C_NO3_HFO_TK,80,2111,-1,nan,42.5,nan
FO3C_NO3_HFO_TK,80,2111,0,nan,43.2,nan
FO3C_NO3_HFO_TK,80,2111,1,nan,43.7,nan
FO3C_NO3_HFO_TK,80,2111,2,nan,44.3,nan
FO3C_NO3_HFO_TK,80,2111,nan,P2,nan,-1.4
FO3C_NO3_HFO_TK,80,2111,nan,P1,nan,-0.9
FO3C_NO3_HFO_TK,80,2111,nan,S-1,nan,3.0
FO3C_NO3_HFO_TK,80,2111,nan,S-2,nan,7.2
FO3C_NO3_HFO_TK,90,2101,-6,nan,46.2,nan
FO3C_NO3_HFO_TK,90,2101,-4,nan,47.4,nan
FO3C_NO3_HFO_TK,90,2101,-3,nan,48.0,nan
FO3C_NO3_HFO_TK,90,2101,-2,nan,48.5,nan
FO3C_NO3_HFO_TK,90,2101,-1,nan,49.1,nan
FO3C_NO3_HFO_TK,90,2101,0,nan,49.8,nan
FO3C_NO3_HFO_TK,90,2101,1,nan,50.3,nan
FO3C_NO3_HFO_TK,90,2101,2,nan,50.9,nan
FO3C_NO3_HFO_TK,90,2101,nan,P2,nan,-1.6
FO3C_NO3_HFO_TK,90,2101,nan,P1,nan,-1.9
FO3C_NO3_HFO_TK,90,2101,nan,S-1,nan,2.1
FO3C_NO3_HFO_TK,90,2101,nan,S-2,nan,6.0
FO3C_NO3_HFO_TK,100,2091,-6,nan,52.8,nan
FO3C_NO3_HFO_TK,100,2091,-4,nan,54.0,nan
FO3C_NO3_HFO_TK,100,2091,-3,nan,54.6,nan
FO3C_NO3_HFO_TK,100,2091,-2,nan,55.2,nan
