name,sounding_cm,ullage_cm,trim,heel,volume_m3,correction_m3
FOV1_HFO_SERV_1,cm,cm,-6,nan,m3,nan
FOV1_HFO_SERV_1,cm,cm,-4,nan,m3,nan
FOV1_HFO_SERV_1,cm,cm,-3,nan,m3,nan
FOV1_HFO_SERV_1,cm,cm,-2,nan,m3,nan
FOV1_HFO_SERV_1,cm,cm,-1,nan,m3,nan
FOV1_HFO_SERV_1,cm,cm,0,nan,m3,nan
FOV1_HFO_SERV_1,cm,cm,1,nan,m3,nan
FOV1_HFO_SERV_1,cm,cm,2,nan,m3,nan
FOV1_HFO_SERV_1,cm,cm,nan,P2,nan,m3
FOV1_HFO_SERV_1,cm,cm,nan,P1,nan,m3
FOV1_HFO_SERV_1,cm,cm,nan,S-1,nan,m3
FOV1_HFO_SERV_1,cm,cm,nan,S-2,nan,m3
FOV1_HFO_SERV_1,0,255,-6,nan,1.0,nan
FOV1_HFO_SERV_1,0,255,-4,nan,1.2,nan
FOV1_HFO_SERV_1,0,255,-3,nan,1.2,nan
FOV1_HFO_SERV_1,0,255,-2,nan,1.3,nan
FOV1_HFO_SERV_1,0,255,-1,nan,1.4,nan
FOV1_HFO_SERV_1,0,255,0,nan,1.5,nan
FOV1_HFO_SERV_1,0,255,1,nan,1.5,nan
FOV1_HFO_SERV_1,0,255,2,nan,1.6,nan
FOV1_HFO_SERV_1,0,255,nan,P2,nan,1.4
FOV1_HFO_SERV_1,0,255,nan,P1,nan,0.7
FOV1_HFO_SERV_1,0,255,nan,S-1,nan,-0.7
FOV1_HFO_SERV_1,0,255,nan,S-2,nan,-1.1
FOV1_HFO_SERV_1,5,250,-6,nan,1.7,nan
FOV1_HFO_SERV_1,5,250,-4,nan,1.8,nan
FOV1_HFO_SERV_1,5,250,-3,nan,1.9,nan
FOV1_HFO_SERV_1,5,250,-2,nan,2.0,nan
FOV1_HFO_SERV_1,5,250,-1,nan,2.1,nan
FOV1_HFO_SERV_1,5,250,0,nan,2.1,nan
FOV1_HFO_SERV_1,5,250,1,nan,2.2,nan
FOV1_HFO_SERV_1,5,250,2,nan,2.3,nan
FOV1_HFO_SERV_1,5,250,nan,P2,nan,1.4
FOV1_HFO_SERV_1,5,250,nan,P1,nan,0.7
FOV1_HFO_SERV_1,5,250,nan,S-1,nan,-0.7
FOV1_HFO_SERV_1,5,250,nan,S-2,nan,-1.3
FOV1_HFO_SERV_1,10,245,-6,nan,2.3,nan
FOV1_HFO_SERV_1,10,245,-4,nan,2.5,nan
FOV1_HFO_SERV_1,10,245,-3,nan,2.6,nan
FOV1_HFO_SERV_1,10,245,-2,nan,2.7,nan
FOV1_HFO_SERV_1,10,245,-1,nan,2.7,nan
FOV1_HFO_SERV_1,10,245,0,nan,2.8,nan
FOV1_HFO_SERV_1,10,245,1,nan,2.9,nan
FOV1_HFO_SERV_1,10,245,2,nan,3.0,nan
FOV1_HFO_SERV_1,10,245,nan,P2,nan,1.4
FOV1_HFO_SERV_1,10,245,nan,P1,nan,0.7
FOV1_HFO_SERV_1,10,245,nan,S-1,nan,-0.7
FOV1_HFO_SERV_1,10,245,nan,S-2,nan,-1.4
FOV1_HFO_SERV_1,15,240,-6,nan,3.0,nan
FOV1_HFO_SERV_1,15,240,-4,nan,3.2,nan
FOV1_HFO_SERV_1,15,240,-3,nan,3.3,nan
FOV1_HFO_SERV_1,15,240,-2,nan,3.3,nan
FOV1_HFO_SERV_1,15,240,-1,nan,3.4,nan
FOV1_HFO_SERV_1,15,240,0,nan,3.5,nan
FOV1_HFO_SERV_1,15,240,1,nan,3.6,nan
FOV1_HFO_SERV_1,15,240,2,nan,3.6,nan
FOV1_HFO_SERV_1,15,240,nan,P2,nan,1.4
FOV1_HFO_SERV_1,15,240,nan,P1,nan,0.7
FOV1_HFO_SERV_1,15,240,nan,S-1,nan,-0.7
FOV1_HFO_SERV_1,15,240,nan,S-2,nan,-1.4
FOV1_HFO_SERV_1,20,235,-6,nan,3.7,nan
FOV1_HFO_SERV_1,20,235,-4,nan,3.9,nan
FOV1_HFO_SERV_1,20,235,-3,nan,3.9,nan
FOV1_HFO_SERV_1,20,235,-2,nan,4.0,nan
FOV1_HFO_SERV_1,20,235,-1,nan,4.1,nan
FOV1_HFO_SERV_1,20,235,0,nan,4.2,nan
FOV1_HFO_SERV_1,20,235,1,nan,4.2,nan
FOV1_HFO_SERV_1,20,235,2,nan,4.3,nan
FOV1_HFO_SERV_1,20,235,nan,P2,nan,1.4
FOV1_HFO_SERV_1,20,235,nan,P1,nan,0.7
FOV1_HFO_SERV_1,20,235,nan,S-1,nan,-0.7
FOV1_HFO_SERV_1,20,235,nan,S-2,nan,-1.4
FOV1_HFO_SERV_1,25,230,-6,nan,4.4,nan
FOV1_HFO_SERV_1,25,230,-4,nan,4.5,nan
FOV1_HFO_SERV_1,25,230,-3,nan,4.6,nan
FOV1_HFO_SERV_1,25,230,-2,nan,4.7,nan
FOV1_HFO_SERV_1,25,230,-1,nan,4.8,nan
FOV1_HFO_SERV_1,25,230,0,nan,4.8,nan
FOV1_HFO_SERV_1,25,230,1,nan,4.9,nan
FOV1_HFO_SERV_1,25,230,2,nan,5.0,nan
FOV1_HFO_SERV_1,25,230,nan,P2,nan,1.4
FOV1_HFO_SERV_1,25,230,nan,P1,nan,0.7
FOV1_HFO_SERV_1,25,230,nan,S-1,nan,-0.7
FOV1_HFO_SERV_1,25,230,nan,S-2,nan,-1.4
FOV1_HFO_SERV_1,30,225,-6,nan,5.1,nan
FOV1_HFO_SERV_1,30,225,-4,nan,5.2,nan
FOV1_HFO_SERV_1,30,225,-3,nan,5.3,nan
FOV1_HFO_SERV_1,30,225,-2,nan,5.4,nan
FOV1_HFO_SERV_1,30,225,-1,nan,5.5,nan
FOV1_HFO_SERV_1,30,225,0,nan,5.5,nan
FOV1_HFO_SERV_1,30,225,1,nan,5.6,nan
FOV1_HFO_SERV_1,30,225,2,nan,5.7,nan
FOV1_HFO_SERV_1,30,225,nan,P2,nan,1.4
FOV1_HFO_SERV_1,30,225,nan,P1,nan,0.7
FOV1_HFO_SERV_1,30,225,nan,S-1,nan,-0.7
FOV1_HFO_SERV_1,30,225,nan,S-2,nan,-1.4
FOV1_HFO_SERV_1,35,220,-6,nan,5.7,nan
FOV1_HFO_SERV_1,35,220,-4,nan,5.9,nan
FOV1_HFO_SERV_1,35,220,-3,nan,6.0,nan
FOV1_HFO_SERV_1,35,220,-2,nan,6.1,nan
FOV1_HFO_SERV_1,35,220,-1,nan,6.1,nan
FOV1_HFO_SERV_1,35,220,0,nan,6.2,nan
FOV1_HFO_SERV_1,35,220,1,nan,6.3,nan
FOV1_HFO_SERV_1,35,220,2,nan,6.4,nan
FOV1_HFO_SERV_1,35,220,nan,P2,nan,1.5
FOV1_HFO_SERV_1,35,220,nan,P1,nan,0.7
FOV1_HFO_SERV_1,35,220,nan,S-1,nan,-0.7
FOV1_HFO_SERV_1,35,220,nan,S-2,nan,-1.4
FOV1_HFO_SERV_1,40,215,-6,nan,6.4,nan
FOV1_HFO_SERV_1,40,215,-4,nan,6.6,nan
FOV1_HFO_SERV_1,40,215,-3,nan,6.7,nan
FOV1_HFO_SERV_1,40,215,-2,nan,6.7,nan
FOV1_HFO_SERV_1,40,215,-1,nan,6.8,nan
FOV1_HFO_SERV_1,40,215,0,nan,6.9,nan
FOV1_HFO_SERV_1,40,215,1,nan,7.0,nan
FOV1_HFO_SERV_1,40,215,2,nan,7.1,nan
FOV1_HFO_SERV_1,40,215,nan,P2,nan,1.5
FOV1_HFO_SERV_1,40,215,nan,P1,nan,0.7
FOV1_HFO_SERV_1,40,215,nan,S-1,nan,-0.7
FOV1_HFO_SERV_1,40,215,nan,S-2,nan,-1.4
FOV1_HFO_SERV_1,45,210,-6,nan,7.1,nan
FOV1_HFO_SERV_1,45,210,-4,nan,7.3,nan
FOV1_HFO_SERV_1,45,210,-3,nan,7.4,nan
FOV1_HFO_SERV_1,45,210,-2,nan,7.4,nan
FOV1_HFO_SERV_1,45,210,-1,nan,7.5,nan
FOV1_HFO_SERV_1,45,210,0,nan,7.6,nan
FOV1_HFO_SERV_1,45,210,1,nan,7.7,nan
FOV1_HFO_SERV_1,45,210,2,nan,7.8,nan
FOV1_HFO_SERV_1,45,210,nan,P2,nan,1.5
FOV1_HFO_SERV_1,45,210,nan,P1,nan,0.7
FOV1_HFO_SERV_1,45,210,nan,S-1,nan,-0.7
FOV1_HFO_SERV_1,45,210,nan,S-2,nan,-1.4
FOV1_HFO_SERV_1,50,205,-6,nan,7.8,nan
FOV1_HFO_SERV_1,50,205,-4,nan,8.0,nan
FOV1_HFO_SERV_1,50,205,-3,nan,8.0,nan
FOV1_HFO_SERV_1,50,205,-2,nan,8.1,nan
FOV1_HFO_SERV_1,50,205,-1,nan,8.2,nan
FOV1_HFO_SERV_1,50,205,0,nan,8.3,nan
FOV1_HFO_SERV_1,50,205,1,nan,8.4,nan
FOV1_HFO_SERV_1,50,205,2,nan,8.4,nan
FOV1_HFO_SERV_1,50,205,nan,P2,nan,1.5
FOV1_HFO_SERV_1,50,205,nan,P1,nan,0.7
FOV1_HFO_SERV_1,50,205,nan,S-1,nan,-0.7
FOV1_HFO_SERV_1,50,205,nan,S-2,nan,-1.4
FOV1_HFO_SERV_1,55,200,-6,nan,8.5,nan
FOV1_HFO_SERV_1,55,200,-4,nan,8.7,nan
FOV1_HFO_SERV_1,55,200,-3,nan,8.7,nan
FOV1_HFO_SERV_1,55,200,-2,nan,8.8,nan
FOV1_HFO_SERV_1,55,200,-1,nan,8.9,nan
FOV1_HFO_SERV_1,55,200,0,nan,9.0,nan
FOV1_HFO_SERV_1,55,200,1,nan,9.1,nan
FOV1_HFO_SERV_1,55,200,2,nan,9.1,nan
FOV1_HFO_SERV_1,55,200,nan,P2,nan,1.5
FOV1_HFO_SERV_1,55,200,nan,P1,nan,0.7
FOV1_HFO_SERV_1,55,200,nan,S-1,nan,-0.7
FOV1_HFO_SERV_1,55,200,nan,S-2,nan,-1.4
FOV1_HFO_SERV_1,60,195,-6,nan,9.2,nan
FOV1_HFO_SERV_1,60,195,-4,nan,9.4,nan
FOV1_HFO_SERV_1,60,195,-3,nan,9.4,nan
FOV1_HFO_SERV_1,60,195,-2,nan,9.5,nan
FOV1_HFO_SERV_1,60,195,-1,nan,9.6,nan
FOV1_HFO_SERV_1,60,195,0,nan,9.7,nan
FOV1_HFO_SERV_1,60,195,1,nan,9.8,nan
FOV1_HFO_SERV_1,60,195,2,nan,9.8,nan
FOV1_HFO_SERV_1,60,195,nan,P2,nan,1.5
FOV1_HFO_SERV_1,60,195,nan,P1,nan,0.7
FOV1_HFO_SERV_1,60,195,nan,S-1,nan,-0.7
FOV1_HFO_SERV_1,60,195,nan,S-2,nan,-1.5
FOV1_HFO_SERV_1,65,190,-6,nan,9.9,nan
