name,sounding_cm,ullage_cm,trim,heel,volume_m3,correction_m3
FW1S_FWT_S_1,cm,cm,-6.0,,m3,
FW1S_FWT_S_1,cm,cm,-4.0,,m3,
FW1S_FWT_S_1,cm,cm,-3.0,,m3,
FW1S_FWT_S_1,cm,cm,-2.0,,m3,
FW1S_FWT_S_1,cm,cm,-1.0,,m3,
FW1S_FWT_S_1,cm,cm,0.0,,m3,
FW1S_FWT_S_1,cm,cm,1.0,,m3,
FW1S_FWT_S_1,cm,cm,2.0,,m3,
FW1S_FWT_S_1,cm,cm,,P2,,m3
FW1S_FWT_S_1,cm,cm,,P1,,m3
FW1S_FWT_S_1,cm,cm,,S-1,,m3
FW1S_FWT_S_1,cm,cm,,S-2,,m3
FW1S_FWT_S_1,0,490,-6.0,,1.6,
FW1S_FWT_S_1,0,490,-4.0,,1.5,
FW1S_FWT_S_1,0,490,-3.0,,1.5,
FW1S_FWT_S_1,0,490,-2.0,,1.4,
FW1S_FWT_S_1,0,490,-1.0,,1.4,
FW1S_FWT_S_1,0,490,0.0,,1.3,
FW1S_FWT_S_1,0,490,1.0,,1.3,
FW1S_FWT_S_1,0,490,2.0,,1.2,
FW1S_FWT_S_1,0,490,,P2,,0.4
FW1S_FWT_S_1,0,490,,P1,,0.2
FW1S_FWT_S_1,0,490,,S-1,,-0.2
FW1S_FWT_S_1,0,490,,S-2,,-0.4
FW1S_FWT_S_1,5,485,-6.0,,2.0,
FW1S_FWT_S_1,5,485,-4.0,,1.9,
FW1S_FWT_S_1,5,485,-3.0,,1.9,
FW1S_FWT_S_1,5,485,-2.0,,1.8,
FW1S_FWT_S_1,5,485,-1.0,,1.8,
FW1S_FWT_S_1,5,485,0.0,,1.8,
FW1S_FWT_S_1,5,485,1.0,,1.7,
FW1S_FWT_S_1,5,485,2.0,,1.7,
FW1S_FWT_S_1,5,485,,P2,,0.4
FW1S_FWT_S_1,5,485,,P1,,0.2
FW1S_FWT_S_1,5,485,,S-1,,-0.2
FW1S_FWT_S_1,5,485,,S-2,,-0.4
FW1S_FWT_S_1,10,480,-6.0,,2.5,
FW1S_FWT_S_1,10,480,-4.0,,2.4,
FW1S_FWT_S_1,10,480,-3.0,,2.3,
FW1S_FWT_S_1,10,480,-2.0,,2.3,
FW1S_FWT_S_1,10,480,-1.0,,2.2,
FW1S_FWT_S_1,10,480,0.0,,2.2,
FW1S_FWT_S_1,10,480,1.0,,2.1,
FW1S_FWT_S_1,10,480,2.0,,2.1,
FW1S_FWT_S_1,10,480,,P2,,0.4
FW1S_FWT_S_1,10,480,,P1,,0.2
FW1S_FWT_S_1,10,480,,S-1,,-0.2
FW1S_FWT_S_1,10,480,,S-2,,-0.4
FW1S_FWT_S_1,15,475,-6.0,,2.9,
FW1S_FWT_S_1,15,475,-4.0,,2.8,
FW1S_FWT_S_1,15,475,-3.0,,2.7,
FW1S_FWT_S_1,15,475,-2.0,,2.7,
