name,sounding_cm,ullage_cm,trim,heel,volume_m3,correction_m3
NO2 MGO TK,cm,cm,-6,nan,m3,nan
NO2 MGO TK,cm,cm,-4,nan,m3,nan
NO2 MGO TK,cm,cm,-3,nan,m3,nan
NO2 MGO TK,cm,cm,-2,nan,m3,nan
NO2 MGO TK,cm,cm,-1,nan,m3,nan
NO2 MGO TK,cm,cm,0,nan,m3,nan
NO2 MGO TK,cm,cm,1,nan,m3,nan
NO2 MGO TK,cm,cm,2,nan,m3,nan
NO2 MGO TK,cm,cm,nan,P2,nan,m3
NO2 MGO TK,cm,cm,nan,P1,nan,m3
NO2 MGO TK,cm,cm,nan,S-1,nan,m3
NO2 MGO TK,cm,cm,nan,S-2,nan,m3
NO2 MGO TK,0,2199,-6,nan,1.0,nan
NO2 MGO TK,0,2199,-4,nan,1.3,nan
NO2 MGO TK,0,2199,-3,nan,1.7,nan
NO2 MGO TK,0,2199,-2,nan,2.2,nan
NO2 MGO TK,0,2199,-1,nan,2.7,nan
NO2 MGO TK,0,2199,0,nan,3.3,nan
NO2 MGO TK,0,2199,1,nan,3.8,nan
NO2 MGO TK,0,2199,2,nan,4.3,nan
NO2 MGO TK,0,2199,nan,P2,nan,1.1
NO2 MGO TK,0,2199,nan,P1,nan,0.0
NO2 MGO TK,0,2199,nan,S-1,nan,0.5
NO2 MGO TK,0,2199,nan,S-2,nan,2.0
NO2 MGO TK,10,2189,-6,nan,5.2,nan
NO2 MGO TK,10,2189,-4,nan,6.3,nan
NO2 MGO TK,10,2189,-3,nan,6.8,nan
NO2 MGO TK,10,2189,-2,nan,7.3,nan
NO2 MGO TK,10,2189,-1,nan,7.9,nan
NO2 MGO TK,10,2189,0,nan,8.4,nan
NO2 MGO TK,10,2189,1,nan,8.9,nan
NO2 MGO TK,10,2189,2,nan,9.4,nan
NO2 MGO TK,10,2189,nan,P2,nan,-0.6
NO2 MGO TK,10,2189,nan,P1,nan,-0.7
NO2 MGO TK,10,2189,nan,S-1,nan,0.0
NO2 MGO TK,10,2189,nan,S-2,nan,0.5
NO2 MGO TK,20,2179,-6,nan,10.4,nan
NO2 MGO TK,20,2179,-4,nan,11.4,nan
