name,sounding_cm,ullage_cm,trim,heel,volume_m3,correction_m3
FO Drain,cm,cm,-6,nan,m3,nan
FO Drain,cm,cm,-4,nan,m3,nan
FO Drain,cm,cm,-3,nan,m3,nan
FO Drain,cm,cm,-2,nan,m3,nan
FO Drain,cm,cm,-1,nan,m3,nan
FO Drain,cm,cm,0,nan,m3,nan
FO Drain,cm,cm,1,nan,m3,nan
FO Drain,cm,cm,2,nan,m3,nan
FO Drain,cm,cm,nan,P2,nan,m3
FO Drain,cm,cm,nan,P1,nan,m3
FO Drain,cm,cm,nan,S-1,nan,m3
FO Drain,cm,cm,nan,S-2,nan,m3
FO Drain,0,430,-6,nan,0.1,nan
FO Drain,0,430,-4,nan,0.1,nan
FO Drain,0,430,-3,nan,0.1,nan
FO Drain,0,430,-2,nan,0.2,nan
FO Drain,0,430,-1,nan,0.2,nan
FO Drain,0,430,0,nan,0.3,nan
FO Drain,0,430,1,nan,0.3,nan
FO Drain,0,430,2,nan,0.4,nan
FO Drain,0,430,nan,P2,nan,0.1
FO Drain,0,430,nan,P1,nan,0.0
FO Drain,0,430,nan,S-1,nan,0.0
FO Drain,0,430,nan,S-2,nan,0.0
FO Drain,5,425,-6,nan,0.6,nan
FO Drain,5,425,-4,nan,0.7,nan
FO Drain,5,425,-3,nan,0.7,nan
FO Drain,5,425,-2,nan,0.9,nan
FO Drain,5,425,-1,nan,0.9,nan
FO Drain,5,425,0,nan,1.0,nan
FO Drain,5,425,1,nan,1.1,nan
FO Drain,5,425,2,nan,1.2,nan
FO Drain,5,425,nan,P2,nan,0.2
FO Drain,5,425,nan,P1,nan,0.1
FO Drain,5,425,nan,S-1,nan,-0.1
FO Drain,5,425,nan,S-2,nan,-0.1
FO Drain,10,420,-6,nan,0.7,nan
FO Drain,10,420,-4,nan,0.8,nan
FO Drain,10,420,-3,nan,0.9,nan
FO Drain,10,420,-2,nan,0.9,nan
FO Drain,10,420,-1,nan,1.0,nan
FO Drain,10,420,0,nan,1.1,nan
FO Drain,10,420,1,nan,1.1,nan
FO Drain,10,420,2,nan,1.2,nan
FO Drain,10,420,nan,P2,nan,0.2
FO Drain,10,420,nan,P1,nan,0.1
FO Drain,10,420,nan,S-1,nan,-0.1
FO Drain,10,420,nan,S-2,nan,-0.1
FO Drain,15,415,-6,nan,1.0,nan
FO Drain,15,415,-4,nan,1.2,nan
FO Drain,15,415,-3,nan,1.2,nan
FO Drain,15,415,-2,nan,1.3,nan
FO Drain,15,415,-1,nan,1.4,nan
FO Drain,15,415,0,nan,1.5,nan
FO Drain,15,415,1,nan,1.6,nan
FO Drain,15,415,2,nan,1.6,nan
FO Drain,15,415,nan,P2,nan,0.3
FO Drain,15,415,nan,P1,nan,0.1
FO Drain,15,415,nan,S-1,nan,-0.1
FO Drain,15,415,nan,S-2,nan,-0.2
FO Drain,20,410,-6,nan,1.5,nan
FO Drain,20,410,-4,nan,1.7,nan
FO Drain,20,410,-3,nan,1.8,nan
FO Drain,20,410,-2,nan,1.8,nan
FO Drain,20,410,-1,nan,2.0,nan
FO Drain,20,410,0,nan,2.0,nan
FO Drain,20,410,1,nan,2.1,nan
FO Drain,20,410,2,nan,2.2,nan
FO Drain,20,410,nan,P2,nan,0.3
FO Drain,20,410,nan,P1,nan,0.1
FO Drain,20,410,nan,S-1,nan,-0.1
FO Drain,20,410,nan,S-2,nan,-0.2
