name,sounding_cm,ullage_cm,trim,heel,volume_m3,correction_m3
FO OVERFLOW,cm,cm,-6,nan,m3,nan
FO OVERFLOW,cm,cm,-4,nan,m3,nan
FO OVERFLOW,cm,cm,-3,nan,m3,nan
FO OVERFLOW,cm,cm,-2,nan,m3,nan
FO OVERFLOW,cm,cm,-1,nan,m3,nan
FO OVERFLOW,cm,cm,0,nan,m3,nan
FO OVERFLOW,cm,cm,1,nan,m3,nan
FO OVERFLOW,cm,cm,2,nan,m3,nan
FO OVERFLOW,cm,cm,nan,P2,nan,m3
FO OVERFLOW,cm,cm,nan,P1,nan,m3
FO OVERFLOW,cm,cm,nan,S-1,nan,m3
FO OVERFLOW,cm,cm,nan,S-2,nan,m3
FO OVERFLOW,0,442,-6,nan,0.1,nan
FO OVERFLOW,0,442,-4,nan,0.1,nan
FO OVERFLOW,0,442,-3,nan,0.1,nan
FO OVERFLOW,0,442,-2,nan,0.2,nan
FO OVERFLOW,0,442,-1,nan,0.2,nan
FO OVERFLOW,0,442,0,nan,0.3,nan
FO OVERFLOW,0,442,1,nan,0.3,nan
FO OVERFLOW,0,442,2,nan,0.4,nan
FO OVERFLOW,0,442,nan,P2,nan,0.0
FO OVERFLOW,0,442,nan,P1,nan,0.0
FO OVERFLOW,0,442,nan,S-1,nan,0.0
FO OVERFLOW,0,442,nan,S-2,nan,0.1
FO OVERFLOW,5,437,-6,nan,0.3,nan
FO OVERFLOW,5,437,-4,nan,0.4,nan
FO OVERFLOW,5,437,-3,nan,0.5,nan
FO OVERFLOW,5,437,-2,nan,0.5,nan
FO OVERFLOW,5,437,-1,nan,0.6,nan
FO OVERFLOW,5,437,0,nan,0.6,nan
FO OVERFLOW,5,437,1,nan,0.7,nan
FO OVERFLOW,5,437,2,nan,0.8,nan
FO OVERFLOW,5,437,nan,P2,nan,-0.1
FO OVERFLOW,5,437,nan,P1,nan,0.0
FO OVERFLOW,5,437,nan,S-1,nan,0.1
FO OVERFLOW,5,437,nan,S-2,nan,0.1
FO OVERFLOW,10,432,-6,nan,0.7,nan
FO OVERFLOW,10,432,-4,nan,0.8,nan
FO OVERFLOW,10,432,-3,nan,0.9,nan
FO OVERFLOW,10,432,-2,nan,0.9,nan
FO OVERFLOW,10,432,-1,nan,1.0,nan
FO OVERFLOW,10,432,0,nan,1.1,nan
FO OVERFLOW,10,432,1,nan,1.1,nan
FO OVERFLOW,10,432,2,nan,1.2,nan
FO OVERFLOW,10,432,nan,P2,nan,-0.1
FO OVERFLOW,10,432,nan,P1,nan,-0.1
FO OVERFLOW,10,432,nan,S-1,nan,0.1
FO OVERFLOW,10,432,nan,S-2,nan,0.2
FO OVERFLOW,15,427,-6,nan,1.1,nan
FO OVERFLOW,15,427,-4,nan,1.2,nan
FO OVERFLOW,15,427,-3,nan,1.3,nan
FO OVERFLOW,15,427,-2,nan,1.4,nan
FO OVERFLOW,15,427,-1,nan,1.4,nan
FO OVERFLOW,15,427,0,nan,1.5,nan
FO OVERFLOW,15,427,1,nan,1.6,nan
FO OVERFLOW,15,427,2,nan,1.7,nan
FO OVERFLOW,15,427,nan,P2,nan,-0.1
FO OVERFLOW,15,427,nan,P1,nan,-0.1
FO OVERFLOW,15,427,nan,S-1,nan,0.1
FO OVERFLOW,15,427,nan,S-2,nan,0.2
FO OVERFLOW,20,422,-6,nan,1.6,nan
FO OVERFLOW,20,422,-4,nan,1.7,nan
FO OVERFLOW,20,422,-3,nan,1.8,nan
FO OVERFLOW,20,422,-2,nan,1.8,nan
FO OVERFLOW,20,422,-1,nan,1.9,nan
FO OVERFLOW,20,422,0,nan,2.0,nan
FO OVERFLOW,20,422,1,nan,2.1,nan
FO OVERFLOW,20,422,2,nan,2.1,nan
FO OVERFLOW,20,422,nan,P2,nan,-0.2
FO OVERFLOW,20,422,nan,P1,nan,-0.1
FO OVERFLOW,20,422,nan,S-1,nan,0.1
FO OVERFLOW,20,422,nan,S-2,nan,0.2
FO OVERFLOW,25,417,-6,nan,2.0,nan
FO OVERFLOW,25,417,-4,nan,2.2,nan
FO OVERFLOW,25,417,-3,nan,2.2,nan
FO OVERFLOW,25,417,-2,nan,2.3,nan
FO OVERFLOW,25,417,-1,nan,2.4,nan
FO OVERFLOW,25,417,0,nan,2.5,nan
FO OVERFLOW,25,417,1,nan,2.5,nan
FO OVERFLOW,25,417,2,nan,2.6,nan
FO OVERFLOW,25,417,nan,P2,nan,-0.2
FO OVERFLOW,25,417,nan,P1,nan,-0.1
FO OVERFLOW,25,417,nan,S-1,nan,0.1
FO OVERFLOW,25,417,nan,S-2,nan,0.3
FO OVERFLOW,30,412,-6,nan,2.5,nan
FO OVERFLOW,30,412,-4,nan,2.7,nan
FO OVERFLOW,30,412,-3,nan,2.7,nan
FO OVERFLOW,30,412,-2,nan,2.8,nan
FO OVERFLOW,30,412,-1,nan,2.9,nan
FO OVERFLOW,30,412,0,nan,3.0,nan
FO OVERFLOW,30,412,1,nan,3.1,nan
FO OVERFLOW,30,412,2,nan,3.1,nan
FO OVERFLOW,30,412,nan,P2,nan,-0.2
FO OVERFLOW,30,412,nan,P1,nan,-0.1
FO OVERFLOW,30,412,nan,S-1,nan,0.1
FO OVERFLOW,30,412,nan,S-2,nan,0.3
FO OVERFLOW,35,407,-6,nan,3.0,nan
FO OVERFLOW,35,407,-4,nan,3.2,nan
FO OVERFLOW,35,407,-3,nan,3.3,nan
FO OVERFLOW,35,407,-2,nan,3.3,nan
FO OVERFLOW,35,407,-1,nan,3.4,nan
FO OVERFLOW,35,407,0,nan,3.5,nan
FO OVERFLOW,35,407,1,nan,3.6,nan
FO OVERFLOW,35,407,2,nan,3.7,nan
FO OVERFLOW,35,407,nan,P2,nan,-0.3
FO OVERFLOW,35,407,nan,P1,nan,-0.1
FO OVERFLOW,35,407,nan,S-1,nan,0.1
FO OVERFLOW,35,407,nan,S-2,nan,0.3
FO OVERFLOW,40,402,-6,nan,3.6,nan
FO OVERFLOW,40,402,-4,nan,3.7,nan
FO OVERFLOW,40,402,-3,nan,3.8,nan
FO OVERFLOW,40,402,-2,nan,3.9,nan
FO OVERFLOW,40,402,-1,nan,3.9,nan
FO OVERFLOW,40,402,0,nan,4.0,nan
FO OVERFLOW,40,402,1,nan,4.1,nan
FO OVERFLOW,40,402,2,nan,4.2,nan
FO OVERFLOW,40,402,nan,P2,nan,-0.3
FO OVERFLOW,40,402,nan,P1,nan,-0.1
FO OVERFLOW,40,402,nan,S-1,nan,0.2
FO OVERFLOW,40,402,nan,S-2,nan,0.3
FO OVERFLOW,45,397,-6,nan,4.1,nan
FO OVERFLOW,45,397,-4,nan,4.2,nan
FO OVERFLOW,45,397,-3,nan,4.3,nan
FO OVERFLOW,45,397,-2,nan,4.4,nan
FO OVERFLOW,45,397,-1,nan,4.5,nan
FO OVERFLOW,45,397,0,nan,4.6,nan
FO OVERFLOW,45,397,1,nan,4.7,nan
FO OVERFLOW,45,397,2,nan,4.7,nan
FO OVERFLOW,45,397,nan,P2,nan,-0.3
FO OVERFLOW,45,397,nan,P1,nan,-0.2
FO OVERFLOW,45,397,nan,S-1,nan,0.2
FO OVERFLOW,45,397,nan,S-2,nan,0.3
FO OVERFLOW,50,392,-6,nan,4.6,nan
FO OVERFLOW,50,392,-4,nan,4.8,nan
FO OVERFLOW,50,392,-3,nan,4.9,nan
FO OVERFLOW,50,392,-2,nan,5.0,nan
FO OVERFLOW,50,392,-1,nan,5.0,nan
FO OVERFLOW,50,392,0,nan,5.1,nan
FO OVERFLOW,50,392,1,nan,5.2,nan
FO OVERFLOW,50,392,2,nan,5.3,nan
FO OVERFLOW,50,392,nan,P2,nan,-0.3
FO OVERFLOW,50,392,nan,P1,nan,-0.2
FO OVERFLOW,50,392,nan,S-1,nan,0.2
FO OVERFLOW,50,392,nan,S-2,nan,0.3
FO OVERFLOW,55,387,-6,nan,5.2,nan
FO OVERFLOW,55,387,-4,nan,5.4,nan
FO OVERFLOW,55,387,-3,nan,5.4,nan
FO OVERFLOW,55,387,-2,nan,5.5,nan
FO OVERFLOW,55,387,-1,nan,5.6,nan
FO OVERFLOW,55,387,0,nan,5.7,nan
FO OVERFLOW,55,387,1,nan,5.8,nan
FO OVERFLOW,55,387,2,nan,5.8,nan
FO OVERFLOW,55,387,nan,P2,nan,-0.3
FO OVERFLOW,55,387,nan,P1,nan,-0.2
FO OVERFLOW,55,387,nan,S-1,nan,0.2
FO OVERFLOW,55,387,nan,S-2,nan,0.3
FO OVERFLOW,60,382,-6,nan,5.7,nan
FO OVERFLOW,60,382,-4,nan,5.9,nan
FO OVERFLOW,60,382,-3,nan,6.0,nan
FO OVERFLOW,60,382,-2,nan,6.1,nan
FO OVERFLOW,60,382,-1,nan,6.2,nan
FO OVERFLOW,60,382,0,nan,6.2,nan
FO OVERFLOW,60,382,1,nan,6.3,nan
FO OVERFLOW,60,382,2,nan,6.4,nan
FO OVERFLOW,60,382,nan,P2,nan,-0.3
FO OVERFLOW,60,382,nan,P1,nan,-0.2
FO OVERFLOW,60,382,nan,S-1,nan,0.2
FO OVERFLOW,60,382,nan,S-2,nan,0.4
FO OVERFLOW,65,377,-6,nan,6.3,nan
FO OVERFLOW,65,377,-4,nan,6.5,nan
FO OVERFLOW,65,377,-3,nan,6.6,nan
FO OVERFLOW,65,377,-2,nan,6.6,nan
FO OVERFLOW,65,377,-1,nan,6.7,nan
FO OVERFLOW,65,377,0,nan,6.8,nan
FO OVERFLOW,65,377,1,nan,6.9,nan
FO OVERFLOW,65,377,2,nan,7.0,nan
FO OVERFLOW,65,377,nan,P2,nan,-0.3
FO OVERFLOW,65,377,nan,P1,nan,-0.2
FO OVERFLOW,65,377,nan,S-1,nan,0.2
FO OVERFLOW,65,377,nan,S-2,nan,0.4
FO OVERFLOW,70,372,-6,nan,6.9,nan
FO OVERFLOW,70,372,-4,nan,7.1,nan
FO OVERFLOW,70,372,-3,nan,7.1,nan
FO OVERFLOW,70,372,-2,nan,7.2,nan
FO OVERFLOW,70,372,-1,nan,7.3,nan
FO OVERFLOW,70,372,0,nan,7.4,nan
FO OVERFLOW,70,372,1,nan,7.5,nan
FO OVERFLOW,70,372,2,nan,7.6,nan
FO OVERFLOW,70,372,nan,P2,nan,-0.4
FO OVERFLOW,70,372,nan,P1,nan,-0.2
FO OVERFLOW,70,372,nan,S-1,nan,0.2
FO OVERFLOW,70,372,nan,S-2,nan,0.4
FO OVERFLOW,75,367,-6,nan,7.5,nan
FO OVERFLOW,75,367,-4,nan,7.6,nan
FO OVERFLOW,75,367,-3,nan,7.7,nan
FO OVERFLOW,75,367,-2,nan,7.8,nan
FO OVERFLOW,75,367,-1,nan,7.9,nan
FO OVERFLOW,75,367,0,nan,8.0,nan
FO OVERFLOW,75,367,1,nan,8.1,nan
FO OVERFLOW,75,367,2,nan,8.1,nan
FO OVERFLOW,75,367,nan,P2,nan,-0.4
