name,sounding_cm,ullage_cm,trim,heel,volume_m3,correction_m3
MGO_SERV_1,cm,cm,-6,nan,m3,nan
MGO_SERV_1,cm,cm,-4,nan,m3,nan
MGO_SERV_1,cm,cm,-3,nan,m3,nan
MGO_SERV_1,cm,cm,-2,nan,m3,nan
MGO_SERV_1,cm,cm,-1,nan,m3,nan
MGO_SERV_1,cm,cm,0,nan,m3,nan
MGO_SERV_1,cm,cm,1,nan,m3,nan
MGO_SERV_1,cm,cm,2,nan,m3,nan
MGO_SERV_1,cm,cm,nan,P2,nan,m3
MGO_SERV_1,cm,cm,nan,P1,nan,m3
MGO_SERV_1,cm,cm,nan,S-1,nan,m3
MGO_SERV_1,cm,cm,nan,S-2,nan,m3
MGO_SERV_1,0,340,-6,nan,1.3,nan
MGO_SERV_1,0,340,-4,nan,1.3,nan
MGO_SERV_1,0,340,-3,nan,1.3,nan
MGO_SERV_1,0,340,-2,nan,1.3,nan
MGO_SERV_1,0,340,-1,nan,1.3,nan
MGO_SERV_1,0,340,0,nan,1.3,nan
MGO_SERV_1,0,340,1,nan,1.3,nan
MGO_SERV_1,0,340,2,nan,1.2,nan
MGO_SERV_1,0,340,nan,P2,nan,0.6
MGO_SERV_1,0,340,nan,P1,nan,0.3
MGO_SERV_1,0,340,nan,S-1,nan,-0.3
MGO_SERV_1,0,340,nan,S-2,nan,-0.5
MGO_SERV_1,5,335,-6,nan,1.9,nan
MGO_SERV_1,5,335,-4,nan,1.9,nan
MGO_SERV_1,5,335,-3,nan,1.9,nan
MGO_SERV_1,5,335,-2,nan,1.9,nan
MGO_SERV_1,5,335,-1,nan,1.9,nan
MGO_SERV_1,5,335,0,nan,1.9,nan
MGO_SERV_1,5,335,1,nan,1.8,nan
MGO_SERV_1,5,335,2,nan,1.8,nan
MGO_SERV_1,5,335,nan,P2,nan,0.6
MGO_SERV_1,5,335,nan,P1,nan,0.3
MGO_SERV_1,5,335,nan,S-1,nan,-0.3
MGO_SERV_1,5,335,nan,S-2,nan,-0.6
