name,sounding_cm,ullage_cm,trim,heel,volume_m3,correction_m3
gray_holding_tank,cm,cm,-6,nan,m3,nan
gray_holding_tank,cm,cm,-4,nan,m3,nan
gray_holding_tank,cm,cm,-3,nan,m3,nan
gray_holding_tank,cm,cm,-2,nan,m3,nan
gray_holding_tank,cm,cm,-1,nan,m3,nan
gray_holding_tank,cm,cm,0,nan,m3,nan
gray_holding_tank,cm,cm,1,nan,m3,nan
gray_holding_tank,cm,cm,2,nan,m3,nan
gray_holding_tank,cm,cm,nan,P2,nan,m3
gray_holding_tank,cm,cm,nan,P1,nan,m3
gray_holding_tank,cm,cm,nan,S-1,nan,m3
gray_holding_tank,cm,cm,nan,S-2,nan,m3
gray_holding_tank,0,470,-6,nan,0.1,nan
gray_holding_tank,0,470,-4,nan,0.1,nan
gray_holding_tank,0,470,-3,nan,0.1,nan
gray_holding_tank,0,470,-2,nan,0.1,nan
gray_holding_tank,0,470,-1,nan,0.1,nan
gray_holding_tank,0,470,0,nan,0.1,nan
gray_holding_tank,0,470,1,nan,0.1,nan
gray_holding_tank,0,470,2,nan,0.1,nan
gray_holding_tank,0,470,nan,P2,nan,0.0
gray_holding_tank,0,470,nan,P1,nan,0.0
gray_holding_tank,0,470,nan,S-1,nan,0.0
gray_holding_tank,0,470,nan,S-2,nan,0.0
gray_holding_tank,5,465,-6,nan,0.35,nan
gray_holding_tank,5,465,-4,nan,0.35,nan
gray_holding_tank,5,465,-3,nan,0.35,nan
gray_holding_tank,5,465,-2,nan,0.35,nan
gray_holding_tank,5,465,-1,nan,0.35,nan
gray_holding_tank,5,465,0,nan,0.35,nan
gray_holding_tank,5,465,1,nan,0.35,nan
gray_holding_tank,5,465,2,nan,0.35,nan
gray_holding_tank,5,465,nan,P2,nan,0.0
gray_holding_tank,5,465,nan,P1,nan,0.0
gray_holding_tank,5,465,nan,S-1,nan,0.0
gray_holding_tank,5,465,nan,S-2,nan,0.0
gray_holding_tank,10,460,-6,nan,0.6,nan
gray_holding_tank,10,460,-4,nan,0.6,nan
gray_holding_tank,10,460,-3,nan,0.6,nan
gray_holding_tank,10,460,-2,nan,0.6,nan
gray_holding_tank,10,460,-1,nan,0.6,nan
