name,sounding_cm,ullage_cm,trim,heel,volume_m3,correction_m3
Incinerator_MGO_Tank_clean,cm,cm,-6,nan,m3,nan
Incinerator_MGO_Tank_clean,cm,cm,-4,nan,m3,nan
Incinerator_MGO_Tank_clean,cm,cm,-3,nan,m3,nan
Incinerator_MGO_Tank_clean,cm,cm,-2,nan,m3,nan
Incinerator_MGO_Tank_clean,cm,cm,-1,nan,m3,nan
Incinerator_MGO_Tank_clean,cm,cm,0,nan,m3,nan
Incinerator_MGO_Tank_clean,cm,cm,1,nan,m3,nan
Incinerator_MGO_Tank_clean,cm,cm,2,nan,m3,nan
Incinerator_MGO_Tank_clean,cm,cm,nan,P2,nan,m3
Incinerator_MGO_Tank_clean,cm,cm,nan,P1,nan,m3
Incinerator_MGO_Tank_clean,cm,cm,nan,S-1,nan,m3
Incinerator_MGO_Tank_clean,cm,cm,nan,S-2,nan,m3
Incinerator_MGO_Tank_clean,0,140,-6,nan,0.03,nan
Incinerator_MGO_Tank_clean,0,140,-4,nan,0.03,nan
Incinerator_MGO_Tank_clean,0,140,-3,nan,0.03,nan
Incinerator_MGO_Tank_clean,0,140,-2,nan,0.03,nan
Incinerator_MGO_Tank_clean,0,140,-1,nan,0.03,nan
Incinerator_MGO_Tank_clean,0,140,0,nan,0.03,nan
Incinerator_MGO_Tank_clean,0,140,1,nan,0.03,nan
Incinerator_MGO_Tank_clean,0,140,2,nan,0.03,nan
Incinerator_MGO_Tank_clean,0,140,nan,P2,nan,0.0
Incinerator_MGO_Tank_clean,0,140,nan,P1,nan,0.0
Incinerator_MGO_Tank_clean,0,140,nan,S-1,nan,0.0
Incinerator_MGO_Tank_clean,0,140,nan,S-2,nan,0.0
Incinerator_MGO_Tank_clean,10,130,-6,nan,0.07,nan
Incinerator_MGO_Tank_clean,10,130,-4,nan,0.07,nan
Incinerator_MGO_Tank_clean,10,130,-3,nan,0.07,nan
Incinerator_MGO_Tank_clean,10,130,-2,nan,0.07,nan
Incinerator_MGO_Tank_clean,10,130,-1,nan,0.07,nan
Incinerator_MGO_Tank_clean,10,130,0,nan,0.07,nan
Incinerator_MGO_Tank_clean,10,130,1,nan,0.07,nan
Incinerator_MGO_Tank_clean,10,130,2,nan,0.07,nan
Incinerator_MGO_Tank_clean,10,130,nan,P2,nan,0.0
Incinerator_MGO_Tank_clean,10,130,nan,P1,nan,0.0
Incinerator_MGO_Tank_clean,10,130,nan,S-1,nan,0.0
Incinerator_MGO_Tank_clean,10,130,nan,S-2,nan,0.0
Incinerator_MGO_Tank_clean,20,120,-6,nan,0.16,nan
Incinerator_MGO_Tank_clean,20,120,-4,nan,0.16,nan
Incinerator_MGO_Tank_clean,20,120,-3,nan,0.16,nan
Incinerator_MGO_Tank_clean,20,120,-2,nan,0.16,nan
Incinerator_MGO_Tank_clean,20,120,-1,nan,0.16,nan
Incinerator_MGO_Tank_clean,20,120,0,nan,0.16,nan
Incinerator_MGO_Tank_clean,20,120,1,nan,0.16,nan
Incinerator_MGO_Tank_clean,20,120,2,nan,0.16,nan
Incinerator_MGO_Tank_clean,20,120,nan,P2,nan,0.0
Incinerator_MGO_Tank_clean,20,120,nan,P1,nan,0.0
Incinerator_MGO_Tank_clean,20,120,nan,S-1,nan,0.0
Incinerator_MGO_Tank_clean,20,120,nan,S-2,nan,0.0
Incinerator_MGO_Tank_clean,30,110,-6,nan,0.24,nan
Incinerator_MGO_Tank_clean,30,110,-4,nan,0.24,nan
Incinerator_MGO_Tank_clean,30,110,-3,nan,0.24,nan
Incinerator_MGO_Tank_clean,30,110,-2,nan,0.24,nan
Incinerator_MGO_Tank_clean,30,110,-1,nan,0.24,nan
Incinerator_MGO_Tank_clean,30,110,0,nan,0.24,nan
Incinerator_MGO_Tank_clean,30,110,1,nan,0.24,nan
Incinerator_MGO_Tank_clean,30,110,2,nan,0.24,nan
Incinerator_MGO_Tank_clean,30,110,nan,P2,nan,0.0
Incinerator_MGO_Tank_clean,30,110,nan,P1,nan,0.0
Incinerator_MGO_Tank_clean,30,110,nan,S-1,nan,0.0
Incinerator_MGO_Tank_clean,30,110,nan,S-2,nan,0.0
Incinerator_MGO_Tank_clean,40,100,-6,nan,0.32,nan
Incinerator_MGO_Tank_clean,40,100,-4,nan,0.32,nan
Incinerator_MGO_Tank_clean,40,100,-3,nan,0.32,nan
Incinerator_MGO_Tank_clean,40,100,-2,nan,0.32,nan
Incinerator_MGO_Tank_clean,40,100,-1,nan,0.32,nan
Incinerator_MGO_Tank_clean,40,100,0,nan,0.32,nan
Incinerator_MGO_Tank_clean,40,100,1,nan,0.32,nan
Incinerator_MGO_Tank_clean,40,100,2,nan,0.32,nan
Incinerator_MGO_Tank_clean,40,100,nan,P2,nan,0.0
Incinerator_MGO_Tank_clean,40,100,nan,P1,nan,0.0
Incinerator_MGO_Tank_clean,40,100,nan,S-1,nan,0.0
Incinerator_MGO_Tank_clean,40,100,nan,S-2,nan,0.0
Incinerator_MGO_Tank_clean,50,90,-6,nan,0.4,nan
Incinerator_MGO_Tank_clean,50,90,-4,nan,0.4,nan
Incinerator_MGO_Tank_clean,50,90,-3,nan,0.4,nan
Incinerator_MGO_Tank_clean,50,90,-2,nan,0.4,nan
Incinerator_MGO_Tank_clean,50,90,-1,nan,0.4,nan
Incinerator_MGO_Tank_clean,50,90,0,nan,0.4,nan
Incinerator_MGO_Tank_clean,50,90,1,nan,0.4,nan
Incinerator_MGO_Tank_clean,50,90,2,nan,0.4,nan
Incinerator_MGO_Tank_clean,50,90,nan,P2,nan,0.0
Incinerator_MGO_Tank_clean,50,90,nan,P1,nan,0.0
Incinerator_MGO_Tank_clean,50,90,nan,S-1,nan,0.0
Incinerator_MGO_Tank_clean,50,90,nan,S-2,nan,0.0
Incinerator_MGO_Tank_clean,60,80,-6,nan,0.48,nan
Incinerator_MGO_Tank_clean,60,80,-4,nan,0.48,nan
Incinerator_MGO_Tank_clean,60,80,-3,nan,0.48,nan
Incinerator_MGO_Tank_clean,60,80,-2,nan,0.48,nan
Incinerator_MGO_Tank_clean,60,80,-1,nan,0.48,nan
Incinerator_MGO_Tank_clean,60,80,0,nan,0.48,nan
Incinerator_MGO_Tank_clean,60,80,1,nan,0.48,nan
Incinerator_MGO_Tank_clean,60,80,2,nan,0.48,nan
Incinerator_MGO_Tank_clean,60,80,nan,P2,nan,0.0
Incinerator_MGO_Tank_clean,60,80,nan,P1,nan,0.0
Incinerator_MGO_Tank_clean,60,80,nan,S-1,nan,0.0
Incinerator_MGO_Tank_clean,60,80,nan,S-2,nan,0.0
Incinerator_MGO_Tank_clean,70,70,-6,nan,0.56,nan
Incinerator_MGO_Tank_clean,70,70,-4,nan,0.56,nan
Incinerator_MGO_Tank_clean,70,70,-3,nan,0.56,nan
Incinerator_MGO_Tank_clean,70,70,-2,nan,0.56,nan
Incinerator_MGO_Tank_clean,70,70,-1,nan,0.56,nan
Incinerator_MGO_Tank_clean,70,70,0,nan,0.56,nan
Incinerator_MGO_Tank_clean,70,70,1,nan,0.56,nan
