name,sounding_cm,ullage_cm,trim,heel,volume_m3,correction_m3
Incinerator Sludge Tank,cm,cm,-6,nan,m3,nan
Incinerator Sludge Tank,cm,cm,-4,nan,m3,nan
Incinerator Sludge Tank,cm,cm,-3,nan,m3,nan
Incinerator Sludge Tank,cm,cm,-2,nan,m3,nan
Incinerator Sludge Tank,cm,cm,-1,nan,m3,nan
Incinerator Sludge Tank,cm,cm,0,nan,m3,nan
Incinerator Sludge Tank,cm,cm,1,nan,m3,nan
Incinerator Sludge Tank,cm,cm,2,nan,m3,nan
Incinerator Sludge Tank,cm,cm,nan,P2,nan,m3
Incinerator Sludge Tank,cm,cm,nan,P1,nan,m3
Incinerator Sludge Tank,cm,cm,nan,S-1,nan,m3
Incinerator Sludge Tank,cm,cm,nan,S-2,nan,m3
Incinerator Sludge Tank,0,95,-6,nan,0.1,nan
Incinerator Sludge Tank,0,95,-4,nan,0.1,nan
Incinerator Sludge Tank,0,95,-3,nan,0.1,nan
Incinerator Sludge Tank,0,95,-2,nan,0.1,nan
Incinerator Sludge Tank,0,95,-1,nan,0.1,nan
Incinerator Sludge Tank,0,95,0,nan,0.1,nan
Incinerator Sludge Tank,0,95,1,nan,0.1,nan
Incinerator Sludge Tank,0,95,2,nan,0.1,nan
Incinerator Sludge Tank,0,95,nan,P2,nan,0.0
Incinerator Sludge Tank,0,95,nan,P1,nan,0.0
Incinerator Sludge Tank,0,95,nan,S-1,nan,0.0
Incinerator Sludge Tank,0,95,nan,S-2,nan,0.0
Incinerator Sludge Tank,5,90,-6,nan,0.15,nan
Incinerator Sludge Tank,5,90,-4,nan,0.15,nan
Incinerator Sludge Tank,5,90,-3,nan,0.15,nan
Incinerator Sludge Tank,5,90,-2,nan,0.15,nan
Incinerator Sludge Tank,5,90,-1,nan,0.15,nan
Incinerator Sludge Tank,5,90,0,nan,0.15,nan
Incinerator Sludge Tank,5,90,1,nan,0.15,nan
Incinerator Sludge Tank,5,90,2,nan,0.15,nan
Incinerator Sludge Tank,5,90,nan,P2,nan,0.0
Incinerator Sludge Tank,5,90,nan,P1,nan,0.0
Incinerator Sludge Tank,5,90,nan,S-1,nan,0.0
Incinerator Sludge Tank,5,90,nan,S-2,nan,0.0
Incinerator Sludge Tank,10,85,-6,nan,0.2,nan
Incinerator Sludge Tank,10,85,-4,nan,0.2,nan
Incinerator Sludge Tank,10,85,-3,nan,0.2,nan
Incinerator Sludge Tank,10,85,-2,nan,0.2,nan
Incinerator Sludge Tank,10,85,-1,nan,0.2,nan
Incinerator Sludge Tank,10,85,0,nan,0.2,nan
Incinerator Sludge Tank,10,85,1,nan,0.2,nan
Incinerator Sludge Tank,10,85,2,nan,0.2,nan
Incinerator Sludge Tank,10,85,nan,P2,nan,0.0
Incinerator Sludge Tank,10,85,nan,P1,nan,0.0
Incinerator Sludge Tank,10,85,nan,S-1,nan,0.0
Incinerator Sludge Tank,10,85,nan,S-2,nan,0.0
Incinerator Sludge Tank,15,80,-6,nan,0.25,nan
Incinerator Sludge Tank,15,80,-4,nan,0.25,nan
Incinerator Sludge Tank,15,80,-3,nan,0.25,nan
Incinerator Sludge Tank,15,80,-2,nan,0.25,nan
Incinerator Sludge Tank,15,80,-1,nan,0.25,nan
Incinerator Sludge Tank,15,80,0,nan,0.25,nan
Incinerator Sludge Tank,15,80,1,nan,0.25,nan
Incinerator Sludge Tank,15,80,2,nan,0.25,nan
Incinerator Sludge Tank,15,80,nan,P2,nan,0.0
Incinerator Sludge Tank,15,80,nan,P1,nan,0.0
Incinerator Sludge Tank,15,80,nan,S-1,nan,0.0
Incinerator Sludge Tank,15,80,nan,S-2,nan,0.0
Incinerator Sludge Tank,20,75,-6,nan,0.3,nan
Incinerator Sludge Tank,20,75,-4,nan,0.3,nan
Incinerator Sludge Tank,20,75,-3,nan,0.3,nan
Incinerator Sludge Tank,20,75,-2,nan,0.3,nan
Incinerator Sludge Tank,20,75,-1,nan,0.3,nan
Incinerator Sludge Tank,20,75,0,nan,0.3,nan
Incinerator Sludge Tank,20,75,1,nan,0.3,nan
Incinerator Sludge Tank,20,75,2,nan,0.3,nan
Incinerator Sludge Tank,20,75,nan,P2,nan,0.0
Incinerator Sludge Tank,20,75,nan,P1,nan,0.0
Incinerator Sludge Tank,20,75,nan,S-1,nan,0.0
Incinerator Sludge Tank,20,75,nan,S-2,nan,0.0
Incinerator Sludge Tank,25,70,-6,nan,0.35,nan
Incinerator Sludge Tank,25,70,-4,nan,0.35,nan
Incinerator Sludge Tank,25,70,-3,nan,0.35,nan
Incinerator Sludge Tank,25,70,-2,nan,0.35,nan
Incinerator Sludge Tank,25,70,-1,nan,0.35,nan
Incinerator Sludge Tank,25,70,0,nan,0.35,nan
Incinerator Sludge Tank,25,70,1,nan,0.35,nan
Incinerator Sludge Tank,25,70,2,nan,0.35,nan
Incinerator Sludge Tank,25,70,nan,P2,nan,0.0
Incinerator Sludge Tank,25,70,nan,P1,nan,0.0
Incinerator Sludge Tank,25,70,nan,S-1,nan,0.0
Incinerator Sludge Tank,25,70,nan,S-2,nan,0.0
Incinerator Sludge Tank,30,65,-6,nan,0.4,nan
Incinerator Sludge Tank,30,65,-4,nan,0.4,nan
Incinerator Sludge Tank,30,65,-3,nan,0.4,nan
Incinerator Sludge Tank,30,65,-2,nan,0.4,nan
Incinerator Sludge Tank,30,65,-1,nan,0.4,nan
Incinerator Sludge Tank,30,65,0,nan,0.4,nan
Incinerator Sludge Tank,30,65,1,nan,0.4,nan
Incinerator Sludge Tank,30,65,2,nan,0.4,nan
Incinerator Sludge Tank,30,65,nan,P2,nan,0.0
Incinerator Sludge Tank,30,65,nan,P1,nan,0.0
Incinerator Sludge Tank,30,65,nan,S-1,nan,0.0
Incinerator Sludge Tank,30,65,nan,S-2,nan,0.0
Incinerator Sludge Tank,35,60,-6,nan,0.45,nan
Incinerator Sludge Tank,35,60,-4,nan,0.45,nan
Incinerator Sludge Tank,35,60,-3,nan,0.45,nan
Incinerator Sludge Tank,35,60,-2,nan,0.45,nan
Incinerator Sludge Tank,35,60,-1,nan,0.45,nan
Incinerator Sludge Tank,35,60,0,nan,0.45,nan
Incinerator Sludge Tank,35,60,1,nan,0.45,nan
Incinerator Sludge Tank,35,60,2,nan,0.45,nan
Incinerator Sludge Tank,35,60,nan,P2,nan,0.0
Incinerator Sludge Tank,35,60,nan,P1,nan,0.0
Incinerator Sludge Tank,35,60,nan,S-1,nan,0.0
Incinerator Sludge Tank,35,60,nan,S-2,nan,0.0
Incinerator Sludge Tank,40,55,-6,nan,0.5,nan
Incinerator Sludge Tank,40,55,-4,nan,0.5,nan
Incinerator Sludge Tank,40,55,-3,nan,0.5,nan
Incinerator Sludge Tank,40,55,-2,nan,0.5,nan
Incinerator Sludge Tank,40,55,-1,nan,0.5,nan
Incinerator Sludge Tank,40,55,0,nan,0.5,nan
Incinerator Sludge Tank,40,55,1,nan,0.5,nan
Incinerator Sludge Tank,40,55,2,nan,0.5,nan
Incinerator Sludge Tank,40,55,nan,P2,nan,0.0
Incinerator Sludge Tank,40,55,nan,P1,nan,0.0
Incinerator Sludge Tank,40,55,nan,S-1,nan,0.0
Incinerator Sludge Tank,40,55,nan,S-2,nan,0.0
Incinerator Sludge Tank,45,50,-6,nan,0.55,nan
Incinerator Sludge Tank,45,50,-4,nan,0.55,nan
Incinerator Sludge Tank,45,50,-3,nan,0.55,nan
Incinerator Sludge Tank,45,50,-2,nan,0.55,nan
Incinerator Sludge Tank,45,50,-1,nan,0.55,nan
Incinerator Sludge Tank,45,50,0,nan,0.55,nan
Incinerator Sludge Tank,45,50,1,nan,0.55,nan
Incinerator Sludge Tank,45,50,2,nan,0.55,nan
Incinerator Sludge Tank,45,50,nan,P2,nan,0.0
Incinerator Sludge Tank,45,50,nan,P1,nan,0.0
Incinerator Sludge Tank,45,50,nan,S-1,nan,0.0
Incinerator Sludge Tank,45,50,nan,S-2,nan,0.0
Incinerator Sludge Tank,50,45,-6,nan,0.6,nan
Incinerator Sludge Tank,50,45,-4,nan,0.6,nan
Incinerator Sludge Tank,50,45,-3,nan,0.6,nan
Incinerator Sludge Tank,50,45,-2,nan,0.6,nan
Incinerator Sludge Tank,50,45,-1,nan,0.6,nan
Incinerator Sludge Tank,50,45,0,nan,0.6,nan
Incinerator Sludge Tank,50,45,1,nan,0.6,nan
Incinerator Sludge Tank,50,45,2,nan,0.6,nan
Incinerator Sludge Tank,50,45,nan,P2,nan,0.0
Incinerator Sludge Tank,50,45,nan,P1,nan,0.0
Incinerator Sludge Tank,50,45,nan,S-1,nan,0.0
Incinerator Sludge Tank,50,45,nan,S-2,nan,0.0
Incinerator Sludge Tank,55,40,-6,nan,0.65,nan
Incinerator Sludge Tank,55,40,-4,nan,0.65,nan
Incinerator Sludge Tank,55,40,-3,nan,0.65,nan
Incinerator Sludge Tank,55,40,-2,nan,0.65,nan
Incinerator Sludge Tank,55,40,-1,nan,0.65,nan
Incinerator Sludge Tank,55,40,0,nan,0.65,nan
Incinerator Sludge Tank,55,40,1,nan,0.65,nan
Incinerator Sludge Tank,55,40,2,nan,0.65,nan
Incinerator Sludge Tank,55,40,nan,P2,nan,0.0
Incinerator Sludge Tank,55,40,nan,P1,nan,0.0
Incinerator Sludge Tank,55,40,nan,S-1,nan,0.0
Incinerator Sludge Tank,55,40,nan,S-2,nan,0.0
Incinerator Sludge Tank,60,35,-6,nan,0.7,nan
Incinerator Sludge Tank,60,35,-4,nan,0.7,nan
Incinerator Sludge Tank,60,35,-3,nan,0.7,nan
Incinerator Sludge Tank,60,35,-2,nan,0.7,nan
Incinerator Sludge Tank,60,35,-1,nan,0.7,nan
Incinerator Sludge Tank,60,35,0,nan,0.7,nan
Incinerator Sludge Tank,60,35,1,nan,0.7,nan
Incinerator Sludge Tank,60,35,2,nan,0.7,nan
Incinerator Sludge Tank,60,35,nan,P2,nan,0.0
Incinerator Sludge Tank,60,35,nan,P1,nan,0.0
Incinerator Sludge Tank,60,35,nan,S-1,nan,0.0
Incinerator Sludge Tank,60,35,nan,S-2,nan,0.0
Incinerator Sludge Tank,65,30,-6,nan,0.75,nan
Incinerator Sludge Tank,65,30,-4,nan,0.75,nan
Incinerator Sludge Tank,65,30,-3,nan,0.75,nan
Incinerator Sludge Tank,65,30,-2,nan,0.75,nan
Incinerator Sludge Tank,65,30,-1,nan,0.75,nan
Incinerator Sludge Tank,65,30,0,nan,0.75,nan
Incinerator Sludge Tank,65,30,1,nan,0.75,nan
Incinerator Sludge Tank,65,30,2,nan,0.75,nan
Incinerator Sludge Tank,65,30,nan,P2,nan,0.0
Incinerator Sludge Tank,65,30,nan,P1,nan,0.0
Incinerator Sludge Tank,65,30,nan,S-1,nan,0.0
Incinerator Sludge Tank,65,30,nan,S-2,nan,0.0
Incinerator Sludge Tank,70,25,-6,nan,0.8,nan
Incinerator Sludge Tank,70,25,-4,nan,0.8,nan
Incinerator Sludge Tank,70,25,-3,nan,0.8,nan
Incinerator Sludge Tank,70,25,-2,nan,0.8,nan
Incinerator Sludge Tank,70,25,-1,nan,0.8,nan
Incinerator Sludge Tank,70,25,0,nan,0.8,nan
Incinerator Sludge Tank,70,25,1,nan,0.8,nan
Incinerator Sludge Tank,70,25,2,nan,0.8,nan
Incinerator Sludge Tank,70,25,nan,P2,nan,0.0
Incinerator Sludge Tank,70,25,nan,P1,nan,0.0
Incinerator Sludge Tank,70,25,nan,S-1,nan,0.0
Incinerator Sludge Tank,70,25,nan,S-2,nan,0.0
Incinerator Sludge Tank,75,20,-6,nan,0.85,nan
Incinerator Sludge Tank,75,20,-4,nan,0.85,nan
Incinerator Sludge Tank,75,20,-3,nan,0.85,nan
Incinerator Sludge Tank,75,20,-2,nan,0.85,nan
Incinerator Sludge Tank,75,20,-1,nan,0.85,nan
Incinerator Sludge Tank,75,20,0,nan,0.85,nan
Incinerator Sludge Tank,75,20,1,nan,0.85,nan
Incinerator Sludge Tank,75,20,2,nan,0.85,nan
Incinerator Sludge Tank,75,20,nan,P2,nan,0.0
Incinerator Sludge Tank,75,20,nan,P1,nan,0.0
Incinerator Sludge Tank,75,20,nan,S-1,nan,0.0
Incinerator Sludge Tank,75,20,nan,S-2,nan,0.0
Incinerator Sludge Tank,80,15,-6,nan,0.9,nan
Incinerator Sludge Tank,80,15,-4,nan,0.9,nan
Incinerator Sludge Tank,80,15,-3,nan,0.9,nan
Incinerator Sludge Tank,80,15,-2,nan,0.9,nan
Incinerator Sludge Tank,80,15,-1,nan,0.9,nan
Incinerator Sludge Tank,80,15,0,nan,0.9,nan
Incinerator Sludge Tank,80,15,1,nan,0.9,nan
Incinerator Sludge Tank,80,15,2,nan,0.9,nan
Incinerator Sludge Tank,80,15,nan,P2,nan,0.0
Incinerator Sludge Tank,80,15,nan,P1,nan,0.0
Incinerator Sludge Tank,80,15,nan,S-1,nan,0.0
Incinerator Sludge Tank,80,15,nan,S-2,nan,0.0
Incinerator Sludge Tank,85,10,-6,nan,0.95,nan
Incinerator Sludge Tank,85,10,-4,nan,0.95,nan
Incinerator Sludge Tank,85,10,-3,nan,0.95,nan
Incinerator Sludge Tank,85,10,-2,nan,0.95,nan
Incinerator Sludge Tank,85,10,-1,nan,0.95,nan
Incinerator Sludge Tank,85,10,0,nan,0.95,nan
Incinerator Sludge Tank,85,10,1,nan,0.95,nan
Incinerator Sludge Tank,85,10,2,nan,0.95,nan
Incinerator Sludge Tank,85,10,nan,P2,nan,0.0
Incinerator Sludge Tank,85,10,nan,P1,nan,0.0
Incinerator Sludge Tank,85,10,nan,S-1,nan,0.0
Incinerator Sludge Tank,85,10,nan,S-2,nan,0.0
Incinerator Sludge Tank,90,5,-6,nan,1.0,nan
Incinerator Sludge Tank,90,5,-4,nan,1.0,nan
Incinerator Sludge Tank,90,5,-3,nan,1.0,nan
Incinerator Sludge Tank,90,5,-2,nan,1.0,nan
Incinerator Sludge Tank,90,5,-1,nan,1.0,nan
Incinerator Sludge Tank,90,5,0,nan,1.0,nan
Incinerator Sludge Tank,90,5,1,nan,1.0,nan
Incinerator Sludge Tank,90,5,2,nan,1.0,nan
Incinerator Sludge Tank,90,5,nan,P2,nan,0.0
Incinerator Sludge Tank,90,5,nan,P1,nan,0.0
Incinerator Sludge Tank,90,5,nan,S-1,nan,0.0
Incinerator Sludge Tank,90,5,nan,S-2,nan,0.0
Incinerator Sludge Tank,95,0,-6,nan,1.5,nan
Incinerator Sludge Tank,95,0,-4,nan,1.5,nan
Incinerator Sludge Tank,95,0,-3,nan,1.5,nan
Incinerator Sludge Tank,95,0,-2,nan,1.5,nan
Incinerator Sludge Tank,95,0,-1,nan,1.5,nan
Incinerator Sludge Tank,95,0,0,nan,1.5,nan
Incinerator Sludge Tank,95,0,1,nan,1.5,nan
Incinerator Sludge Tank,95,0,2,nan,1.5,nan
Incinerator Sludge Tank,95,0,nan,P2,nan,0.0
Incinerator Sludge Tank,95,0,nan,P1,nan,0.0
Incinerator Sludge Tank,95,0,nan,S-1,nan,0.0
Incinerator Sludge Tank,95,0,nan,S-2,nan,0.0
