name,sounding_cm,ullage_cm,trim,heel,volume_m3,correction_m3
ME cond tank,cm,cm,-6,nan,m3,nan
ME cond tank,cm,cm,-4,nan,m3,nan
ME cond tank,cm,cm,-3,nan,m3,nan
ME cond tank,cm,cm,-2,nan,m3,nan
ME cond tank,cm,cm,-1,nan,m3,nan
ME cond tank,cm,cm,0,nan,m3,nan
ME cond tank,cm,cm,1,nan,m3,nan
ME cond tank,cm,cm,2,nan,m3,nan
ME cond tank,cm,cm,nan,P2,nan,m3
ME cond tank,cm,cm,nan,P1,nan,m3
ME cond tank,cm,cm,nan,S-1,nan,m3
ME cond tank,cm,cm,nan,S-2,nan,m3
ME cond tank,5,455,-6,nan,0.2,nan
ME cond tank,5,455,-4,nan,0.1,nan
ME cond tank,5,455,-3,nan,0.1,nan
ME cond tank,5,455,-2,nan,0.1,nan
ME cond tank,5,455,-1,nan,0.1,nan
ME cond tank,5,455,0,nan,0.1,nan
ME cond tank,5,455,1,nan,0.1,nan
ME cond tank,5,455,2,nan,0.0,nan
ME cond tank,5,455,nan,P2,nan,0.0
ME cond tank,5,455,nan,P1,nan,0.0
ME cond tank,5,455,nan,S-1,nan,0.0
ME cond tank,5,455,nan,S-2,nan,0.0
ME cond tank,10,450,-6,nan,0.4,nan
ME cond tank,10,450,-4,nan,0.2,nan
ME cond tank,10,450,-3,nan,0.2,nan
ME cond tank,10,450,-2,nan,0.2,nan
ME cond tank,10,450,-1,nan,0.1,nan
ME cond tank,10,450,0,nan,0.1,nan
ME cond tank,10,450,1,nan,0.1,nan
ME cond tank,10,450,2,nan,0.1,nan
ME cond tank,10,450,nan,P2,nan,0.0
ME cond tank,10,450,nan,P1,nan,0.0
ME cond tank,10,450,nan,S-1,nan,0.0
ME cond tank,10,450,nan,S-2,nan,0.0
ME cond tank,15,445,-6,nan,0.5,nan
ME cond tank,15,445,-4,nan,0.4,nan
ME cond tank,15,445,-3,nan,0.3,nan
ME cond tank,15,445,-2,nan,0.3,nan
ME cond tank,15,445,-1,nan,0.2,nan
ME cond tank,15,445,0,nan,0.2,nan
ME cond tank,15,445,1,nan,0.2,nan
ME cond tank,15,445,2,nan,0.2,nan
ME cond tank,15,445,nan,P2,nan,0.0
ME cond tank,15,445,nan,P1,nan,0.0
ME cond tank,15,445,nan,S-1,nan,0.0
ME cond tank,15,445,nan,S-2,nan,0.0
ME cond tank,20,440,-6,nan,0.7,nan
ME cond tank,20,440,-4,nan,0.5,nan
ME cond tank,20,440,-3,nan,0.4,nan
ME cond tank,20,440,-2,nan,0.4,nan
ME cond tank,20,440,-1,nan,0.3,nan
ME cond tank,20,440,0,nan,0.3,nan
ME cond tank,20,440,1,nan,0.3,nan
ME cond tank,20,440,2,nan,0.2,nan
ME cond tank,20,440,nan,P2,nan,0.0
ME cond tank,20,440,nan,P1,nan,0.0
ME cond tank,20,440,nan,S-1,nan,0.0
ME cond tank,20,440,nan,S-2,nan,0.0
ME cond tank,25,435,-6,nan,0.9,nan
ME cond tank,25,435,-4,nan,0.7,nan
ME cond tank,25,435,-3,nan,0.6,nan
ME cond tank,25,435,-2,nan,0.5,nan
ME cond tank,25,435,-1,nan,0.5,nan
ME cond tank,25,435,0,nan,0.4,nan
ME cond tank,25,435,1,nan,0.4,nan
ME cond tank,25,435,2,nan,0.3,nan
ME cond tank,25,435,nan,P2,nan,0.0
ME cond tank,25,435,nan,P1,nan,0.0
ME cond tank,25,435,nan,S-1,nan,0.0
ME cond tank,25,435,nan,S-2,nan,0.0
ME cond tank,30,430,-6,nan,1.1,nan
ME cond tank,30,430,-4,nan,0.9,nan
ME cond tank,30,430,-3,nan,0.8,nan
ME cond tank,30,430,-2,nan,0.7,nan
ME cond tank,30,430,-1,nan,0.6,nan
ME cond tank,30,430,0,nan,0.6,nan
ME cond tank,30,430,1,nan,0.5,nan
ME cond tank,30,430,2,nan,0.5,nan
ME cond tank,30,430,nan,P2,nan,0.0
ME cond tank,30,430,nan,P1,nan,0.0
ME cond tank,30,430,nan,S-1,nan,0.0
ME cond tank,30,430,nan,S-2,nan,0.0
ME cond tank,35,425,-6,nan,1.4,nan
ME cond tank,35,425,-4,nan,1.1,nan
ME cond tank,35,425,-3,nan,1.0,nan
ME cond tank,35,425,-2,nan,0.9,nan
ME cond tank,35,425,-1,nan,0.8,nan
