name,sounding_cm,ullage_cm,trim,heel,volume_m3,correction_m3
ME LO Sump Tank,cm,cm,-6,nan,m3,nan
ME LO Sump Tank,cm,cm,-4,nan,m3,nan
ME LO Sump Tank,cm,cm,-3,nan,m3,nan
ME LO Sump Tank,cm,cm,-2,nan,m3,nan
ME LO Sump Tank,cm,cm,-1,nan,m3,nan
ME LO Sump Tank,cm,cm,0,nan,m3,nan
ME LO Sump Tank,cm,cm,1,nan,m3,nan
ME LO Sump Tank,cm,cm,2,nan,m3,nan
ME LO Sump Tank,cm,cm,nan,P2,nan,m3
ME LO Sump Tank,cm,cm,nan,P1,nan,m3
ME LO Sump Tank,cm,cm,nan,S-1,nan,m3
ME LO Sump Tank,cm,cm,nan,S-2,nan,m3
ME LO Sump Tank,0,382,-6,nan,0.1,nan
ME LO Sump Tank,0,382,-4,nan,0.2,nan
ME LO Sump Tank,0,382,-3,nan,0.2,nan
ME LO Sump Tank,0,382,-2,nan,0.3,nan
ME LO Sump Tank,0,382,-1,nan,0.5,nan
ME LO Sump Tank,0,382,0,nan,0.8,nan
ME LO Sump Tank,0,382,1,nan,1.1,nan
ME LO Sump Tank,0,382,2,nan,1.5,nan
ME LO Sump Tank,0,382,nan,P2,nan,-0.5
ME LO Sump Tank,0,382,nan,P1,nan,-0.4
ME LO Sump Tank,0,382,nan,S-1,nan,0.4
ME LO Sump Tank,0,382,nan,S-2,nan,0.8
ME LO Sump Tank,5,377,-6,nan,0.5,nan
ME LO Sump Tank,5,377,-4,nan,0.7,nan
ME LO Sump Tank,5,377,-3,nan,0.8,nan
ME LO Sump Tank,5,377,-2,nan,1.1,nan
ME LO Sump Tank,5,377,-1,nan,1.5,nan
ME LO Sump Tank,5,377,0,nan,1.8,nan
ME LO Sump Tank,5,377,1,nan,2.1,nan
ME LO Sump Tank,5,377,2,nan,2.5,nan
ME LO Sump Tank,5,377,nan,P2,nan,-0.8
ME LO Sump Tank,5,377,nan,P1,nan,-0.4
ME LO Sump Tank,5,377,nan,S-1,nan,0.4
ME LO Sump Tank,5,377,nan,S-2,nan,0.8
ME LO Sump Tank,10,372,-6,nan,1.1,nan
ME LO Sump Tank,10,372,-4,nan,1.5,nan
ME LO Sump Tank,10,372,-3,nan,1.8,nan
ME LO Sump Tank,10,372,-2,nan,2.1,nan
ME LO Sump Tank,10,372,-1,nan,2.5,nan
ME LO Sump Tank,10,372,0,nan,2.8,nan
ME LO Sump Tank,10,372,1,nan,3.1,nan
ME LO Sump Tank,10,372,2,nan,3.5,nan
ME LO Sump Tank,10,372,nan,P2,nan,-0.8
ME LO Sump Tank,10,372,nan,P1,nan,-0.4
ME LO Sump Tank,10,372,nan,S-1,nan,0.4
ME LO Sump Tank,10,372,nan,S-2,nan,0.8
ME LO Sump Tank,15,367,-6,nan,1.8,nan
ME LO Sump Tank,15,367,-4,nan,2.5,nan
ME LO Sump Tank,15,367,-3,nan,2.8,nan
ME LO Sump Tank,15,367,-2,nan,3.1,nan
ME LO Sump Tank,15,367,-1,nan,3.5,nan
ME LO Sump Tank,15,367,0,nan,3.8,nan
ME LO Sump Tank,15,367,1,nan,4.1,nan
ME LO Sump Tank,15,367,2,nan,4.5,nan
ME LO Sump Tank,15,367,nan,P2,nan,-0.8
ME LO Sump Tank,15,367,nan,P1,nan,-0.4
ME LO Sump Tank,15,367,nan,S-1,nan,0.4
ME LO Sump Tank,15,367,nan,S-2,nan,0.8
ME LO Sump Tank,20,362,-6,nan,2.8,nan
ME LO Sump Tank,20,362,-4,nan,3.5,nan
ME LO Sump Tank,20,362,-3,nan,3.8,nan
ME LO Sump Tank,20,362,-2,nan,4.1,nan
ME LO Sump Tank,20,362,-1,nan,4.5,nan
ME LO Sump Tank,20,362,0,nan,4.8,nan
ME LO Sump Tank,20,362,1,nan,5.1,nan
ME LO Sump Tank,20,362,2,nan,5.5,nan
ME LO Sump Tank,20,362,nan,P2,nan,-0.8
ME LO Sump Tank,20,362,nan,P1,nan,-0.4
ME LO Sump Tank,20,362,nan,S-1,nan,0.4
ME LO Sump Tank,20,362,nan,S-2,nan,0.8
ME LO Sump Tank,25,357,-6,nan,3.8,nan
ME LO Sump Tank,25,357,-4,nan,4.5,nan
ME LO Sump Tank,25,357,-3,nan,4.8,nan
ME LO Sump Tank,25,357,-2,nan,5.1,nan
ME LO Sump Tank,25,357,-1,nan,5.5,nan
ME LO Sump Tank,25,357,0,nan,5.8,nan
ME LO Sump Tank,25,357,1,nan,6.1,nan
ME LO Sump Tank,25,357,2,nan,6.5,nan
ME LO Sump Tank,25,357,nan,P2,nan,-0.8
ME LO Sump Tank,25,357,nan,P1,nan,-0.4
ME LO Sump Tank,25,357,nan,S-1,nan,0.4
ME LO Sump Tank,25,357,nan,S-2,nan,0.8
