name,sounding_cm,ullage_cm,trim,heel,volume_m3,correction_m3
Sludge Tank,cm,cm,-6,nan,m3,nan
Sludge Tank,cm,cm,-4,nan,m3,nan
Sludge Tank,cm,cm,-3,nan,m3,nan
Sludge Tank,cm,cm,-2,nan,m3,nan
Sludge Tank,cm,cm,-1,nan,m3,nan
Sludge Tank,cm,cm,0,nan,m3,nan
Sludge Tank,cm,cm,1,nan,m3,nan
Sludge Tank,cm,cm,2,nan,m3,nan
Sludge Tank,cm,cm,nan,P2,nan,m3
Sludge Tank,cm,cm,nan,P1,nan,m3
Sludge Tank,cm,cm,nan,S-1,nan,m3
Sludge Tank,cm,cm,nan,S-2,nan,m3
Sludge Tank,0,300,-6,nan,0.0,nan
Sludge Tank,0,300,-4,nan,0.0,nan
Sludge Tank,0,300,-3,nan,0.0,nan
Sludge Tank,0,300,-2,nan,0.0,nan
Sludge Tank,0,300,-1,nan,0.1,nan
Sludge Tank,0,300,0,nan,0.1,nan
Sludge Tank,0,300,1,nan,0.1,nan
Sludge Tank,0,300,2,nan,0.1,nan
Sludge Tank,0,300,nan,P2,nan,0.1
Sludge Tank,0,300,nan,P1,nan,0.0
Sludge Tank,0,300,nan,S-1,nan,0.0
Sludge Tank,0,300,nan,S-2,nan,0.0
Sludge Tank,5,295,-6,nan,0.2,nan
Sludge Tank,5,295,-4,nan,0.2,nan
Sludge Tank,5,295,-3,nan,0.2,nan
Sludge Tank,5,295,-2,nan,0.2,nan
Sludge Tank,5,295,-1,nan,0.2,nan
Sludge Tank,5,295,0,nan,0.2,nan
Sludge Tank,5,295,1,nan,0.2,nan
Sludge Tank,5,295,2,nan,0.2,nan
Sludge Tank,5,295,nan,P2,nan,0.1
Sludge Tank,5,295,nan,P1,nan,0.0
Sludge Tank,5,295,nan,S-1,nan,0.0
Sludge Tank,5,295,nan,S-2,nan,-0.1
Sludge Tank,10,290,-6,nan,0.3,nan
Sludge Tank,10,290,-4,nan,0.3,nan
Sludge Tank,10,290,-3,nan,0.3,nan
Sludge Tank,10,290,-2,nan,0.3,nan
Sludge Tank,10,290,-1,nan,0.3,nan
Sludge Tank,10,290,0,nan,0.4,nan
Sludge Tank,10,290,1,nan,0.4,nan
Sludge Tank,10,290,2,nan,0.4,nan
Sludge Tank,10,290,nan,P2,nan,0.1
Sludge Tank,10,290,nan,P1,nan,0.0
Sludge Tank,10,290,nan,S-1,nan,0.0
Sludge Tank,10,290,nan,S-2,nan,-0.1
Sludge Tank,15,285,-6,nan,0.4,nan
Sludge Tank,15,285,-4,nan,0.5,nan
Sludge Tank,15,285,-3,nan,0.5,nan
Sludge Tank,15,285,-2,nan,0.5,nan
Sludge Tank,15,285,-1,nan,0.5,nan
Sludge Tank,15,285,0,nan,0.5,nan
Sludge Tank,15,285,1,nan,0.5,nan
