name,sounding_cm,ullage_cm,trim,heel,volume_m3,correction_m3
GE_LO_ST_2,cm,cm,-6,nan,m3,nan
GE_LO_ST_2,cm,cm,-4,nan,m3,nan
GE_LO_ST_2,cm,cm,-3,nan,m3,nan
GE_LO_ST_2,cm,cm,-2,nan,m3,nan
GE_LO_ST_2,cm,cm,-1,nan,m3,nan
GE_LO_ST_2,cm,cm,0,nan,m3,nan
GE_LO_ST_2,cm,cm,1,nan,m3,nan
GE_LO_ST_2,cm,cm,2,nan,m3,nan
GE_LO_ST_2,cm,cm,nan,P2,nan,m3
GE_LO_ST_2,cm,cm,nan,P1,nan,m3
GE_LO_ST_2,cm,cm,nan,S-1,nan,m3
GE_LO_ST_2,cm,cm,nan,S-2,nan,m3
GE_LO_ST_2,0,320,-6,nan,0.0,nan
GE_LO_ST_2,0,320,-4,nan,0.0,nan
GE_LO_ST_2,0,320,-3,nan,0.0,nan
GE_LO_ST_2,0,320,-2,nan,0.0,nan
GE_LO_ST_2,0,320,-1,nan,0.0,nan
GE_LO_ST_2,0,320,0,nan,0.0,nan
GE_LO_ST_2,0,320,1,nan,0.0,nan
GE_LO_ST_2,0,320,2,nan,0.0,nan
GE_LO_ST_2,0,320,nan,P2,nan,0.0
GE_LO_ST_2,0,320,nan,P1,nan,0.0
GE_LO_ST_2,0,320,nan,S-1,nan,0.0
GE_LO_ST_2,0,320,nan,S-2,nan,0.0
GE_LO_ST_2,5,315,-6,nan,0.0,nan
GE_LO_ST_2,5,315,-4,nan,0.0,nan
GE_LO_ST_2,5,315,-3,nan,0.0,nan
GE_LO_ST_2,5,315,-2,nan,0.0,nan
GE_LO_ST_2,5,315,-1,nan,0.0,nan
GE_LO_ST_2,5,315,0,nan,0.0,nan
GE_LO_ST_2,5,315,1,nan,0.0,nan
GE_LO_ST_2,5,315,2,nan,0.0,nan
GE_LO_ST_2,5,315,nan,P2,nan,0.0
GE_LO_ST_2,5,315,nan,P1,nan,0.0
GE_LO_ST_2,5,315,nan,S-1,nan,0.0
GE_LO_ST_2,5,315,nan,S-2,nan,0.0
GE_LO_ST_2,10,310,-6,nan,0.1,nan
GE_LO_ST_2,10,310,-4,nan,0.1,nan
GE_LO_ST_2,10,310,-3,nan,0.1,nan
GE_LO_ST_2,10,310,-2,nan,0.1,nan
GE_LO_ST_2,10,310,-1,nan,0.1,nan
GE_LO_ST_2,10,310,0,nan,0.1,nan
GE_LO_ST_2,10,310,1,nan,0.1,nan
GE_LO_ST_2,10,310,2,nan,0.1,nan
GE_LO_ST_2,10,310,nan,P2,nan,0.0
GE_LO_ST_2,10,310,nan,P1,nan,0.0
GE_LO_ST_2,10,310,nan,S-1,nan,0.0
GE_LO_ST_2,10,310,nan,S-2,nan,0.0
GE_LO_ST_2,15,305,-6,nan,0.2,nan
GE_LO_ST_2,15,305,-4,nan,0.2,nan
