name,sounding_cm,ullage_cm,trim,heel,volume_m3,correction_m3
Stuffing_Box_Drain_Tk,cm,cm,-6,nan,m3,nan
Stuffing_Box_Drain_Tk,cm,cm,-4,nan,m3,nan
Stuffing_Box_Drain_Tk,cm,cm,-3,nan,m3,nan
Stuffing_Box_Drain_Tk,cm,cm,-2,nan,m3,nan
Stuffing_Box_Drain_Tk,cm,cm,-1,nan,m3,nan
Stuffing_Box_Drain_Tk,cm,cm,0,nan,m3,nan
Stuffing_Box_Drain_Tk,cm,cm,1,nan,m3,nan
Stuffing_Box_Drain_Tk,cm,cm,2,nan,m3,nan
Stuffing_Box_Drain_Tk,cm,cm,nan,P2,nan,m3
Stuffing_Box_Drain_Tk,cm,cm,nan,P1,nan,m3
Stuffing_Box_Drain_Tk,cm,cm,nan,S-1,nan,m3
Stuffing_Box_Drain_Tk,cm,cm,nan,S-2,nan,m3
Stuffing_Box_Drain_Tk,0.0,110.0,-6,nan,0.0,nan
Stuffing_Box_Drain_Tk,0.0,110.0,-4,nan,0.0,nan
Stuffing_Box_Drain_Tk,0.0,110.0,-3,nan,0.0,nan
Stuffing_Box_Drain_Tk,0.0,110.0,-2,nan,0.0,nan
Stuffing_Box_Drain_Tk,0.0,110.0,-1,nan,0.0,nan
Stuffing_Box_Drain_Tk,0.0,110.0,0,nan,0.0,nan
Stuffing_Box_Drain_Tk,0.0,110.0,1,nan,0.0,nan
Stuffing_Box_Drain_Tk,0.0,110.0,2,nan,0.0,nan
Stuffing_Box_Drain_Tk,0.0,110.0,nan,P2,nan,0.0
Stuffing_Box_Drain_Tk,0.0,110.0,nan,P1,nan,0.0
Stuffing_Box_Drain_Tk,0.0,110.0,nan,S-1,nan,0.0
Stuffing_Box_Drain_Tk,0.0,110.0,nan,S-2,nan,0.0
Stuffing_Box_Drain_Tk,5.0,105.0,-6,nan,0.02,nan
Stuffing_Box_Drain_Tk,5.0,105.0,-4,nan,0.02,nan
