name,sounding_cm,ullage_cm,trim,heel,volume_m3,correction_m3
Sewage_Holding_Tank,cm,cm,-6,nan,m3,nan
Sewage_Holding_Tank,cm,cm,-4,nan,m3,nan
Sewage_Holding_Tank,cm,cm,-3,nan,m3,nan
Sewage_Holding_Tank,cm,cm,-2,nan,m3,nan
Sewage_Holding_Tank,cm,cm,-1,nan,m3,nan
Sewage_Holding_Tank,cm,cm,0,nan,m3,nan
Sewage_Holding_Tank,cm,cm,1,nan,m3,nan
Sewage_Holding_Tank,cm,cm,2,nan,m3,nan
Sewage_Holding_Tank,cm,cm,nan,P2,nan,m3
Sewage_Holding_Tank,cm,cm,nan,P1,nan,m3
Sewage_Holding_Tank,cm,cm,nan,S-1,nan,m3
Sewage_Holding_Tank,cm,cm,nan,S-2,nan,m3
Sewage_Holding_Tank,0,450,-6,nan,0.0,nan
Sewage_Holding_Tank,0,450,-4,nan,0.0,nan
Sewage_Holding_Tank,0,450,-3,nan,0.0,nan
Sewage_Holding_Tank,0,450,-2,nan,0.0,nan
Sewage_Holding_Tank,0,450,-1,nan,0.0,nan
Sewage_Holding_Tank,0,450,0,nan,0.0,nan
Sewage_Holding_Tank,0,450,1,nan,0.0,nan
Sewage_Holding_Tank,0,450,2,nan,0.0,nan
Sewage_Holding_Tank,0,450,nan,P2,nan,0.0
Sewage_Holding_Tank,0,450,nan,P1,nan,0.0
Sewage_Holding_Tank,0,450,nan,S-1,nan,0.0
Sewage_Holding_Tank,0,450,nan,S-2,nan,0.0
Sewage_Holding_Tank,5,445,-6,nan,0.1,nan
Sewage_Holding_Tank,5,445,-4,nan,0.1,nan
Sewage_Holding_Tank,5,445,-3,nan,0.1,nan
Sewage_Holding_Tank,5,445,-2,nan,0.1,nan
Sewage_Holding_Tank,5,445,-1,nan,0.1,nan
Sewage_Holding_Tank,5,445,0,nan,0.1,nan
Sewage_Holding_Tank,5,445,1,nan,0.1,nan
Sewage_Holding_Tank,5,445,2,nan,0.1,nan
Sewage_Holding_Tank,5,445,nan,P2,nan,0.0
Sewage_Holding_Tank,5,445,nan,P1,nan,0.0
Sewage_Holding_Tank,5,445,nan,S-1,nan,0.0
Sewage_Holding_Tank,5,445,nan,S-2,nan,0.0
Sewage_Holding_Tank,10,440,-6,nan,0.3,nan
Sewage_Holding_Tank,10,440,-4,nan,0.3,nan
Sewage_Holding_Tank,10,440,-3,nan,0.3,nan
Sewage_Holding_Tank,10,440,-2,nan,0.3,nan
Sewage_Holding_Tank,10,440,-1,nan,0.3,nan
Sewage_Holding_Tank,10,440,0,nan,0.3,nan
Sewage_Holding_Tank,10,440,1,nan,0.3,nan
Sewage_Holding_Tank,10,440,2,nan,0.3,nan
Sewage_Holding_Tank,10,440,nan,P2,nan,0.0
Sewage_Holding_Tank,10,440,nan,P1,nan,0.0
Sewage_Holding_Tank,10,440,nan,S-1,nan,0.0
Sewage_Holding_Tank,10,440,nan,S-2,nan,0.0
Sewage_Holding_Tank,15,435,-6,nan,0.5,nan
Sewage_Holding_Tank,15,435,-4,nan,0.5,nan
Sewage_Holding_Tank,15,435,-3,nan,0.5,nan
Sewage_Holding_Tank,15,435,-2,nan,0.5,nan
Sewage_Holding_Tank,15,435,-1,nan,0.5,nan
Sewage_Holding_Tank,15,435,0,nan,0.5,nan
Sewage_Holding_Tank,15,435,1,nan,0.5,nan
Sewage_Holding_Tank,15,435,2,nan,0.5,nan
Sewage_Holding_Tank,15,435,nan,P2,nan,0.0
Sewage_Holding_Tank,15,435,nan,P1,nan,0.0
Sewage_Holding_Tank,15,435,nan,S-1,nan,0.0
Sewage_Holding_Tank,15,435,nan,S-2,nan,0.0
Sewage_Holding_Tank,20,430,-6,nan,0.7,nan
Sewage_Holding_Tank,20,430,-4,nan,0.7,nan
Sewage_Holding_Tank,20,430,-3,nan,0.7,nan
Sewage_Holding_Tank,20,430,-2,nan,0.7,nan
Sewage_Holding_Tank,20,430,-1,nan,0.7,nan
Sewage_Holding_Tank,20,430,0,nan,0.7,nan
Sewage_Holding_Tank,20,430,1,nan,0.7,nan
Sewage_Holding_Tank,20,430,2,nan,0.7,nan
Sewage_Holding_Tank,20,430,nan,P2,nan,0.0
Sewage_Holding_Tank,20,430,nan,P1,nan,0.0
Sewage_Holding_Tank,20,430,nan,S-1,nan,0.0
Sewage_Holding_Tank,20,430,nan,S-2,nan,0.0
Sewage_Holding_Tank,25,425,-6,nan,0.9,nan
Sewage_Holding_Tank,25,425,-4,nan,0.9,nan
Sewage_Holding_Tank,25,425,-3,nan,0.9,nan
Sewage_Holding_Tank,25,425,-2,nan,0.9,nan
Sewage_Holding_Tank,25,425,-1,nan,0.9,nan
Sewage_Holding_Tank,25,425,0,nan,0.9,nan
Sewage_Holding_Tank,25,425,1,nan,0.9,nan
Sewage_Holding_Tank,25,425,2,nan,0.9,nan
Sewage_Holding_Tank,25,425,nan,P2,nan,0.0
Sewage_Holding_Tank,25,425,nan,P1,nan,0.0
Sewage_Holding_Tank,25,425,nan,S-1,nan,0.0
Sewage_Holding_Tank,25,425,nan,S-2,nan,0.0
Sewage_Holding_Tank,30,420,-6,nan,1.1,nan
Sewage_Holding_Tank,30,420,-4,nan,1.1,nan
Sewage_Holding_Tank,30,420,-3,nan,1.1,nan
Sewage_Holding_Tank,30,420,-2,nan,1.1,nan
Sewage_Holding_Tank,30,420,-1,nan,1.1,nan
Sewage_Holding_Tank,30,420,0,nan,1.1,nan
Sewage_Holding_Tank,30,420,1,nan,1.1,nan
Sewage_Holding_Tank,30,420,2,nan,1.1,nan
Sewage_Holding_Tank,30,420,nan,P2,nan,0.0
Sewage_Holding_Tank,30,420,nan,P1,nan,0.0
Sewage_Holding_Tank,30,420,nan,S-1,nan,0.0
Sewage_Holding_Tank,30,420,nan,S-2,nan,0.0
Sewage_Holding_Tank,35,415,-6,nan,1.3,nan
Sewage_Holding_Tank,35,415,-4,nan,1.3,nan
Sewage_Holding_Tank,35,415,-3,nan,1.3,nan
Sewage_Holding_Tank,35,415,-2,nan,1.3,nan
Sewage_Holding_Tank,35,415,-1,nan,1.3,nan
Sewage_Holding_Tank,35,415,0,nan,1.3,nan
Sewage_Holding_Tank,35,415,1,nan,1.3,nan
Sewage_Holding_Tank,35,415,2,nan,1.3,nan
Sewage_Holding_Tank,35,415,nan,P2,nan,0.0
Sewage_Holding_Tank,35,415,nan,P1,nan,0.0
Sewage_Holding_Tank,35,415,nan,S-1,nan,0.0
Sewage_Holding_Tank,35,415,nan,S-2,nan,0.0
Sewage_Holding_Tank,40,410,-6,nan,1.5,nan
Sewage_Holding_Tank,40,410,-4,nan,1.5,nan
Sewage_Holding_Tank,40,410,-3,nan,1.5,nan
Sewage_Holding_Tank,40,410,-2,nan,1.5,nan
Sewage_Holding_Tank,40,410,-1,nan,1.5,nan
Sewage_Holding_Tank,40,410,0,nan,1.5,nan
Sewage_Holding_Tank,40,410,1,nan,1.5,nan
Sewage_Holding_Tank,40,410,2,nan,1.5,nan
Sewage_Holding_Tank,40,410,nan,P2,nan,0.0
Sewage_Holding_Tank,40,410,nan,P1,nan,0.0
Sewage_Holding_Tank,40,410,nan,S-1,nan,0.0
Sewage_Holding_Tank,40,410,nan,S-2,nan,0.0
Sewage_Holding_Tank,45,405,-6,nan,1.7,nan
Sewage_Holding_Tank,45,405,-4,nan,1.7,nan
Sewage_Holding_Tank,45,405,-3,nan,1.7,nan
Sewage_Holding_Tank,45,405,-2,nan,1.7,nan
Sewage_Holding_Tank,45,405,-1,nan,1.7,nan
Sewage_Holding_Tank,45,405,0,nan,1.7,nan
Sewage_Holding_Tank,45,405,1,nan,1.7,nan
Sewage_Holding_Tank,45,405,2,nan,1.7,nan
Sewage_Holding_Tank,45,405,nan,P2,nan,0.0
Sewage_Holding_Tank,45,405,nan,P1,nan,0.0
Sewage_Holding_Tank,45,405,nan,S-1,nan,0.0
Sewage_Holding_Tank,45,405,nan,S-2,nan,0.0
Sewage_Holding_Tank,50,400,-6,nan,1.9,nan
Sewage_Holding_Tank,50,400,-4,nan,1.9,nan
Sewage_Holding_Tank,50,400,-3,nan,1.9,nan
Sewage_Holding_Tank,50,400,-2,nan,1.9,nan
Sewage_Holding_Tank,50,400,-1,nan,1.9,nan
Sewage_Holding_Tank,50,400,0,nan,1.9,nan
Sewage_Holding_Tank,50,400,1,nan,1.9,nan
Sewage_Holding_Tank,50,400,2,nan,1.9,nan
Sewage_Holding_Tank,50,400,nan,P2,nan,0.0
Sewage_Holding_Tank,50,400,nan,P1,nan,0.0
Sewage_Holding_Tank,50,400,nan,S-1,nan,0.0
Sewage_Holding_Tank,50,400,nan,S-2,nan,0.0
Sewage_Holding_Tank,55,395,-6,nan,2.05,nan
Sewage_Holding_Tank,55,395,-4,nan,2.05,nan
Sewage_Holding_Tank,55,395,-3,nan,2.05,nan
Sewage_Holding_Tank,55,395,-2,nan,2.05,nan
Sewage_Holding_Tank,55,395,-1,nan,2.05,nan
Sewage_Holding_Tank,55,395,0,nan,2.05,nan
Sewage_Holding_Tank,55,395,1,nan,2.05,nan
Sewage_Holding_Tank,55,395,2,nan,2.05,nan
Sewage_Holding_Tank,55,395,nan,P2,nan,0.0
Sewage_Holding_Tank,55,395,nan,P1,nan,0.0
Sewage_Holding_Tank,55,395,nan,S-1,nan,0.0
Sewage_Holding_Tank,55,395,nan,S-2,nan,0.0
Sewage_Holding_Tank,60,390,-6,nan,2.2,nan
Sewage_Holding_Tank,60,390,-4,nan,2.2,nan
Sewage_Holding_Tank,60,390,-3,nan,2.2,nan
Sewage_Holding_Tank,60,390,-2,nan,2.2,nan
Sewage_Holding_Tank,60,390,-1,nan,2.2,nan
Sewage_Holding_Tank,60,390,0,nan,2.2,nan
Sewage_Holding_Tank,60,390,1,nan,2.2,nan
