name,sounding_cm,ullage_cm,trim,heel,volume_m3,correction_m3
ER_Sewage_Hold_Tk,cm,cm,-6,nan,m3,nan
ER_Sewage_Hold_Tk,cm,cm,-4,nan,m3,nan
ER_Sewage_Hold_Tk,cm,cm,-3,nan,m3,nan
ER_Sewage_Hold_Tk,cm,cm,-2,nan,m3,nan
ER_Sewage_Hold_Tk,cm,cm,-1,nan,m3,nan
ER_Sewage_Hold_Tk,cm,cm,0,nan,m3,nan
ER_Sewage_Hold_Tk,cm,cm,1,nan,m3,nan
ER_Sewage_Hold_Tk,cm,cm,2,nan,m3,nan
ER_Sewage_Hold_Tk,cm,cm,nan,P2,nan,m3
ER_Sewage_Hold_Tk,cm,cm,nan,P1,nan,m3
ER_Sewage_Hold_Tk,cm,cm,nan,S-1,nan,m3
ER_Sewage_Hold_Tk,cm,cm,nan,S-2,nan,m3
ER_Sewage_Hold_Tk,0.0,310.0,-6,nan,0.0,nan
ER_Sewage_Hold_Tk,0.0,310.0,-4,nan,0.0,nan
ER_Sewage_Hold_Tk,0.0,310.0,-3,nan,0.0,nan
ER_Sewage_Hold_Tk,0.0,310.0,-2,nan,0.0,nan
ER_Sewage_Hold_Tk,0.0,310.0,-1,nan,0.0,nan
ER_Sewage_Hold_Tk,0.0,310.0,0,nan,0.0,nan
ER_Sewage_Hold_Tk,0.0,310.0,1,nan,0.0,nan
ER_Sewage_Hold_Tk,0.0,310.0,2,nan,0.0,nan
ER_Sewage_Hold_Tk,0.0,310.0,nan,P2,nan,0.0
ER_Sewage_Hold_Tk,0.0,310.0,nan,P1,nan,0.0
ER_Sewage_Hold_Tk,0.0,310.0,nan,S-1,nan,0.0
ER_Sewage_Hold_Tk,0.0,310.0,nan,S-2,nan,0.0
ER_Sewage_Hold_Tk,10.0,300.0,-6,nan,0.3,nan
ER_Sewage_Hold_Tk,10.0,300.0,-4,nan,0.3,nan
ER_Sewage_Hold_Tk,10.0,300.0,-3,nan,0.3,nan
ER_Sewage_Hold_Tk,10.0,300.0,-2,nan,0.3,nan
ER_Sewage_Hold_Tk,10.0,300.0,-1,nan,0.3,nan
ER_Sewage_Hold_Tk,10.0,300.0,0,nan,0.3,nan
ER_Sewage_Hold_Tk,10.0,300.0,1,nan,0.3,nan
ER_Sewage_Hold_Tk,10.0,300.0,2,nan,0.3,nan
