name,sounding_cm,ullage_cm,trim,heel,volume_m3,correction_m3
FWT_Tech_W,cm,cm,-6,nan,m3,nan
FWT_Tech_W,cm,cm,-4,nan,m3,nan
FWT_Tech_W,cm,cm,-3,nan,m3,nan
FWT_Tech_W,cm,cm,-2,nan,m3,nan
FWT_Tech_W,cm,cm,-1,nan,m3,nan
FWT_Tech_W,cm,cm,0,nan,m3,nan
FWT_Tech_W,cm,cm,1,nan,m3,nan
FWT_Tech_W,cm,cm,2,nan,m3,nan
FWT_Tech_W,cm,cm,nan,P2,nan,m3
FWT_Tech_W,cm,cm,nan,P1,nan,m3
FWT_Tech_W,cm,cm,nan,S-1,nan,m3
FWT_Tech_W,cm,cm,nan,S-2,nan,m3
FWT_Tech_W,0,340,-6,nan,3.9,nan
FWT_Tech_W,0,340,-4,nan,3.9,nan
FWT_Tech_W,0,340,-3,nan,3.9,nan
FWT_Tech_W,0,340,-2,nan,3.9,nan
FWT_Tech_W,0,340,-1,nan,3.9,nan
FWT_Tech_W,0,340,0,nan,3.9,nan
FWT_Tech_W,0,340,1,nan,3.9,nan
FWT_Tech_W,0,340,2,nan,3.9,nan
FWT_Tech_W,0,340,nan,P2,nan,-0.3
FWT_Tech_W,0,340,nan,P1,nan,-0.2
FWT_Tech_W,0,340,nan,S-1,nan,0.2
FWT_Tech_W,0,340,nan,S-2,nan,0.4
FWT_Tech_W,5,335,-6,nan,4.5,nan
FWT_Tech_W,5,335,-4,nan,4.4,nan
FWT_Tech_W,5,335,-3,nan,4.4,nan
FWT_Tech_W,5,335,-2,nan,4.4,nan
FWT_Tech_W,5,335,-1,nan,4.4,nan
FWT_Tech_W,5,335,0,nan,4.4,nan
FWT_Tech_W,5,335,1,nan,4.4,nan
FWT_Tech_W,5,335,2,nan,4.4,nan
FWT_Tech_W,5,335,nan,P2,nan,-0.4
FWT_Tech_W,5,335,nan,P1,nan,-0.2
FWT_Tech_W,5,335,nan,S-1,nan,0.2
FWT_Tech_W,5,335,nan,S-2,nan,0.4
FWT_Tech_W,10,330,-6,nan,5.0,nan
FWT_Tech_W,10,330,-4,nan,5.0,nan
FWT_Tech_W,10,330,-3,nan,5.0,nan
FWT_Tech_W,10,330,-2,nan,5.0,nan
FWT_Tech_W,10,330,-1,nan,4.9,nan
FWT_Tech_W,10,330,0,nan,4.9,nan
FWT_Tech_W,10,330,1,nan,4.9,nan
FWT_Tech_W,10,330,2,nan,4.9,nan
FWT_Tech_W,10,330,nan,P2,nan,-0.4
FWT_Tech_W,10,330,nan,P1,nan,-0.2
FWT_Tech_W,10,330,nan,S-1,nan,0.2
FWT_Tech_W,10,330,nan,S-2,nan,0.5
FWT_Tech_W,15,325,-6,nan,5.6,nan
FWT_Tech_W,15,325,-4,nan,5.6,nan
FWT_Tech_W,15,325,-3,nan,5.5,nan
FWT_Tech_W,15,325,-2,nan,5.5,nan
FWT_Tech_W,15,325,-1,nan,5.5,nan
FWT_Tech_W,15,325,0,nan,5.5,nan
FWT_Tech_W,15,325,1,nan,5.5,nan
FWT_Tech_W,15,325,2,nan,5.5,nan
FWT_Tech_W,15,325,nan,P2,nan,-0.5
FWT_Tech_W,15,325,nan,P1,nan,-0.2
FWT_Tech_W,15,325,nan,S-1,nan,0.3
FWT_Tech_W,15,325,nan,S-2,nan,0.5
FWT_Tech_W,20,320,-6,nan,6.3,nan
FWT_Tech_W,20,320,-4,nan,6.2,nan
FWT_Tech_W,20,320,-3,nan,6.2,nan
FWT_Tech_W,20,320,-2,nan,6.1,nan
FWT_Tech_W,20,320,-1,nan,6.1,nan
FWT_Tech_W,20,320,0,nan,6.1,nan
FWT_Tech_W,20,320,1,nan,6.1,nan
FWT_Tech_W,20,320,2,nan,6.0,nan
