name,sounding_cm,ullage_cm,trim,heel,volume_m3,correction_m3
Under_Piston_Box_Drain,cm,cm,-6,nan,m3,nan
Under_Piston_Box_Drain,cm,cm,-4,nan,m3,nan
Under_Piston_Box_Drain,cm,cm,-3,nan,m3,nan
Under_Piston_Box_Drain,cm,cm,-2,nan,m3,nan
Under_Piston_Box_Drain,cm,cm,-1,nan,m3,nan
Under_Piston_Box_Drain,cm,cm,0,nan,m3,nan
Under_Piston_Box_Drain,cm,cm,1,nan,m3,nan
Under_Piston_Box_Drain,cm,cm,2,nan,m3,nan
Under_Piston_Box_Drain,cm,cm,nan,P2,nan,m3
Under_Piston_Box_Drain,cm,cm,nan,P1,nan,m3
Under_Piston_Box_Drain,cm,cm,nan,S-1,nan,m3
Under_Piston_Box_Drain,cm,cm,nan,S-2,nan,m3
Under_Piston_Box_Drain,0.0,110.0,-6,nan,0.0,nan
Under_Piston_Box_Drain,0.0,110.0,-4,nan,0.0,nan
Under_Piston_Box_Drain,0.0,110.0,-3,nan,0.0,nan
Under_Piston_Box_Drain,0.0,110.0,-2,nan,0.0,nan
Under_Piston_Box_Drain,0.0,110.0,-1,nan,0.0,nan
Under_Piston_Box_Drain,0.0,110.0,0,nan,0.0,nan
Under_Piston_Box_Drain,0.0,110.0,1,nan,0.0,nan
Under_Piston_Box_Drain,0.0,110.0,2,nan,0.0,nan
Under_Piston_Box_Drain,0.0,110.0,nan,P2,nan,0.0
Under_Piston_Box_Drain,0.0,110.0,nan,P1,nan,0.0
Under_Piston_Box_Drain,0.0,110.0,nan,S-1,nan,0.0
Under_Piston_Box_Drain,0.0,110.0,nan,S-2,nan,0.0
Under_Piston_Box_Drain,5.0,105.0,-6,nan,0.03,nan
Under_Piston_Box_Drain,5.0,105.0,-4,nan,0.03,nan
Under_Piston_Box_Drain,5.0,105.0,-3,nan,0.03,nan
Under_Piston_Box_Drain,5.0,105.0,-2,nan,0.03,nan
Under_Piston_Box_Drain,5.0,105.0,-1,nan,0.03,nan
