name,sounding_cm,ullage_cm,trim,heel,volume_m3,correction_m3
UREA_P,cm,cm,-6,nan,m3,nan
UREA_P,cm,cm,-4,nan,m3,nan
UREA_P,cm,cm,-3,nan,m3,nan
UREA_P,cm,cm,-2,nan,m3,nan
UREA_P,cm,cm,-1,nan,m3,nan
UREA_P,cm,cm,0,nan,m3,nan
UREA_P,cm,cm,1,nan,m3,nan
UREA_P,cm,cm,2,nan,m3,nan
UREA_P,cm,cm,nan,P2,nan,m3
UREA_P,cm,cm,nan,P1,nan,m3
UREA_P,cm,cm,nan,S-1,nan,m3
UREA_P,cm,cm,nan,S-2,nan,m3
UREA_P,0.0,230.0,-6,nan,2.5,nan
UREA_P,0.0,230.0,-4,nan,2.2,nan
UREA_P,0.0,230.0,-3,nan,2.1,nan
UREA_P,0.0,230.0,-2,nan,2.0,nan
UREA_P,0.0,230.0,-1,nan,1.9,nan
UREA_P,0.0,230.0,0,nan,1.8,nan
UREA_P,0.0,230.0,1,nan,1.6,nan
UREA_P,0.0,230.0,2,nan,1.5,nan
UREA_P,0.0,230.0,nan,P2,nan,-0.3
UREA_P,0.0,230.0,nan,P1,nan,-0.1
UREA_P,0.0,230.0,nan,S-1,nan,0.1
UREA_P,0.0,230.0,nan,S-2,nan,0.3
UREA_P,5.0,225.0,-6,nan,3.2,nan
UREA_P,5.0,225.0,-4,nan,3.0,nan
UREA_P,5.0,225.0,-3,nan,2.9,nan
UREA_P,5.0,225.0,-2,nan,2.8,nan
UREA_P,5.0,225.0,-1,nan,2.7,nan
UREA_P,5.0,225.0,0,nan,2.6,nan
UREA_P,5.0,225.0,1,nan,2.4,nan
UREA_P,5.0,225.0,2,nan,2.3,nan
UREA_P,5.0,225.0,nan,P2,nan,-0.3
UREA_P,5.0,225.0,nan,P1,nan,-0.1
UREA_P,5.0,225.0,nan,S-1,nan,0.1
UREA_P,5.0,225.0,nan,S-2,nan,0.3
UREA_P,10.0,220.0,-6,nan,4.0,nan
UREA_P,10.0,220.0,-4,nan,3.8,nan
UREA_P,10.0,220.0,-3,nan,3.7,nan
UREA_P,10.0,220.0,-2,nan,3.6,nan
UREA_P,10.0,220.0,-1,nan,3.5,nan
UREA_P,10.0,220.0,0,nan,3.3,nan
UREA_P,10.0,220.0,1,nan,3.2,nan
UREA_P,10.0,220.0,2,nan,3.1,nan
UREA_P,10.0,220.0,nan,P2,nan,-0.3
UREA_P,10.0,220.0,nan,P1,nan,-0.1
UREA_P,10.0,220.0,nan,S-1,nan,0.1
UREA_P,10.0,220.0,nan,S-2,nan,0.3
UREA_P,15.0,215.0,-6,nan,4.8,nan
UREA_P,15.0,215.0,-4,nan,4.6,nan
UREA_P,15.0,215.0,-3,nan,4.5,nan
UREA_P,15.0,215.0,-2,nan,4.4,nan
UREA_P,15.0,215.0,-1,nan,4.3,nan
UREA_P,15.0,215.0,0,nan,4.1,nan
UREA_P,15.0,215.0,1,nan,4.0,nan
UREA_P,15.0,215.0,2,nan,3.9,nan
UREA_P,15.0,215.0,nan,P2,nan,-0.3
UREA_P,15.0,215.0,nan,P1,nan,-0.1
UREA_P,15.0,215.0,nan,S-1,nan,0.1
UREA_P,15.0,215.0,nan,S-2,nan,0.3
UREA_P,20.0,210.0,-6,nan,5.6,nan
UREA_P,20.0,210.0,-4,nan,5.4,nan
UREA_P,20.0,210.0,-3,nan,5.3,nan
UREA_P,20.0,210.0,-2,nan,5.2,nan
UREA_P,20.0,210.0,-1,nan,5.1,nan
UREA_P,20.0,210.0,0,nan,4.9,nan
UREA_P,20.0,210.0,1,nan,4.8,nan
UREA_P,20.0,210.0,2,nan,4.7,nan
UREA_P,20.0,210.0,nan,P2,nan,-0.3
UREA_P,20.0,210.0,nan,P1,nan,-0.1
UREA_P,20.0,210.0,nan,S-1,nan,0.1
UREA_P,20.0,210.0,nan,S-2,nan,0.3
