name,sounding_cm,ullage_cm,trim,heel,volume_m3,correction_m3
Waste Oil Tank,cm,cm,-6,nan,m3,nan
Waste Oil Tank,cm,cm,-4,nan,m3,nan
Waste Oil Tank,cm,cm,-3,nan,m3,nan
Waste Oil Tank,cm,cm,-2,nan,m3,nan
Waste Oil Tank,cm,cm,-1,nan,m3,nan
Waste Oil Tank,cm,cm,0,nan,m3,nan
Waste Oil Tank,cm,cm,1,nan,m3,nan
Waste Oil Tank,cm,cm,2,nan,m3,nan
Waste Oil Tank,cm,cm,nan,P2,nan,m3
Waste Oil Tank,cm,cm,nan,P1,nan,m3
Waste Oil Tank,cm,cm,nan,S-1,nan,m3
Waste Oil Tank,cm,cm,nan,S-2,nan,m3
Waste Oil Tank,0.0,441.0,-6,nan,0.1,nan
Waste Oil Tank,0.0,441.0,-4,nan,0.0,nan
Waste Oil Tank,0.0,441.0,-3,nan,0.0,nan
Waste Oil Tank,0.0,441.0,-2,nan,0.0,nan
Waste Oil Tank,0.0,441.0,-1,nan,0.0,nan
Waste Oil Tank,0.0,441.0,0,nan,0.0,nan
Waste Oil Tank,0.0,441.0,1,nan,0.0,nan
Waste Oil Tank,0.0,441.0,2,nan,0.0,nan
Waste Oil Tank,0.0,441.0,nan,P2,nan,0.0
Waste Oil Tank,0.0,441.0,nan,P1,nan,0.0
Waste Oil Tank,0.0,441.0,nan,S-1,nan,0.0
Waste Oil Tank,0.0,441.0,nan,S-2,nan,0.0
Waste Oil Tank,5.0,436.0,-6,nan,0.2,nan
Waste Oil Tank,5.0,436.0,-4,nan,0.1,nan
Waste Oil Tank,5.0,436.0,-3,nan,0.1,nan
Waste Oil Tank,5.0,436.0,-2,nan,0.1,nan
Waste Oil Tank,5.0,436.0,-1,nan,0.1,nan
Waste Oil Tank,5.0,436.0,0,nan,0.1,nan
Waste Oil Tank,5.0,436.0,1,nan,0.1,nan
Waste Oil Tank,5.0,436.0,2,nan,0.0,nan
Waste Oil Tank,5.0,436.0,nan,P2,nan,0.0
Waste Oil Tank,5.0,436.0,nan,P1,nan,0.0
Waste Oil Tank,5.0,436.0,nan,S-1,nan,0.0
Waste Oil Tank,5.0,436.0,nan,S-2,nan,0.0
Waste Oil Tank,10.0,431.0,-6,nan,0.4,nan
Waste Oil Tank,10.0,431.0,-4,nan,0.3,nan
Waste Oil Tank,10.0,431.0,-3,nan,0.2,nan
Waste Oil Tank,10.0,431.0,-2,nan,0.2,nan
Waste Oil Tank,10.0,431.0,-1,nan,0.2,nan
Waste Oil Tank,10.0,431.0,0,nan,0.1,nan
Waste Oil Tank,10.0,431.0,1,nan,0.1,nan
Waste Oil Tank,10.0,431.0,2,nan,0.1,nan
Waste Oil Tank,10.0,431.0,nan,P2,nan,0.0
Waste Oil Tank,10.0,431.0,nan,P1,nan,0.0
Waste Oil Tank,10.0,431.0,nan,S-1,nan,0.0
Waste Oil Tank,10.0,431.0,nan,S-2,nan,0.0
Waste Oil Tank,15.0,426.0,-6,nan,0.7,nan
Waste Oil Tank,15.0,426.0,-4,nan,0.5,nan
Waste Oil Tank,15.0,426.0,-3,nan,0.4,nan
Waste Oil Tank,15.0,426.0,-2,nan,0.3,nan
Waste Oil Tank,15.0,426.0,-1,nan,0.3,nan
Waste Oil Tank,15.0,426.0,0,nan,0.2,nan
Waste Oil Tank,15.0,426.0,1,nan,0.2,nan
Waste Oil Tank,15.0,426.0,2,nan,0.2,nan
Waste Oil Tank,15.0,426.0,nan,P2,nan,0.0
Waste Oil Tank,15.0,426.0,nan,P1,nan,0.0
Waste Oil Tank,15.0,426.0,nan,S-1,nan,0.0
Waste Oil Tank,15.0,426.0,nan,S-2,nan,0.0
Waste Oil Tank,20.0,421.0,-6,nan,0.9,nan
Waste Oil Tank,20.0,421.0,-4,nan,0.7,nan
Waste Oil Tank,20.0,421.0,-3,nan,0.6,nan
Waste Oil Tank,20.0,421.0,-2,nan,0.5,nan
Waste Oil Tank,20.0,421.0,-1,nan,0.4,nan
Waste Oil Tank,20.0,421.0,0,nan,0.4,nan
Waste Oil Tank,20.0,421.0,1,nan,0.3,nan
Waste Oil Tank,20.0,421.0,2,nan,0.3,nan
Waste Oil Tank,20.0,421.0,nan,P2,nan,0.0
Waste Oil Tank,20.0,421.0,nan,P1,nan,0.0
Waste Oil Tank,20.0,421.0,nan,S-1,nan,0.0
Waste Oil Tank,20.0,421.0,nan,S-2,nan,0.0
Waste Oil Tank,25.0,416.0,-6,nan,1.2,nan
Waste Oil Tank,25.0,416.0,-4,nan,1.0,nan
Waste Oil Tank,25.0,416.0,-3,nan,0.8,nan
Waste Oil Tank,25.0,416.0,-2,nan,0.7,nan
Waste Oil Tank,25.0,416.0,-1,nan,0.7,nan
Waste Oil Tank,25.0,416.0,0,nan,0.6,nan
Waste Oil Tank,25.0,416.0,1,nan,0.5,nan
Waste Oil Tank,25.0,416.0,2,nan,0.5,nan
