Bilge Tank
SND;Ullage;VTr=-6;VTr=-4;VTr=-3;VTr=-2;VTr=-1;VTr=0;VTr=1;VTr=2;HC.P2;HC.P1;HC.S-1;HC.S-2
cm;cm;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3
0;475;0.2;0.1;0.1;0.1;0.1;0.1;0.2;0.2;0.0;0.0;0.0;0.1
5;470;0.6;0.5;0.4;0.4;0.4;0.4;0.4;0.4;-0.1;0.0;0.1;0.1
10;465;1.0;0.9;0.9;0.8;0.8;0.8;0.8;0.8;-0.1;-0.1;0.1;0.2
15;460;1.6;1.4;1.4;1.3;1.3;1.2;1.2;1.2;-0.1;-0.1;0.1;0.2
20;455;2.2;2.0;1.9;1.9;1.8;1.7;1.7;1.6;-0.2;-0.1;0.1;0.2
25;450;2.9;2.7;2.6;2.5;2.4;2.3;2.3;2.2;-0.2;-0.1;0.1;0.3
30;445;3.6;3.4;3.3;3.2;3.1;3.0;2.9;2.8;-0.2;-0.1;0.1;0.3
35;440;4.4;4.1;4.0;3.9;3.8;3.7;3.6;3.5;-0.3;-0.1;0.2;0.4
40;435;5.2;4.9;4.8;4.7;4.6;4.5;4.3;4.2;-0.3;-0.2;0.2;0.4
45;430;6.0;5.7;5.6;5.5;5.4;5.2;5.1;5.0;-0.3;-0.2;0.2;0.4
50;425;6.9;6.6;6.4;6.3;6.2;6.1;5.9;5.8;-0.4;-0.2;0.2;0.4
55;420;7.8;7.5;7.3;7.2;7.0;6.9;6.8;6.7;-0.4;-0.2;0.2;0.5
60;415;8.7;8.4;8.2;8.1;7.9;7.8;7.6;7.5;-0.4;-0.2;0.2;0.5
65;410;9.7;9.3;9.2;9.0;8.9;8.7;8.6;8.4;-0.5;-0.2;0.3;0.5
70;405;10.7;10.3;10.2;10.0;9.8;9.7;9.5;9.3;-0.5;-0.3;0.3;0.6
75;400;11.7;11.3;11.2;11.0;10.8;10.6;10.5;10.3;-0.6;-0.3;0.3;0.6
80;395;12.8;12.4;12.2;12.0;11.8;11.6;11.5;11.3;-0.6;-0.3;0.3;0.7
85;390;13.8;13.4;13.2;13.0;12.9;12.7;12.5;12.3;-0.6;-0.3;0.3;0.7
90;385;14.9;14.5;14.3;14.1;13.9;13.7;13.5;13.4;-0.7;-0.3;0.4;0.7
95;380;16.0;15.6;15.4;15.2;15.0;14.8;14.6;14.4;-0.7;-0.4;0.4;0.8
100;375;17.2;16.7;16.5;16.3;16.1;15.9;15.7;15.5;-0.7;-0.4;0.4;0.8
105;370;18.3;17.9;17.7;17.5;17.2;17.0;16.8;16.6;-0.8;-0.4;0.4;0.8
110;365;19.5;19.1;18.8;18.6;18.4;18.2;18.0;17.8;-0.8;-0.4;0.4;0.9
115;360;20.7;20.2;20.0;19.8;19.6;19.3;19.1;18.9;-0.8;-0.4;0.4;0.9
120;355;21.9;21.4;21.2;21.0;20.7;20.5;20.3;20.1;-0.9;-0.4;0.5;0.9
125;350;23.1;22.6;22.4;22.2;21.9;21.7;21.5;21.3;-0.9;-0.5;0.5;1.0
130;345;24.4;23.9;23.6;23.4;23.2;22.9;22.7;22.5;-1.0;-0.5;0.5;1.0
135;340;25.6;25.1;24.9;24.6;24.4;24.2;23.9;23.7;-1.0;-0.5;0.5;1.0
140;335;26.9;26.4;26.1;25.9;25.6;25.4;25.2;24.9;-1.0;-0.5;0.5;1.1
145;330;28.1;27.6;27.4;27.1;26.9;26.6;26.4;26.2;-1.1;-0.5;0.6;1.1
150;325;29.4;28.9;28.7;28.4;28.2;27.9;27.7;27.4;-1.1;-0.6;0.6;1.2
155;320;30.7;30.2;29.9;29.7;29.4;29.2;28.9;28.7;-1.1;-0.6;0.6;1.2
160;315;32.0;31.5;31.2;31.0;30.7;30.5;30.2;30.0;-1.2;-0.6;0.6;1.2
165;310;33.3;32.8;32.6;32.3;32.0;31.8;31.5;31.3;-1.2;-0.6;0.6;1.3
170;305;34.7;34.1;33.9;33.6;33.3;33.1;32.8;32.6;-1.3;-0.6;0.6;1.3
175;300;36.0;35.5;35.2;34.9;34.7;34.4;34.1;33.9;-1.3;-0.7;0.7;1.3
180;295;37.3;36.8;36.5;36.3;36.0;35.7;35.5;35.2;-1.3;-0.7;0.7;1.4
185;290;38.7;38.1;37.9;37.6;37.3;37.1;36.8;36.5;-1.4;-0.7;0.7;1.4
190;285;40.0;39.5;39.2;39.0;38.7;38.4;38.1;37.9;-1.4;-0.7;0.7;1.4
195;280;41.4;40.9;40.6;40.3;40.0;39.8;39.5;39.2;-1.4;-0.7;0.7;1.5
200;275;42.8;42.2;41.9;41.7;41.4;41.1;40.9;40.6;-1.5;-0.7;0.7;1.5
205;270;44.1;43.6;43.3;43.0;42.8;42.5;42.2;41.9;-1.5;-0.8;0.8;1.5
210;265;45.5;45.0;44.7;44.4;44.1;43.9;43.6;43.3;-1.5;-0.8;0.8;1.6
215;260;46.9;46.3;46.1;45.8;45.5;45.2;45.0;44.7;-1.6;-0.8;0.8;1.6
220;255;48.3;47.7;47.5;47.2;46.9;46.6;46.3;46.1;-1.6;-0.8;0.8;1.6
225;250;49.6;49.1;48.8;48.6;48.3;48.0;47.7;47.4;-1.6;-0.8;0.8;1.7
230;245;50.9;50.5;50.2;49.9;49.7;49.4;49.1;48.8;-1.7;-0.8;0.8;1.6
235;240;51.3;51.6;51.6;51.3;51.1;50.8;50.5;50.2;-1.7;-0.9;0.9;1.3
240;235;52.2;52.2;52.0;52.3;52.5;52.2;51.9;51.6;-1.7;-0.9;0.6;0.6
245;230;53.0;53.1;53.1;53.2;53.2;53.2;52.6;52.4;-1.6;-0.6;-0.3;-0.1
250;225;53.2;53.2;53.2;53.2;53.2;53.2;53.2;53.2;-0.7;-0.1;0.0;0.0
255;220;53.2;53.2;53.2;53.2;53.2;53.2;53.2;53.2;-0.2;0.0;0.0;0.0
