N2 Cofferdam
SND;VTr=-6;VTr=-4;VTr=-3;VTr=-2;VTr=-1;VTr=0;VTr=1;VTr=2;HC.P2;HC.P1;HC.S=1;HC.S=2
0;0.1;0.1;0.1;0.2;0.4;1.3;2.4;3.6;1.0;0.5;-0.3;-0.4
5;0.3;0.4;0.6;0.9;1.8;2.9;4.1;5.3;1.1;0.5;-0.4;-0.7
10;0.7;1.1;1.5;2.3;3.5;4.7;5.9;7.1;1.1;0.5;-0.5;-0.9
15;1.4;2.1;2.9;4.1;5.3;6.5;7.7;9.0;1.2;0.6;-0.5;-1.0
20;2.2;3.5;4.7;5.9;7.1;8.4;9.6;10.9;1.2;0.6;-0.6;-1.1
25;3.4;5.3;6.5;7.8;9.0;10.3;11.5;12.8;1.2;0.6;-0.6;-1.2
30;4.8;7.2;8.4;9.7;10.9;12.2;13.4;14.7;1.3;0.6;-0.6;-1.2
35;6.6;9.1;10.4;11.6;12.9;14.1;15.4;16.6;1.3;0.7;-0.6;-1.3
40;8.5;11.1;12.3;13.6;14.8;16.1;17.3;18.6;1.4;0.7;-0.7;-1.3
45;10.5;13.0;14.3;15.5;16.8;18.0;19.3;20.6;1.4;0.7;-0.7;-1.4
50;12.5;15.0;16.2;17.5;18.7;20.0;21.3;22.5;1.4;0.7;-0.7;-1.4
55;14.4;16.9;18.2;19.4;20.7;22.0;23.2;24.5;1.5;0.7;-0.7;-1.5
60;16.4;18.9;20.2;21.4;22.7;23.9;25.2;26.1;1.3;0.8;-0.8;-1.5
65;18.3;20.9;22.1;23.4;24.6;25.7;26.5;27.3;0.9;0.4;-0.7;-1.5
70;20.3;22.7;24.0;25.1;26.0;26.8;27.6;28.4;0.9;0.4;-0.4;-1.0
75;22.1;24.4;25.5;26.3;27.1;27.9;28.7;29.5;0.9;0.5;-0.5;-0.9
80;23.7;25.8;26.6;27.4;28.2;29.0;29.8;30.6;0.9;0.5;-0.5;-0.9
85;25.1;26.9;27.7;28.5;29.3;30.1;30.9;31.7;0.9;0.5;-0.5;-0.9
90;26.4;28.0;28.8;29.6;30.4;31.2;32.0;32.8;1.0;0.5;-0.5;-1.0
95;27.5;29.1;29.9;30.7;31.5;32.3;33.1;33.8;1.0;0.5;-0.5;-1.0
100;28.6;30.2;31.0;31.8;32.6;33.4;34.1;34.9;1.0;0.5;-0.5;-1.0
105;29.7;31.3;32.1;32.9;33.7;34.4;35.2;36.0;1.0;0.5;-0.5;-1.0
110;30.8;32.4;33.2;34.0;34.7;35.5;36.3;37.1;1.1;0.5;-0.5;-1.1
115;31.9;33.5;34.3;35.0;35.8;36.6;37.4;38.2;1.1;0.5;-0.5;-1.1
120;33.0;34.6;35.3;36.1;36.9;37.7;38.5;39.3;1.1;0.6;-0.6;-1.1
125;34.1;35.6;36.4;37.2;38.0;38.8;39.6;40.4;1.1;0.6;-0.6;-1.1
130;35.2;36.7;37.5;38.3;39.1;39.9;40.7;41.4;1.1;0.6;-0.6;-1.1
135;36.2;37.8;38.6;39.4;40.2;41.0;41.7;42.5;1.2;0.6;-0.6;-1.2
140;37.3;38.9;39.7;40.5;41.3;42.0;42.8;43.6;1.2;0.6;-0.6;-1.2
145;38.4;40.0;40.8;41.6;42.3;43.1;43.9;44.7;1.2;0.6;-0.6;-1.2
150;39.5;41.1;41.9;42.6;43.4;44.2;45.0;45.8;1.2;0.6;-0.6;-1.2
155;40.6;42.2;42.9;43.7;44.5;45.3;46.1;46.9;1.3;0.6;-0.6;-1.3
160;41.7;43.2;44.0;44.8;45.6;46.4;47.2;48.0;1.3;0.6;-0.6;-1.3
165;42.8;44.3;45.1;45.9;46.7;47.5;48.3;49.1;1.3;0.6;-0.6;-1.3
170;43.8;45.4;46.2;47.0;47.8;48.6;49.4;50.1;1.3;0.7;-0.7;-1.3
175;44.9;46.5;47.3;48.1;48.9;49.7;50.4;51.2;1.3;0.7;-0.7;-1.3
180;46.0;47.6;48.4;49.2;50.0;50.7;51.5;52.3;1.4;0.7;-0.7;-1.4
185;47.1;48.7;49.5;50.3;51.0;51.8;52.6;53.4;1.4;0.7;-0.7;-1.4
190;48.2;49.8;50.6;51.3;52.1;52.9;53.7;54.5;1.4;0.7;-0.7;-1.4
195;49.3;50.9;51.6;52.4;53.2;54.0;54.8;55.6;1.4;0.7;-0.7;-1.4
200;50.4;51.9;52.7;53.5;54.3;55.1;55.9;56.7;1.5;0.7;-0.7;-1.5
205;51.5;53.0;53.8;54.6;55.4;56.2;57.0;57.7;1.5;0.7;-0.7;-1.5
210;52.5;54.1;54.9;55.7;56.5;57.3;58.0;58.8;1.5;0.7;-0.7;-1.5
215;53.6;55.2;56.0;56.8;57.6;58.3;59.1;59.9;1.5;0.8;-0.8;-1.5
220;54.7;56.3;57.1;57.9;58.6;59.4;60.2;61.0;1.5;0.8;-0.8;-1.5
225;55.8;57.4;58.2;58.9;59.7;60.5;61.3;61.9;1.4;0.8;-0.8;-1.6
230;56.9;58.5;59.2;60.0;60.8;61.6;62.2;62.6;1.2;0.7;-0.8;-1.6
235;58.0;59.5;60.3;61.1;61.9;62.6;62.9;63.1;0.8;0.5;-0.7;-1.5
240;59.1;60.6;61.4;62.2;62.9;63.3;63.5;63.6;0.5;0.4;-0.5;-1.3
245;60.1;61.7;62.5;63.2;63.6;63.8;63.9;64.0;0.3;0.2;-0.4;-1.0
250;61.1;62.6;63.4;63.8;64.0;64.1;64.2;64.2;0.1;0.1;-0.3;-0.7
255;62.0;63.6;64.0;64.2;64.3;64.3;64.3;64.3;0.0;0.0;-0.2;-0.5
260;62.9;64.2;64.3;64.3;64.4;64.4;64.4;64.4;0.0;0.0;-0.1;-0.3
265;63.8;64.4;64.4;64.4;64.4;64.4;64.4;64.4;0.0;0.0;0.0;-0.1
270;64.4;64.4;64.4;64.4;64.4;64.4;64.4;64.4;0.0;0.0;0.0;0.0
275;64.4;64.4;64.4;64.4;64.4;64.4;64.4;64.4;0.0;0.0;0.0;0.0
280;64.4;64.4;64.4;64.4;64.4;64.4;64.4;64.4;0.0;0.0;0.0;0.0
285;64.4;64.4;64.4;64.4;64.4;64.4;64.4;64.4;0.0;0.0;0.0;0.0
290;64.4;64.4;64.4;64.4;64.4;64.4;64.4;64.4;0.0;0.0;0.0;0.0
295;64.4;64.4;64.4;64.4;64.4;64.4;64.4;64.4;0.0;0.0;0.0;0.0
300;64.4;64.4;64.4;64.4;64.4;64.4;64.4;64.4;0.0;0.0;0.0;0.0
305;64.4;64.4;64.4;64.4;64.4;64.4;64.4;64.4;0.0;0.0;0.0;0.0
310;64.4;64.4;64.4;64.4;64.4;64.4;64.4;64.4;0.0;0.0;0.0;0.0
315;64.4;64.4;64.4;64.4;64.4;64.4;64.4;64.4;0.0;0.0;0.0;0.0
320;64.4;64.4;64.4;64.4;64.4;64.4;64.4;64.4;0.0;0.0;0.0;0.0
325;64.4;64.4;64.4;64.4;64.4;64.4;64.4;64.4;0.0;0.0;0.0;0.0
330;64.4;64.4;64.4;64.4;64.4;64.4;64.4;64.4;0.0;0.0;0.0;0.0
335;64.4;64.4;64.4;64.4;64.4;64.4;64.4;64.4;0.0;0.0;0.0;0.0
340;64.4;64.4;64.4;64.4;64.4;64.4;64.4;64.4;0.0;0.0;0.0;0.0
345;64.4;64.4;64.4;64.4;64.4;64.4;64.4;64.4;0.0;0.0;0.0;0.0
350;64.4;64.4;64.4;64.4;64.4;64.4;64.4;64.4;0.0;0.0;0.0;0.0
355;64.4;64.4;64.4;64.4;64.4;64.4;64.4;64.4;0.0;0.0;0.0;0.0
360;64.4;64.4;64.4;64.4;64.4;64.4;64.4;64.4;0.0;0.0;0.0;0.0
365;64.4;64.4;64.4;64.4;64.4;64.4;64.4;64.4;0.0;0.0;0.0;0.0
370;64.4;64.4;64.4;64.4;64.4;64.4;64.4;64.4;0.0;0.0;0.0;0.0
375;64.4;64.4;64.4;64.4;64.4;64.4;64.4;64.4;0.0;0.0;0.0;0.0
380;64.4;64.4;64.4;64.4;64.4;64.4;64.4;64.4;0.0;0.0;0.0;0.0
385;64.4;64.4;64.4;64.4;64.4;64.4;64.4;64.4;0.0;0.0;0.0;0.0
390;64.4;64.4;64.4;64.4;64.4;64.4;64.4;64.4;0.0;0.0;0.0;0.0
395;64.4;64.4;64.4;64.4;64.4;64.4;64.4;64.4;0.0;0.0;0.0;0.0
400;64.4;64.4;64.4;64.4;64.4;64.4;64.4;64.4;0.0;0.0;0.0;0.0
