NO3 HFO TK
SND;Ullage;VTr=-6;VTr=-4;VTr=-3;VTr=-2;VTr=-1;VTr=0;VTr=1;VTr=2;HC.P2;HC.P1;HC.S-1;HC.S-2
cm;cm;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3
0;2191;1.0;1.3;1.7;2.2;2.7;3.3;3.8;4.3;-0.3;-0.9;1.6;3.9
10;2181;5.3;6.4;6.9;7.4;7.9;8.4;9.0;9.5;-2.6;-2.1;1.4;3.0
20;2171;10.5;11.5;12.0;12.5;13.1;13.6;14.1;14.6;-3.8;-2.1;1.4;2.9
30;2161;15.6;16.6;17.1;17.6;18.1;18.6;19.1;19.6;-4.0;-2.1;1.4;2.9
40;2151;20.7;21.6;22.1;22.6;23.1;23.6;24.0;24.5;-4.0;-2.0;1.4;2.9
50;2141;25.7;26.6;27.1;27.5;28.0;28.5;28.9;29.4;-3.9;-2.0;1.3;3.8
60;2131;30.5;31.5;31.9;32.4;32.8;33.3;33.7;34.2;-3.3;-2.0;1.4;4.8
70;2121;35.4;36.3;36.7;37.1;37.6;38.1;38.4;38.9;-2.1;-1.6;2.4;5.9
80;2111;40.2;41.1;41.5;42.0;42.5;43.2;43.7;44.3;-1.4;-0.9;3.0;7.2
90;2101;46.2;47.4;48.0;48.5;49.1;49.8;50.3;50.9;-1.6;-1.9;2.1;6.0
100;2091;52.8;54.0;54.6;55.2;55.7;56.3;56.9;57.5;-2.5;-2.4;2.3;4.8
110;2081;59.4;60.6;61.1;61.7;62.3;62.8;63.4;63.9;-3.7;-2.2;2.1;4.1
120;2071;65.9;67.0;67.6;68.1;68.7;69.2;69.8;70.3;-4.6;-2.4;1.6;3.6
130;2061;72.2;73.3;73.8;74.4;74.9;75.4;75.9;76.5;-4.8;-2.7;1.2;3.2
140;2051;78.4;79.5;80.0;80.5;81.0;81.5;82.0;82.5;-5.1;-3.1;1.1;2.9
150;2041;84.5;85.5;86.0;86.5;87.0;87.5;88.0;88.5;-5.3;-3.0;1.2;2.7
160;2031;90.5;91.5;92.0;92.4;92.9;93.4;93.9;94.4;-5.4;-2.8;1.3;2.9
170;2021;96.4;97.3;97.8;98.3;98.7;99.2;99.7;100.1;-5.2;-2.6;1.4;3.1
180;2011;102.2;103.1;103.6;104.0;104.4;104.9;105.3;105.8;-4.8;-2.4;1.6;3.3
190;2001;108.0;108.9;109.3;109.7;110.2;110.6;111.1;111.5;-4.6;-2.4;1.5;3.4
200;1991;113.7;114.6;115.0;115.4;115.9;116.3;116.7;117.2;-4.4;-2.4;1.5;3.5
210;1981;119.4;120.2;120.6;121.1;121.5;121.9;122.3;122.7;-4.2;-2.3;1.6;3.4
220;1971;125.0;125.8;126.2;126.6;127.0;127.4;127.8;128.2;-4.1;-2.2;1.7;3.3
230;1961;130.5;131.3;131.6;132.0;132.4;132.8;133.2;133.6;-4.1;-2.0;1.7;3.2
240;1951;135.9;136.6;137.0;137.4;137.7;138.1;138.5;138.8;-4.1;-2.0;1.5;3.0
250;1941;141.2;142.0;142.2;142.5;143.0;143.3;143.8;144.1;-4.1;-2.1;1.3;2.8
260;1931;146.4;147.0;147.4;147.9;148.1;148.4;148.8;149.0;-4.1;-2.3;1.0;2.7
270;1921;151.5;152.2;152.5;152.8;153.1;153.4;153.8;154.1;-4.1;-2.4;1.2;2.6
280;1911;156.4;157.0;157.4;157.7;158.1;158.3;158.6;159.0;-4.1;-2.3;0.9;2.8
290;1901;161.3;161.9;162.3;162.6;162.9;163.2;163.5;163.8;-4.2;-2.4;0.8;2.6
300;1891;166.2;166.7;167.0;167.3;167.6;167.9;168.2;168.5;-3.9;-2.0;1.2;2.8
310;1881;170.8;171.4;171.7;171.9;172.2;172.5;172.8;173.0;-3.8;-2.0;1.1;2.8
320;1871;175.4;175.9;176.2;176.4;176.7;176.9;177.2;177.5;-3.4;-1.9;1.4;3.6
330;1861;179.8;180.3;180.6;180.8;181.1;181.3;181.6;181.8;-3.2;-1.7;1.2;3.6
340;1851;184.2;184.6;184.9;185.1;185.4;185.6;185.8;186.1;-2.3;-1.7;1.2;3.4
350;1841;188.4;188.8;189.1;189.3;189.5;189.8;190.0;190.2;-2.1;-1.6;2.1;3.2
360;1831;192.5;192.9;193.1;193.4;193.6;193.8;194.0;194.2;-2.3;-0.6;1.3;2.6
370;1821;196.5;197.0;197.2;197.6;197.6;197.8;198.0;198.2;-2.8;-1.7;0.6;2.1
380;1811;200.1;200.9;200.8;201.2;201.3;201.3;201.9;202.0;-2.7;-1.8;0.4;1.3
390;1801;204.0;204.5;204.6;204.8;204.9;205.0;205.2;205.3;-3.7;-2.4;-0.2;0.5
400;1791;207.5;207.7;208.1;208.0;208.3;208.5;208.8;208.9;-4.0;-2.8;-0.4;0.1
410;1781;210.7;211.4;211.3;211.4;211.6;211.8;212.0;212.0;-4.3;-2.8;-0.6;0.3
420;1771;214.2;214.6;214.7;214.7;214.9;215.1;215.2;215.3;-4.6;-1.9;0.0;-0.1
430;1761;217.3;217.7;217.6;217.7;218.0;218.1;218.3;218.3;-4.2;-1.9;-0.1;0.6
440;1751;220.1;220.4;220.8;220.9;221.0;221.0;221.0;221.2;-4.2;-2.2;-0.1;0.8
450;1741;223.2;223.4;223.5;223.7;223.7;223.9;221.0;224.1;-3.1;-2.2;-0.3;0.5
460;1731;225.8;226.1;226.2;226.3;226.4;226.5;226.6;226.7;-3.1;-1.5;0.2;0.4
470;1721;228.4;228.7;228.7;228.9;228.9;229.0;229.2;229.2;-2.9;-1.4;0.3;0.1
480;1711;231.0;231.2;231.2;231.3;231.4;231.5;231.6;231.7;-3.1;-1.4;0.2;-0.9
490;1701;233.4;233.5;233.6;233.7;233.8;233.9;234.0;234.1;-3.8;-1.6;-0.7;-1.9
500;1691;234.5;234.5;234.5;234.5;234.5;234.5;234.5;234.5;-2.7;-1.0;-0.4;-1.4
510;1681;234.5;234.5;234.5;234.5;234.5;234.5;234.5;234.5;-1.7;-0.2;0.0;-0.7
520;1671;234.5;234.5;234.5;234.5;234.5;234.5;234.5;234.5;-0.9;0.0;0.0;-0.2
530;1661;234.5;234.5;234.5;234.5;234.5;234.5;234.5;234.5;-0.3;0.0;0.0;0.0
540;1651;234.5;234.5;234.5;234.5;234.5;234.5;234.5;234.5;0.0;0.0;0.0;0.0
