HFO_SETTL_1
REMOTE Height (cm);Height (m);VTr=-6;VTr=-4;VTr=-3;VTr=-2;VTr=-1;VTr=0;VTr=1;VTr=2;HC.P2;HC.P1;HC.S-1;HC.S-2
Cm;M;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3
0;0.11;1.5;1.5;1.5;1.5;1.5;1.6;1.6;1.6;1.5;0.8;-0.8;-1.2
5;0.16;2.2;2.2;2.2;2.2;2.2;2.3;2.3;2.3;1.6;0.8;-0.8;-1.4
10;0.21;2.9;2.9;2.9;2.9;3.0;3.0;3.0;3.0;1.6;0.8;-0.8;-1.5
15;0.26;3.6;3.6;3.6;3.7;3.7;3.7;3.7;3.7;1.6;0.8;-0.8;-1.5
20;0.31;4.3;4.3;4.4;4.4;4.4;4.4;4.4;4.5;1.6;0.8;-0.8;-1.5
25;0.36;5.0;5.1;5.1;5.1;5.1;5.1;5.2;5.2;1.6;0.8;-0.8;-1.6
30;0.41;5.8;5.8;5.8;5.8;5.8;5.9;5.9;5.9;1.6;0.8;-0.8;-1.6
35;0.46;6.5;6.5;6.5;6.5;6.6;6.6;6.6;6.6;1.6;0.8;-0.8;-1.6
40;0.51;7.2;7.2;7.3;7.3;7.3;7.3;7.3;7.4;1.6;0.8;-0.8;-1.6
45;0.56;7.9;8.0;8.0;8.0;8.0;8.0;8.1;8.1;1.6;0.8;-0.8;-1.6
50;0.61;8.7;8.7;8.7;8.7;8.8;8.8;8.8;8.8;1.7;0.8;-0.8;-1.6
55;0.66;9.4;9.4;9.5;9.5;9.5;9.5;9.5;9.5;1.7;0.8;-0.8;-1.6
60;0.71;10.1;10.2;10.2;10.2;10.2;10.3;10.3;10.3;1.7;0.8;-0.8;-1.6
65;0.76;10.9;10.9;10.9;11.0;11.0;11.0;11.0;11.0;1.7;0.8;-0.8;-1.6
70;0.81;11.6;11.7;11.7;11.7;11.7;11.7;11.8;11.8;1.7;0.8;-0.8;-1.6
75;0.86;12.4;12.4;12.4;12.4;12.5;12.5;12.5;12.5;1.7;0.9;-0.8;-1.7
80;0.91;13.1;13.2;13.2;13.2;13.2;13.2;13.2;13.3;1.7;0.9;-0.8;-1.7
85;0.96;13.9;13.9;13.9;13.9;14.0;14.0;14.0;14.0;1.7;0.9;-0.8;-1.7
90;1.01;14.6;14.7;14.7;14.7;14.7;14.7;14.7;14.8;1.7;0.9;-0.9;-1.7
95;1.06;15.4;15.4;15.4;15.4;15.5;15.5;15.5;15.5;1.8;0.9;-0.9;-1.7
100;1.11;16.1;16.2;16.2;16.2;16.2;16.2;16.3;16.3;1.8;0.9;-0.9;-1.7
105;1.16;16.9;16.9;16.9;17.0;17.0;17.0;17.0;17.0;1.8;0.9;-0.9;-1.7
110;1.21;17.7;17.7;17.7;17.7;17.7;17.8;17.8;17.8;1.8;0.9;-0.9;-1.7
115;1.26;18.4;18.5;18.5;18.5;18.5;18.5;18.5;18.6;1.8;0.9;-0.9;-1.7
120;1.31;19.2;19.2;19.2;19.3;19.3;19.3;19.3;19.3;1.8;0.9;-0.9;-1.7
125;1.36;20.0;20.0;20.0;20.0;20.0;20.1;20.1;20.1;1.8;0.9;-0.9;-1.7
130;1.41;20.7;20.7;20.8;20.8;20.8;20.8;20.8;20.9;1.8;0.9;-0.9;-1.7
135;1.46;21.5;21.5;21.5;21.5;21.6;21.6;21.6;21.6;1.8;0.9;-0.9;-1.8
140;1.51;22.2;22.3;22.3;22.3;22.3;22.3;22.4;22.4;1.8;0.9;-0.9;-1.8
145;1.56;23.0;23.0;23.1;23.1;23.1;23.1;23.1;23.1;1.8;0.9;-0.9;-1.8
150;1.61;23.8;23.8;23.8;23.8;23.9;23.9;23.9;23.9;1.8;0.9;-0.9;-1.8
155;1.66;24.5;24.6;24.6;24.6;24.6;24.6;24.7;24.7;1.8;0.9;-0.9;-1.8
160;1.71;25.3;25.3;25.4;25.4;25.4;25.4;25.4;25.4;1.8;0.9;-0.9;-1.8
165;1.76;26.1;26.1;26.1;26.1;26.2;26.2;26.2;26.2;1.8;0.9;-0.9;-1.8
170;1.81;26.8;26.9;26.9;26.9;26.9;26.9;27.0;27.0;1.8;0.9;-0.9;-1.8
175;1.86;27.6;27.6;27.7;27.7;27.7;27.7;27.7;27.7;1.8;0.9;-0.9;-1.8
180;1.91;28.4;28.4;28.4;28.4;28.5;28.5;28.5;28.5;1.8;0.9;-0.9;-1.8
185;1.96;29.1;29.2;29.2;29.2;29.2;29.2;29.3;29.3;1.8;0.9;-0.9;-1.8
190;2.01;29.9;29.9;30.0;30.0;30.0;30.0;30.0;30.0;1.8;0.9;-0.9;-1.8
195;2.06;30.7;30.7;30.7;30.7;30.8;30.8;30.8;30.8;1.8;0.9;-0.9;-1.8
200;2.11;31.4;31.5;31.5;31.5;31.5;31.5;31.6;31.6;1.8;0.9;-0.9;-1.8
205;2.16;32.2;32.2;32.3;32.3;32.3;32.3;32.3;32.3;1.8;0.9;-0.9;-1.8
210;2.21;33.0;33.0;33.0;33.0;33.1;33.1;33.1;33.1;1.8;0.9;-0.9;-1.8
215;2.26;33.7;33.8;33.8;33.8;33.8;33.8;33.9;33.9;1.8;0.9;-0.9;-1.8
220;2.31;34.5;34.5;34.6;34.6;34.6;34.6;34.6;34.6;1.8;0.9;-0.9;-1.8
225;2.36;35.3;35.3;35.3;35.3;35.4;35.4;35.4;35.4;1.8;0.9;-0.9;-1.8
230;2.41;36.0;36.1;36.1;36.1;36.1;36.1;36.2;36.2;1.7;0.9;-0.9;-1.8
235;2.46;36.8;36.8;36.9;36.9;36.9;36.9;36.9;36.9;1.5;0.9;-0.9;-1.8
240;2.51;37.6;37.6;37.6;37.6;37.7;37.7;37.7;37.7;1.1;0.9;-0.9;-1.8
245;2.56;38.3;38.4;38.4;38.4;38.4;38.4;38.5;38.5;0.6;0.5;-0.9;-1.8
250;2.61;38.9;39.0;39.0;39.0;39.0;39.0;39.0;39.0;0.0;0.0;-0.7;-1.6
255;2.66;39.0;39.0;39.0;39.0;39.0;39.0;39.0;39.0;0.0;0.0;-0.2;-0.9
