HFO_SERV_1
REMOTE Height (cm);Height (m);VTr=-6;VTr=-4;VTr=-3;VTr=-2;VTr=-1;VTr=0;VTr=1;VTr=2;HC.P2;HC.P1;HC.S-1;HC.S-2
Cm;M;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3
0;0.11;1.0;1.2;1.2;1.3;1.4;1.5;1.5;1.6;1.4;0.7;-0.7;-1.1
5;0.16;1.7;1.8;1.9;2.0;2.1;2.1;2.2;2.3;1.4;0.7;-0.7;-1.3
10;0.21;2.3;2.5;2.6;2.7;2.7;2.8;2.9;3.0;1.4;0.7;-0.7;-1.4
15;0.26;3.0;3.2;3.3;3.3;3.4;3.5;3.6;3.6;1.4;0.7;-0.7;-1.4
20;0.31;3.7;3.9;3.9;4.0;4.1;4.2;4.2;4.3;1.4;0.7;-0.7;-1.4
25;0.36;4.4;4.5;4.6;4.7;4.8;4.8;4.9;5.0;1.4;0.7;-0.7;-1.4
30;0.41;5.1;5.2;5.3;5.4;5.5;5.5;5.6;5.7;1.4;0.7;-0.7;-1.4
35;0.46;5.7;5.9;6.0;6.1;6.1;6.2;6.3;6.4;1.5;0.7;-0.7;-1.4
40;0.51;6.4;6.6;6.7;6.7;6.8;6.9;7.0;7.1;1.5;0.7;-0.7;-1.4
45;0.56;7.1;7.3;7.4;7.4;7.5;7.6;7.7;7.8;1.5;0.7;-0.7;-1.4
50;0.61;7.8;8.0;8.0;8.1;8.2;8.3;8.4;8.4;1.5;0.7;-0.7;-1.4
55;0.66;8.5;8.7;8.7;8.8;8.9;9.0;9.1;9.1;1.5;0.7;-0.7;-1.4
60;0.71;9.2;9.4;9.4;9.5;9.6;9.7;9.8;9.8;1.5;0.7;-0.7;-1.5
65;0.76;9.9;10.1;10.1;10.2;10.3;10.4;10.5;10.5;1.5;0.8;-0.7;-1.5
70;0.81;10.6;10.8;10.8;10.9;11.0;11.1;11.2;11.2;1.5;0.8;-0.7;-1.5
75;0.86;11.3;11.5;11.5;11.6;11.7;11.8;11.9;12.0;1.5;0.8;-0.7;-1.5
80;0.91;12.0;12.2;12.3;12.3;12.4;12.5;12.6;12.7;1.6;0.8;-0.8;-1.5
85;0.96;12.7;12.9;13.0;13.0;13.1;13.2;13.3;13.4;1.6;0.8;-0.8;-1.5
90;1.01;13.4;13.6;13.7;13.8;13.8;13.9;14.0;14.1;1.6;0.8;-0.8;-1.5
95;1.06;14.1;14.3;14.4;14.5;14.6;14.6;14.7;14.8;1.6;0.8;-0.8;-1.5
100;1.11;14.9;15.0;15.1;15.2;15.3;15.4;15.4;15.5;1.6;0.8;-0.8;-1.5
105;1.16;15.6;15.7;15.8;15.9;16.0;16.1;16.2;16.2;1.6;0.8;-0.8;-1.5
110;1.21;16.3;16.5;16.5;16.6;16.7;16.8;16.9;17.0;1.6;0.8;-0.8;-1.6
115;1.26;17.0;17.2;17.3;17.4;17.4;17.5;17.6;17.7;1.6;0.8;-0.8;-1.6
120;1.31;17.8;17.9;18.0;18.1;18.2;18.2;18.3;18.4;1.6;0.8;-0.8;-1.6
125;1.36;18.5;18.6;18.7;18.8;18.9;19.0;19.1;19.1;1.7;0.8;-0.8;-1.6
