NO2 MGO TK
SND;Ullage;VTr=-6;VTr=-4;VTr=-3;VTr=-2;VTr=-1;VTr=0;VTr=1;VTr=2;HC.P2;HC.P1;HC.S-1;HC.S-2
cm;cm;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3
0;2199;1.0;1.3;1.7;2.2;2.7;3.3;3.8;4.3;1.1;0.0;0.5;2.0
10;2189;5.2;6.3;6.8;7.3;7.9;8.4;8.9;9.4;-0.6;-0.7;0.0;0.5
20;2179;10.4;11.4;11.9;12.4;12.9;13.4;13.9;14.4;-1.3;-0.7;0.0;0.1
30;2169;15.4;16.4;16.9;17.4;17.9;18.4;18.9;19.4;-1.3;-0.7;0.0;0.1
40;2159;20.4;21.4;21.9;22.3;22.8;23.3;23.8;24.2;-1.2;-0.7;0.0;0.1
50;2149;25.3;26.3;26.7;27.2;27.7;28.1;28.6;29.0;-1.1;-0.7;0.0;0.5
60;2139;30.2;31.1;31.5;32.0;32.4;32.9;33.3;33.8;-0.1;-0.7;0.0;1.5
70;2129;35.0;35.8;36.3;36.7;37.1;37.7;38.0;38.4;1.0;-0.1;0.7;2.6
80;2119;39.7;40.5;41.0;41.4;41.8;42.5;43.0;43.6;1.9;-0.7;1.5;3.5
90;2109;44.4;46.6;47.2;47.8;48.4;49.0;49.5;50.1;1.7;-0.2;0.6;3.2
100;2099;52.0;53.2;53.7;54.3;54.9;55.5;56.0;56.6;0.6;-0.6;0.3;2.0
110;2089;58.5;59.6;60.2;60.8;61.3;61.9;62.4;63.0;-0.6;-0.4;0.4;0.9
120;2079;65.0;66.1;66.6;67.2;67.7;68.2;68.8;69.3;-1.2;-0.8;0.1;0.4
130;2069;71.3;72.3;72.8;73.3;73.8;74.3;74.9;75.4;-1.5;-1.1;-0.3;0.1
140;2059;77.4;78.4;78.9;79.4;79.9;80.4;80.9;81.4;-1.8;-1.4;-0.6;-0.2
150;2049;83.4;84.4;84.9;85.3;85.8;86.3;86.8;87.3;-2.1;-1.3;-0.5;-0.5
160;2039;89.4;90.3;90.8;91.2;91.7;92.1;92.6;93.1;-2.2;-1.2;-0.4;-0.5
170;2029;95.2;96.1;96.5;97.0;97.4;97.9;98.3;98.8;-1.9;-1.0;-0.2;-0.2
180;2019;100.9;101.8;102.2;102.7;103.1;103.5;104.0;104.4;-1.6;-0.9;-0.1;0.0
190;2009;106.7;107.5;107.9;108.3;108.7;109.2;109.6;110.0;-1.4;-0.8;0.0;0.2
200;1999;112.3;113.2;113.6;114.0;114.4;114.8;115.2;115.6;-1.3;-0.8;-0.1;0.3
210;1989;118.0;118.8;119.1;119.5;119.9;120.3;120.7;121.1;-1.1;-0.8;0.0;0.4
220;1979;123.5;124.3;124.6;125.0;125.4;125.8;126.2;126.5;-1.1;-0.7;0.1;0.4
230;1969;129.0;129.7;130.0;130.4;130.8;131.1;131.5;131.9;-1.2;-0.5;0.2;0.3
240;1959;134.3;135.0;135.4;135.7;136.1;136.4;136.8;137.1;-1.2;-0.5;0.2;0.2
250;1949;139.6;140.2;140.6;140.9;141.2;141.6;141.9;142.3;-1.3;-0.7;0.0;0.1
260;1939;144.7;145.4;145.8;146.0;146.3;146.7;147.0;147.3;-1.4;-0.9;-0.3;0.0
270;1929;149.8;150.5;150.7;151.1;151.4;151.7;152.0;152.2;-1.5;-1.1;-0.4;-0.1
280;1919;154.8;155.4;155.7;156.0;156.3;156.6;156.8;157.1;-1.6;-0.9;-0.3;-0.2
290;1909;159.7;160.2;160.5;160.8;161.0;161.3;161.6;161.9;-1.6;-1.0;-0.4;-0.2
300;1899;164.4;164.9;165.2;165.5;165.7;166.0;166.3;166.5;-1.4;-0.8;-0.2;0.1
310;1889;169.1;169.6;169.8;170.1;170.3;170.6;170.8;171.1;-1.1;-0.7;0.0;0.1
320;1879;173.6;174.1;174.3;174.6;174.8;175.1;175.3;175.5;-1.0;-0.7;-0.1;0.3
330;1869;178.1;178.5;178.7;179.0;179.2;179.4;179.6;179.9;-0.7;-0.5;0.1;1.1
340;1859;182.4;182.8;183.0;183.3;183.5;183.7;183.9;184.1;0.1;-0.5;0.1;1.3
350;1849;186.6;187.0;187.2;187.4;187.6;187.8;188.0;188.2;0.3;-0.5;0.1;1.4
360;1839;190.7;191.1;191.3;191.5;191.7;191.9;192.0;192.2;0.2;0.0;0.5;1.2
370;1829;194.7;195.1;195.2;195.4;195.6;195.8;196.0;196.1;-0.6;-0.5;0.0;0.4
380;1819;198.5;198.9;199.1;199.3;199.5;199.6;199.6;199.9;-1.1;-0.9;-0.5;-0.4
390;1809;202.3;202.6;202.7;202.9;203.0;203.2;203.3;203.5;-1.7;-1.5;-1.1;-0.9
400;1799;205.9;206.1;206.3;206.4;206.5;206.6;206.9;207.0;-2.1;-1.8;-1.3;-1.3
410;1789;209.3;209.6;209.7;209.8;209.9;210.0;210.2;210.3;-2.6;-1.7;-1.3;-1.8
420;1779;212.5;212.8;212.9;213.0;213.1;213.3;213.4;213.5;-2.9;-1.3;-0.9;-1.9
430;1769;215.7;215.9;216.0;216.1;216.2;216.3;216.4;216.6;-2.6;-1.0;-0.6;-1.7
440;1759;218.7;218.9;219.0;219.1;219.2;219.3;219.4;219.5;-2.0;-1.2;-0.8;-1.2
450;1749;221.6;221.8;221.9;222.0;222.1;222.2;222.3;222.4;-1.8;-0.9;-0.5;-1.0
460;1739;224.5;224.7;224.7;224.8;224.9;225.0;225.1;225.2;-1.7;-1.0;-0.6;-0.7
470;1729;227.3;227.4;227.5;227.6;227.7;227.7;227.8;227.9;-1.6;-0.7;-0.3;-1.0
480;1719;229.9;230.0;230.1;230.2;230.3;230.3;230.4;230.5;-2.0;-0.5;-0.2;-1.5
490;1709;232.3;232.4;232.5;232.6;232.7;232.8;232.8;232.9;-2.5;-0.8;-0.6;-2.0
500;1699;234.5;234.5;234.5;234.5;234.5;234.5;234.5;234.5;-1.8;-1.2;-1.0;-2.4
510;1689;234.5;234.5;234.5;234.5;234.5;234.5;234.5;234.5;-1.6;-0.3;-0.2;-1.3
520;1679;234.5;234.5;234.5;234.5;234.5;234.5;234.5;234.5;-0.8;0.0;0.0;-0.6
530;1669;234.5;234.5;234.5;234.5;234.5;234.5;234.5;234.5;-0.3;0.0;0.0;-0.2
540;1659;234.5;234.5;234.5;234.5;234.5;234.5;234.5;234.5;0.0;0.0;0.0;0.0
