MGO_SERV_1
REMOTE Height (cm);Height (m);VTr=-6;VTr=-4;VTr=-3;VTr=-2;VTr=-1;VTr=0;VTr=1;VTr=2;HC.P2;HC.P1;HC.S-1;HC.S-2
Cm;M;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3
0;0.112;1.3;1.3;1.3;1.3;1.3;1.3;1.3;1.2;0.6;0.3;-0.3;-0.5
5;0.162;1.9;1.9;1.9;1.9;1.9;1.9;1.8;1.8;0.6;0.3;-0.3;-0.6
10;0.212;2.6;2.5;2.5;2.5;2.5;2.5;2.5;2.4;0.6;0.3;-0.3;-0.6
15;0.262;3.2;3.2;3.1;3.1;3.1;3.1;3.1;3.1;0.7;0.3;-0.3;-0.6
20;0.312;3.8;3.8;3.8;3.8;3.7;3.7;3.7;3.7;0.7;0.3;-0.3;-0.6
25;0.362;4.5;4.5;4.4;4.4;4.4;4.4;4.4;4.4;0.7;0.4;-0.3;-0.7
30;0.412;5.2;5.1;5.1;5.1;5.1;5.1;5.0;5.0;0.8;0.4;-0.4;-0.7
35;0.462;5.9;5.8;5.8;5.8;5.8;5.8;5.7;5.7;0.8;0.4;-0.4;-0.7
40;0.512;6.6;6.6;6.5;6.5;6.5;6.5;6.5;6.4;0.8;0.4;-0.4;-0.7
45;0.562;7.3;7.3;7.3;7.2;7.2;7.2;7.2;7.2;0.9;0.4;-0.4;-0.8
50;0.612;8.1;8.0;8.0;8.0;8.0;7.9;7.9;7.9;0.9;0.4;-0.4;-0.8
55;0.662;8.9;8.8;8.8;8.7;8.7;8.7;8.7;8.7;0.9;0.5;-0.4;-0.8
60;0.712;9.6;9.6;9.6;9.5;9.5;9.5;9.5;9.4;1.0;0.5;-0.4;-0.9
65;0.762;10.4;10.4;10.4;10.3;10.3;10.3;10.3;10.2;1.0;0.5;-0.5;-0.9
70;0.812;11.3;11.2;11.2;11.1;11.1;11.1;11.1;11.0;1.0;0.5;-0.5;-0.9
75;0.862;12.1;12.0;12.0;12.0;11.9;11.9;11.9;11.9;1.1;0.5;-0.5;-1.0
80;0.912;12.9;12.9;12.8;12.8;12.8;12.8;12.7;12.7;1.1;0.5;-0.5;-1.0
85;0.962;13.8;13.7;13.7;13.7;13.7;13.6;13.6;13.6;1.2;0.6;-0.5;-1.1
90;1.012;14.7;14.6;14.6;14.6;14.5;14.5;14.5;14.5;1.2;0.6;-0.6;-1.1
95;1.062;15.6;15.5;15.5;15.5;15.4;15.4;15.4;15.3;1.2;0.6;-0.6;-1.1
100;1.112;16.5;16.5;16.4;16.4;16.3;16.3;16.3;16.3;1.3;0.6;-0.6;-1.2
105;1.162;17.5;17.4;17.4;17.3;17.3;17.2;17.2;17.2;1.3;0.6;-0.6;-1.2
110;1.212;18.4;18.3;18.3;18.3;18.2;18.2;18.2;18.1;1.4;0.7;-0.6;-1.2
115;1.262;19.4;19.3;19.3;19.2;19.2;19.2;19.1;19.1;1.4;0.7;-0.7;-1.3
120;1.312;20.4;20.3;20.3;20.2;20.2;20.1;20.1;20.1;1.5;0.7;-0.7;-1.3
125;1.362;21.4;21.3;21.3;21.2;21.2;21.1;21.1;21.1;1.5;0.7;-0.7;-1.4
130;1.412;22.4;22.3;22.3;22.2;22.2;22.2;22.1;22.1;1.6;0.8;-0.7;-1.4
135;1.462;23.4;23.4;23.3;23.3;23.2;23.2;23.2;23.1;1.6;0.8;-0.7;-1.4
140;1.512;24.5;24.4;24.4;24.3;24.3;24.2;24.2;24.2;1.7;0.8;-0.8;-1.5
145;1.562;25.6;25.5;25.4;25.4;25.3;25.3;25.3;25.2;1.7;0.8;-0.8;-1.5
150;1.612;26.7;26.6;26.5;26.5;26.4;26.4;26.4;26.3;1.7;0.9;-0.8;-1.6
155;1.662;27.8;27.7;27.6;27.6;27.5;27.5;27.4;27.4;1.8;0.9;-0.8;-1.6
160;1.712;28.9;28.8;28.7;28.7;28.7;28.6;28.6;28.5;1.8;0.9;-0.9;-1.7
165;1.762;30.0;29.9;29.9;29.8;29.8;29.7;29.7;29.7;1.9;0.9;-0.9;-1.7
170;1.812;31.2;31.1;31.0;31.0;30.9;30.9;30.8;30.8;1.9;0.9;-0.9;-1.8
175;1.862;32.4;32.3;32.2;32.2;32.1;32.1;32.0;32.0;2.0;1.0;-0.9;-1.8
180;1.912;33.6;33.4;33.4;33.3;33.3;33.2;33.2;33.1;2.0;1.0;-0.9;-1.8
185;1.962;34.8;34.6;34.6;34.5;34.5;34.4;34.4;34.3;2.1;1.0;-1.0;-1.9
190;2.012;36.0;35.9;35.8;35.8;35.7;35.6;35.6;35.5;2.1;1.0;-1.0;-1.9
195;2.062;37.2;37.1;37.0;37.0;36.9;36.9;36.8;36.8;2.2;1.1;-1.0;-2.0
200;2.112;38.5;38.3;38.3;38.2;38.2;38.1;38.1;38.0;2.2;1.1;-1.0;-2.0
205;2.162;39.7;39.6;39.5;39.5;39.4;39.4;39.3;39.3;2.3;1.1;-1.1;-2.1
210;2.212;41.0;40.9;40.8;40.8;40.7;40.6;40.6;40.5;2.3;1.1;-1.1;-2.1
215;2.262;42.3;42.2;42.1;42.0;42.0;41.9;41.9;41.8;2.4;1.1;-1.1;-2.1
220;2.312;43.6;43.5;43.4;43.3;43.3;43.2;43.2;43.1;2.4;1.2;-1.1;-2.2
225;2.362;44.9;44.8;44.7;44.7;44.6;44.5;44.5;44.4;2.5;1.2;-1.1;-2.2
230;2.412;46.3;46.1;46.1;46.0;45.9;45.9;45.8;45.7;2.5;1.2;-1.2;-2.3
235;2.462;47.6;47.5;47.4;47.3;47.3;47.2;47.1;47.1;2.5;1.2;-1.2;-2.3
240;2.512;49.0;48.8;48.8;48.7;48.6;48.6;48.5;48.4;2.6;1.3;-1.2;-2.4
245;2.562;50.4;50.2;50.1;50.1;50.0;49.9;49.9;49.8;2.6;1.3;-1.2;-2.4
