gray_holding_tank
REMOTE Height (cm);Height (m);VTr=-6;VTr=-4;VTr=-3;VTr=-2;VTr=-1;VTr=0;VTr=1;VTr=2;HC.P2;HC.P1;HC.S-1;HC.S-2
Cm;M;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3
0;;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0,0;0,0;0,0;0,0
5;;0.35;0.35;0.35;0.35;0.35;0.35;0.35;0.35;0,0;0,0;0,0;0,0
10;;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0,0;0,0;0,0;0,0
15;;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0,0;0,0;0,0;0,0
20;;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;0,0;0,0;0,0;0,0
25;;1.35;1.35;1.35;1.35;1.35;1.35;1.35;1.35;0,0;0,0;0,0;0,0
30;;1.6;1.6;1.6;1.6;1.6;1.6;1.6;1.6;0,0;0,0;0,0;0,0
35;;1.85;1.85;1.85;1.85;1.85;1.85;1.85;1.85;0,0;0,0;0,0;0,0
40;;2.1;2.1;2.1;2.1;2.1;2.1;2.1;2.1;0,0;0,0;0,0;0,0
45;;2.35;2.35;2.35;2.35;2.35;2.35;2.35;2.35;0,0;0,0;0,0;0,0
50;;2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;0,0;0,0;0,0;0,0
55;;2.9;2.9;2.9;2.9;2.9;2.9;2.9;2.9;0,0;0,0;0,0;0,0
60;;3.2;3.2;3.2;3.2;3.2;3.2;3.2;3.2;0,0;0,0;0,0;0,0
65;;3.45;3.45;3.45;3.45;3.45;3.45;3.45;3.45;0,0;0,0;0,0;0,0
70;;3.7;3.7;3.7;3.7;3.7;3.7;3.7;3.7;0,0;0,0;0,0;0,0
75;;3.95;3.95;3.95;3.95;3.95;3.95;3.95;3.95;0,0;0,0;0,0;0,0
80;;4.2;4.2;4.2;4.2;4.2;4.2;4.2;4.2;0,0;0,0;0,0;0,0
85;;4.5;4.5;4.5;4.5;4.5;4.5;4.5;4.5;0,0;0,0;0,0;0,0
90;;4.8;4.8;4.8;4.8;4.8;4.8;4.8;4.8;0,0;0,0;0,0;0,0
95;;5.05;5.05;5.05;5.05;5.05;5.05;5.05;5.05;0,0;0,0;0,0;0,0
100;;5.3;5.3;5.3;5.3;5.3;5.3;5.3;5.3;0,0;0,0;0,0;0,0
105;;5.55;5.55;5.55;5.55;5.55;5.55;5.55;5.55;0,0;0,0;0,0;0,0
110;;5.8;5.8;5.8;5.8;5.8;5.8;5.8;5.8;0,0;0,0;0,0;0,0
115;;6.1;6.1;6.1;6.1;6.1;6.1;6.1;6.1;0,0;0,0;0,0;0,0
120;;6.4;6.4;6.4;6.4;6.4;6.4;6.4;6.4;0,0;0,0;0,0;0,0
125;;6.65;6.65;6.65;6.65;6.65;6.65;6.65;6.65;0,0;0,0;0,0;0,0
130;;6.9;6.9;6.9;6.9;6.9;6.9;6.9;6.9;0,0;0,0;0,0;0,0
135;;7.15;7.15;7.15;7.15;7.15;7.15;7.15;7.15;0,0;0,0;0,0;0,0
140;;7.4;7.4;7.4;7.4;7.4;7.4;7.4;7.4;0,0;0,0;0,0;0,0
145;;7.65;7.65;7.65;7.65;7.65;7.65;7.65;7.65;0,0;0,0;0,0;0,0
150;;7.9;7.9;7.9;7.9;7.9;7.9;7.9;7.9;0,0;0,0;0,0;0,0
155;;8.2;8.2;8.2;8.2;8.2;8.2;8.2;8.2;0,0;0,0;0,0;0,0
160;;8.5;8.5;8.5;8.5;8.5;8.5;8.5;8.5;0,0;0,0;0,0;0,0
165;;8.75;8.75;8.75;8.75;8.75;8.75;8.75;8.75;0,0;0,0;0,0;0,0
170;;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;0,0;0,0;0,0;0,0
175;;9.25;9.25;9.25;9.25;9.25;9.25;9.25;9.25;0,0;0,0;0,0;0,0
180;;9.5;9.5;9.5;9.5;9.5;9.5;9.5;9.5;0,0;0,0;0,0;0,0
185;;9.8;9.8;9.8;9.8;9.8;9.8;9.8;9.8;0,0;0,0;0,0;0,0
190;;10.1;10.1;10.1;10.1;10.1;10.1;10.1;10.1;0,0;0,0;0,0;0,0
195;;10.35;10.35;10.35;10.35;10.35;10.35;10.35;10.35;0,0;0,0;0,0;0,0
200;;10.6;10.6;10.6;10.6;10.6;10.6;10.6;10.6;0,0;0,0;0,0;0,0
205;;10.85;10.85;10.85;10.85;10.85;10.85;10.85;10.85;0,0;0,0;0,0;0,0
210;;11.1;11.1;11.1;11.1;11.1;11.1;11.1;11.1;0,0;0,0;0,0;0,0
215;;11.35;11.35;11.35;11.35;11.35;11.35;11.35;11.35;0,0;0,0;0,0;0,0
220;;11.6;11.6;11.6;11.6;11.6;11.6;11.6;11.6;0,0;0,0;0,0;0,0
225;;11.9;11.9;11.9;11.9;11.9;11.9;11.9;11.9;0,0;0,0;0,0;0,0
230;;12.2;12.2;12.2;12.2;12.2;12.2;12.2;12.2;0,0;0,0;0,0;0,0
235;;12.46;12.46;12.46;12.46;12.46;12.46;12.46;12.46;0,0;0,0;0,0;0,0
240;;12.72;12.72;12.72;12.72;12.72;12.72;12.72;12.72;0,0;0,0;0,0;0,0
245;;12.98;12.98;12.98;12.98;12.98;12.98;12.98;12.98;0,0;0,0;0,0;0,0
250;;13.23;13.23;13.23;13.23;13.23;13.23;13.23;13.23;0,0;0,0;0,0;0,0
255;;13.49;13.49;13.49;13.49;13.49;13.49;13.49;13.49;0,0;0,0;0,0;0,0
260;;13.75;13.75;13.75;13.75;13.75;13.75;13.75;13.75;0,0;0,0;0,0;0,0
265;;14.01;14.01;14.01;14.01;14.01;14.01;14.01;14.01;0,0;0,0;0,0;0,0
270;;14.27;14.27;14.27;14.27;14.27;14.27;14.27;14.27;0,0;0,0;0,0;0,0
275;;14.52;14.52;14.52;14.52;14.52;14.52;14.52;14.52;0,0;0,0;0,0;0,0
280;;14.78;14.78;14.78;14.78;14.78;14.78;14.78;14.78;0,0;0,0;0,0;0,0
285;;15.04;15.04;15.04;15.04;15.04;15.04;15.04;15.04;0,0;0,0;0,0;0,0
290;;15.3;15.3;15.3;15.3;15.3;15.3;15.3;15.3;0,0;0,0;0,0;0,0
295;;15.6;15.6;15.6;15.6;15.6;15.6;15.6;15.6;0,0;0,0;0,0;0,0
300;;15.9;15.9;15.9;15.9;15.9;15.9;15.9;15.9;0,0;0,0;0,0;0,0
305;;16.15;16.15;16.15;16.15;16.15;16.15;16.15;16.15;0,0;0,0;0,0;0,0
310;;16.4;16.4;16.4;16.4;16.4;16.4;16.4;16.4;0,0;0,0;0,0;0,0
315;;16.65;16.65;16.65;16.65;16.65;16.65;16.65;16.65;0,0;0,0;0,0;0,0
320;;16.9;16.9;16.9;16.9;16.9;16.9;16.9;16.9;0,0;0,0;0,0;0,0
325;;17.2;17.2;17.2;17.2;17.2;17.2;17.2;17.2;0,0;0,0;0,0;0,0
330;;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;0,0;0,0;0,0;0,0
335;;17.75;17.75;17.75;17.75;17.75;17.75;17.75;17.75;0,0;0,0;0,0;0,0
340;;18.0;18.0;18.0;18.0;18.0;18.0;18.0;18.0;0,0;0,0;0,0;0,0
345;;18.25;18.25;18.25;18.25;18.25;18.25;18.25;18.25;0,0;0,0;0,0;0,0
350;;18.5;18.5;18.5;18.5;18.5;18.5;18.5;18.5;0,0;0,0;0,0;0,0
355;;18.8;18.8;18.8;18.8;18.8;18.8;18.8;18.8;0,0;0,0;0,0;0,0
360;;19.1;19.1;19.1;19.1;19.1;19.1;19.1;19.1;0,0;0,0;0,0;0,0
