Incinerator Sludge Tank;;;;;;;;;;;;;
SND;Ullage;VTr=-6;VTr=-4;VTr=-3;VTr=-2;VTr=-1;VTr=0;VTr=1;VTr=2;HC.P2;HC.P1;HC.S-1;HC.S-2
cm;cm;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3
0.0;;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.0;0.0;0.0;0.0
5.0;;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.0;0.0;0.0;0.0
10.0;;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.0;0.0;0.0;0.0
15.0;;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.0;0.0;0.0;0.0
20.0;;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
25.0;;0.35;0.35;0.35;0.35;0.35;0.35;0.35;0.35;0.0;0.0;0.0;0.0
30.0;;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.0;0.0;0.0;0.0
35.0;;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.0;0.0;0.0;0.0
40.0;;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.0;0.0;0.0;0.0
45.0;;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.0;0.0;0.0;0.0
50.0;;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.0;0.0;0.0;0.0
55.0;;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.0;0.0;0.0;0.0
60.0;;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.0;0.0;0.0;0.0
65.0;;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.0;0.0;0.0;0.0
70.0;;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.0;0.0;0.0;0.0
75.0;;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.0;0.0;0.0;0.0
80.0;;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.0;0.0;0.0;0.0
85.0;;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.0;0.0;0.0;0.0
90.0;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0
95.0;;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;0.0;0.0;0.0;0.0
