ME cond tank
SND;Ullage_cm;VTr=-6_m3;VTr=-4_m3;VTr=-3_m3;VTr=-2_m3;VTr=-1_m3;VTr=0_m3;VTr=1_m3;VTr=2_m3;HC.P2_m3;HC.P1_m3;HC.S-1_m3;HC.S-2_m3
0;460;0.1;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;455;0.2;0.1;0.1;0.1;0.1;0.1;0.1;0.0;0.0;0.0;0.0;0.0
10;450;0.4;0.2;0.2;0.2;0.1;0.1;0.1;0.1;0.0;0.0;0.0;0.0
15;445;0.5;0.4;0.3;0.3;0.2;0.2;0.2;0.2;0.0;0.0;0.0;0.0
20;440;0.7;0.5;0.4;0.4;0.3;0.3;0.3;0.2;0.0;0.0;0.0;0.0
25;435;0.9;0.7;0.6;0.5;0.5;0.4;0.4;0.3;0.0;0.0;0.0;0.0
30;430;1.1;0.9;0.8;0.7;0.6;0.6;0.5;0.5;0.0;0.0;0.0;0.0
35;425;1.4;1.1;1.0;0.9;0.8;0.7;0.7;0.6;0.0;0.0;0.0;0.0
40;420;1.7;1.4;1.2;1.1;1.0;0.9;0.8;0.8;0.0;0.0;0.0;0.0
45;415;2.0;1.6;1.5;1.4;1.2;1.1;1.0;1.0;0.0;0.0;0.0;0.0
50;410;2.3;1.9;1.8;1.6;1.5;1.4;1.3;1.2;0.0;0.0;0.0;0.0
55;405;2.6;2.2;2.1;1.9;1.8;1.6;1.5;1.4;0.0;0.0;0.0;0.0
60;400;2.9;2.6;2.4;2.2;2.1;1.9;1.8;1.7;0.0;0.0;0.0;0.0
65;395;3.3;2.9;2.7;2.5;2.4;2.2;2.1;1.9;0.0;0.0;0.0;0.0
70;390;3.7;3.3;3.1;2.9;2.7;2.5;2.4;2.2;0.0;0.0;0.0;0.0
75;385;4.1;3.6;3.4;3.2;3.0;2.9;2.7;2.5;0.0;0.0;0.0;0.0
80;380;4.5;4.0;3.8;3.6;3.4;3.2;3.0;2.8;0.0;0.0;0.0;0.0
85;375;4.9;4.4;4.2;4.0;3.8;3.6;3.4;3.2;0.0;0.0;0.0;0.0
90;370;5.4;4.9;4.7;4.4;4.2;4.0;3.8;3.6;0.0;0.0;0.0;0.0
95;365;5.9;5.4;5.2;4.9;4.7;4.5;4.3;4.1;0.0;0.0;0.0;0.0
100;360;6.5;5.9;5.7;5.4;5.2;5.0;4.7;4.5;0.0;0.0;0.0;0.0
105;355;7.0;6.5;6.2;6.0;5.7;5.5;5.2;5.0;0.0;0.0;0.0;0.0
110;350;7.6;7.0;6.8;6.5;6.2;6.0;5.8;5.5;0.0;0.0;0.0;0.0
115;345;8.2;7.6;7.3;7.1;6.8;6.5;6.3;6.0;0.0;0.0;0.0;0.0
120;340;8.8;8.2;7.9;7.6;7.4;7.1;6.8;6.6;0.0;0.0;0.0;0.0
125;335;9.4;8.8;8.5;8.2;7.9;7.7;7.4;7.1;0.0;0.0;0.0;0.0
130;330;10.1;9.5;9.2;8.9;8.6;8.3;8.0;7.8;0.0;0.0;0.0;0.0
135;325;10.8;10.2;9.9;9.6;9.3;9.0;8.7;8.4;0.0;0.0;0.0;0.0
140;320;11.5;10.9;10.5;10.2;9.9;9.6;9.3;9.1;0.0;0.0;0.0;0.0
145;315;12.2;11.6;11.3;10.9;10.6;10.3;10.0;9.7;0.0;0.0;0.0;0.0
150;310;13.0;12.3;12.0;11.7;11.3;11.0;10.7;10.4;0.0;0.0;0.0;0.0
155;305;13.7;13.1;12.7;12.4;12.1;11.8;11.4;11.1;0.0;0.0;0.0;0.0
160;300;14.5;13.8;13.5;13.1;12.8;12.5;12.2;11.8;0.0;0.0;0.0;0.0
165;295;15.3;14.6;14.2;13.9;13.6;13.2;12.9;12.6;0.0;0.0;0.0;0.0
170;290;16.1;15.4;15.0;14.7;14.3;14.0;13.7;13.3;0.0;0.0;0.0;0.0
175;285;16.9;16.1;15.8;15.4;15.1;14.8;14.4;14.1;0.0;0.0;0.0;0.0
180;280;17.7;16.9;16.6;16.2;15.9;15.5;15.2;14.9;0.0;0.0;0.0;0.0
185;275;18.5;17.8;17.4;17.0;16.7;16.3;16.0;15.6;0.0;0.0;0.0;0.0
190;270;19.3;18.6;18.2;17.9;17.5;17.2;16.8;16.5;0.0;0.0;0.0;0.0
195;265;20.2;19.4;19.1;18.7;18.3;18.0;17.6;17.3;0.0;0.0;0.0;0.0
200;260;21.0;20.3;19.9;19.6;19.2;18.8;18.5;18.1;0.0;0.0;0.0;0.0
205;255;21.8;21.2;20.8;20.4;20.0;19.7;19.3;18.9;0.0;0.0;0.0;0.0
210;250;22.6;22.0;21.7;21.3;20.9;20.5;20.2;19.8;0.0;0.0;0.0;0.0
215;245;23.4;22.8;22.5;22.1;21.8;21.4;21.0;20.7;0.0;0.0;0.0;0.0
220;240;23.5;23.4;23.2;22.9;22.6;22.2;21.8;21.4;0.0;0.0;0.0;0.0
225;235;23.5;23.5;23.4;23.3;23.1;22.8;22.4;22.1;0.0;0.0;0.0;-0.1
230;230;23.5;23.5;23.5;23.5;23.3;23.2;22.9;22.6;0.0;0.0;0.0;-0.1
235;225;23.5;23.5;23.5;23.5;23.5;23.4;23.2;23.0;0.0;0.0;0.0;0.0
240;220;23.5;23.5;23.5;23.5;23.5;23.5;23.4;23.3;0.0;0.0;0.0;0.0
245;215;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.4;0.0;0.0;0.0;0.0
250;210;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
255;205;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
260;200;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
265;195;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
270;190;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
275;185;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
280;180;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
285;175;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
290;170;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
295;165;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
300;160;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
305;155;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
310;150;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
315;145;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
320;140;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
325;135;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
330;130;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
335;125;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
340;120;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
345;115;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
350;110;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
355;105;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
360;100;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
365;95;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
370;90;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
375;85;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
380;80;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
385;75;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
390;70;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
395;65;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
400;60;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
405;55;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
410;50;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
415;45;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
420;40;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
425;35;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
430;30;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
435;25;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
440;20;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
