ME_LO_SETTL
REMOTE Height (cm);Height (m);VTr=-6;VTr=-4;VTr=-3;VTr=-2;VTr=-1;VTr=0;VTr=1;VTr=2;HC.P2;HC.P1;HC.S-1;HC.S-2
Cm;M;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3
0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.0;0.0;0.0;0.0
10;;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.0;0.0;0.0;0.0
15;;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.0;0.0;0.0;0.0
20;;1.3;1.3;1.3;1.3;1.3;1.3;1.3;1.3;0.0;0.0;0.0;0.0
25;;1.65;1.65;1.65;1.65;1.65;1.65;1.65;1.65;0.0;0.0;0.0;0.0
30;;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0
35;;2.3;2.3;2.3;2.3;2.3;2.3;2.3;2.3;0.0;0.0;0.0;0.0
40;;2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;0.0;0.0;0.0;0.0
45;;2.95;2.95;2.95;2.95;2.95;2.95;2.95;2.95;0.0;0.0;0.0;0.0
50;;3.3;3.3;3.3;3.3;3.3;3.3;3.3;3.3;0.0;0.0;0.0;0.0
55;;3.65;3.65;3.65;3.65;3.65;3.65;3.65;3.65;0.0;0.0;0.0;0.0
60;;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;0.0;0.0;0.0;0.0
65;;4.3;4.3;4.3;4.3;4.3;4.3;4.3;4.3;0.0;0.0;0.0;0.0
70;;4.6;4.6;4.6;4.6;4.6;4.6;4.6;4.6;0.0;0.0;0.0;0.0
75;;4.95;4.95;4.95;4.95;4.95;4.95;4.95;4.95;0.0;0.0;0.0;0.0
80;;5.3;5.3;5.3;5.3;5.3;5.3;5.3;5.3;0.0;0.0;0.0;0.0
85;;5.65;5.65;5.65;5.65;5.65;5.65;5.65;5.65;0.0;0.0;0.0;0.0
90;;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;0.0;0.0;0.0;0.0
95;;6.3;6.3;6.3;6.3;6.3;6.3;6.3;6.3;0.0;0.0;0.0;0.0
100;;6.6;6.6;6.6;6.6;6.6;6.6;6.6;6.6;0.0;0.0;0.0;0.0
105;;6.95;6.95;6.95;6.95;6.95;6.95;6.95;6.95;0.0;0.0;0.0;0.0
110;;7.3;7.3;7.3;7.3;7.3;7.3;7.3;7.3;0.0;0.0;0.0;0.0
115;;7.6;7.6;7.6;7.6;7.6;7.6;7.6;7.6;0.0;0.0;0.0;0.0
120;;7.9;7.9;7.9;7.9;7.9;7.9;7.9;7.9;0.0;0.0;0.0;0.0
125;;8.25;8.25;8.25;8.25;8.25;8.25;8.25;8.25;0.0;0.0;0.0;0.0
130;;8.6;8.6;8.6;8.6;8.6;8.6;8.6;8.6;0.0;0.0;0.0;0.0
135;;8.95;8.95;8.95;8.95;8.95;8.95;8.95;8.95;0.0;0.0;0.0;0.0
