ME_LO_STOR
REMOTE Height (cm);Height (m);VTr=-6;VTr=-4;VTr=-3;VTr=-2;VTr=-1;VTr=0;VTr=1;VTr=2;HC.P2;HC.P1;HC.S-1;HC.S-2
Cm;M;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3
0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.0;0.0;0.0;0.0
10;;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.0;0.0;0.0;0.0
15;;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.0;0.0;0.0;0.0
20;;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;0.0;0.0;0.0;0.0
25;;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;0.0;0.0;0.0;0.0
30;;1.7;1.7;1.7;1.7;1.7;1.7;1.7;1.7;0.0;0.0;0.0;0.0
35;;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0
40;;2.3;2.3;2.3;2.3;2.3;2.3;2.3;2.3;0.0;0.0;0.0;0.0
45;;2.65;2.65;2.65;2.65;2.65;2.65;2.65;2.65;0.0;0.0;0.0;0.0
50;;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;0.0;0.0;0.0;0.0
55;;3.3;3.3;3.3;3.3;3.3;3.3;3.3;3.3;0.0;0.0;0.0;0.0
60;;3.6;3.6;3.6;3.6;3.6;3.6;3.6;3.6;0.0;0.0;0.0;0.0
65;;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;0.0;0.0;0.0;0.0
70;;4.2;4.2;4.2;4.2;4.2;4.2;4.2;4.2;0.0;0.0;0.0;0.0
75;;4.55;4.55;4.55;4.55;4.55;4.55;4.55;4.55;0.0;0.0;0.0;0.0
80;;4.9;4.9;4.9;4.9;4.9;4.9;4.9;4.9;0.0;0.0;0.0;0.0
85;;5.25;5.25;5.25;5.25;5.25;5.25;5.25;5.25;0.0;0.0;0.0;0.0
90;;5.6;5.6;5.6;5.6;5.6;5.6;5.6;5.6;0.0;0.0;0.0;0.0
95;;5.95;5.95;5.95;5.95;5.95;5.95;5.95;5.95;0.0;0.0;0.0;0.0
100;;6.3;6.3;6.3;6.3;6.3;6.3;6.3;6.3;0.0;0.0;0.0;0.0
105;;6.65;6.65;6.65;6.65;6.65;6.65;6.65;6.65;0.0;0.0;0.0;0.0
110;;7.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;0.0;0.0;0.0;0.0
115;;7.35;7.35;7.35;7.35;7.35;7.35;7.35;7.35;0.0;0.0;0.0;0.0
120;;7.7;7.7;7.7;7.7;7.7;7.7;7.7;7.7;0.0;0.0;0.0;0.0
125;;8.05;8.05;8.05;8.05;8.05;8.05;8.05;8.05;0.0;0.0;0.0;0.0
130;;8.4;8.4;8.4;8.4;8.4;8.4;8.4;8.4;0.0;0.0;0.0;0.0
135;;8.8;8.8;8.8;8.8;8.8;8.8;8.8;8.8;0.0;0.0;0.0;0.0
