ME LO Sump Tank
SND;Ullage;VTr=-6;VTr=-4;VTr=-3;VTr=-2;VTr=-1;VTr=0;VTr=1;VTr=2;HC.P2;HC.P1;HC.S-1;HC.S-2
0;382;0.1;0.2;0.2;0.3;0.5;0.8;1.1;1.5;-0.5;-0.4;0.4;0.8
5;377;0.5;0.7;0.8;1.1;1.5;1.8;2.1;2.5;-0.8;-0.4;0.4;0.8
10;372;1.1;1.5;1.8;2.1;2.5;2.8;3.1;3.5;-0.8;-0.4;0.4;0.8
15;367;1.8;2.5;2.8;3.1;3.5;3.8;4.1;4.5;-0.8;-0.4;0.4;0.8
20;362;2.8;3.5;3.8;4.1;4.5;4.8;5.1;5.5;-0.8;-0.4;0.4;0.8
25;357;3.8;4.5;4.8;5.1;5.5;5.8;6.1;6.5;-0.8;-0.4;0.4;0.8
30;352;4.8;5.5;5.8;6.1;6.5;6.8;7.1;7.5;-0.8;-0.4;0.4;0.8
35;347;5.8;6.5;6.8;7.1;7.5;7.8;8.1;8.5;-0.8;-0.4;0.4;0.8
40;342;6.8;7.5;7.8;8.1;8.5;8.8;9.1;9.5;-0.8;-0.4;0.4;0.8
45;337;7.8;8.5;8.8;9.1;9.5;9.8;10.1;10.5;-0.8;-0.4;0.4;0.8
50;332;8.8;9.5;9.8;10.1;10.5;10.8;11.1;11.5;-0.8;-0.4;0.4;0.8
55;327;9.8;10.5;10.8;11.1;11.5;11.8;12.1;12.5;-0.8;-0.4;0.4;0.8
60;322;10.8;11.5;11.8;12.1;12.5;12.8;13.1;13.5;-0.8;-0.4;0.4;0.8
65;317;11.8;12.5;12.8;13.1;13.5;13.8;14.1;14.5;-0.8;-0.4;0.4;0.8
70;312;12.8;13.5;13.8;14.1;14.5;14.8;15.1;15.4;-0.8;-0.4;0.4;0.8
75;307;13.8;14.5;14.8;15.1;15.4;15.8;16.1;16.4;-0.8;-0.4;0.4;0.8
80;302;14.8;15.4;15.8;16.1;16.4;16.8;17.1;17.4;-0.8;-0.4;0.4;0.8
85;297;15.8;16.4;16.8;17.1;17.4;17.8;18.1;18.4;-0.8;-0.4;0.4;0.8
90;292;16.8;17.4;17.8;18.1;18.4;18.7;19.1;19.4;-0.8;-0.4;0.4;0.8
95;287;17.8;18.4;18.7;19.1;19.4;19.7;20.1;20.3;-0.8;-0.4;0.4;0.5
100;282;18.7;19.4;19.7;20.0;20.3;20.5;20.5;20.5;-0.6;0.0;0.0;0.0
105;277;19.5;20.1;20.3;20.5;20.5;20.5;20.5;20.5;-0.1;0.0;0.0;0.0
110;272;20.0;20.4;20.5;20.5;20.5;20.5;20.5;20.5;0.0;0.0;0.0;0.0
115;267;20.4;20.5;20.5;20.5;20.5;20.5;20.5;20.5;0.0;0.0;0.0;0.0
120;262;20.5;20.5;20.5;20.5;20.5;20.5;20.5;20.5;0.0;0.0;0.0;0.0
125;257;20.5;20.5;20.5;20.5;20.5;20.5;20.5;20.5;0.0;0.0;0.0;0.0
130;252;20.5;20.5;20.5;20.5;20.5;20.5;20.5;20.5;0.0;0.0;0.0;0.0
135;247;20.5;20.5;20.5;20.5;20.5;20.5;20.5;20.5;0.0;0.0;0.0;0.0
140;242;20.5;20.5;20.5;20.5;20.5;20.5;20.5;20.5;0.0;0.0;0.0;0.0
145;237;20.5;20.5;20.5;20.5;20.5;20.5;20.5;20.5;0.0;0.0;0.0;0.0
150;232;20.5;20.5;20.5;20.5;20.5;20.5;20.5;20.5;0.0;0.0;0.0;0.0
155;227;20.5;20.5;20.5;20.5;20.5;20.5;20.5;20.5;0.0;0.0;0.0;0.0
160;222;20.5;20.5;20.5;20.5;20.5;20.5;20.5;20.5;0.0;0.0;0.0;0.0
165;217;20.5;20.5;20.5;20.5;20.5;20.5;20.5;20.5;0.0;0.0;0.0;0.0
170;212;20.5;20.5;20.5;20.5;20.5;20.5;20.5;20.5;0.0;0.0;0.0;0.0
175;207;20.5;20.5;20.5;20.5;20.5;20.5;20.5;20.5;0.0;0.0;0.0;0.0
180;202;20.5;20.5;20.5;20.5;20.5;20.5;20.5;20.5;0.0;0.0;0.0;0.0
185;197;20.5;20.5;20.5;20.5;20.5;20.5;20.5;20.5;0.0;0.0;0.0;0.0
190;192;20.5;20.5;20.5;20.5;20.5;20.5;20.5;20.5;0.0;0.0;0.0;0.0
195;187;20.5;20.5;20.5;20.5;20.5;20.5;20.5;20.5;0.0;0.0;0.0;0.0
200;182;20.5;20.5;20.5;20.5;20.5;20.5;20.5;20.5;0.0;0.0;0.0;0.0
205;177;20.5;20.5;20.5;20.5;20.5;20.5;20.5;20.5;0.0;0.0;0.0;0.0
210;172;20.5;20.5;20.5;20.5;20.5;20.5;20.5;20.5;0.0;0.0;0.0;0.0
215;167;20.5;20.5;20.5;20.5;20.5;20.5;20.5;20.5;0.0;0.0;0.0;0.0
220;162;20.5;20.5;20.5;20.5;20.5;20.5;20.5;20.5;0.0;0.0;0.0;0.0
225;157;20.5;20.5;20.5;20.5;20.5;20.5;20.5;20.5;0.0;0.0;0.0;0.0
230;152;20.5;20.5;20.5;20.5;20.5;20.5;20.5;20.5;0.0;0.0;0.0;0.0
235;147;20.5;20.5;20.5;20.5;20.5;20.5;20.5;20.5;0.0;0.0;0.0;0.0
240;142;20.5;20.5;20.5;20.5;20.5;20.5;20.5;20.5;0.0;0.0;0.0;0.0
245;137;20.5;20.5;20.5;20.5;20.5;20.5;20.5;20.5;0.0;0.0;0.0;0.0
250;132;20.5;20.5;20.5;20.5;20.5;20.5;20.5;20.5;0.0;0.0;0.0;0.0
255;127;20.5;20.5;20.5;20.5;20.5;20.5;20.5;20.5;0.0;0.0;0.0;0.0
260;122;20.5;20.5;20.5;20.5;20.5;20.5;20.5;20.5;0.0;0.0;0.0;0.0
265;117;20.5;20.5;20.5;20.5;20.5;20.5;20.5;20.5;0.0;0.0;0.0;0.0
270;112;20.5;20.5;20.5;20.5;20.5;20.5;20.5;20.5;0.0;0.0;0.0;0.0
275;107;20.5;20.5;20.5;20.5;20.5;20.5;20.5;20.5;0.0;0.0;0.0;0.0
280;102;20.5;20.5;20.5;20.5;20.5;20.5;20.5;20.5;0.0;0.0;0.0;0.0
285;97;20.5;20.5;20.5;20.5;20.5;20.5;20.5;20.5;0.0;0.0;0.0;0.0
290;92;20.5;20.5;20.5;20.5;20.5;20.5;20.5;20.5;0.0;0.0;0.0;0.0
295;87;20.5;20.5;20.5;20.5;20.5;20.5;20.5;20.5;0.0;0.0;0.0;0.0
300;82;20.5;20.5;20.5;20.5;20.5;20.5;20.5;20.5;0.0;0.0;0.0;0.0
305;77;20.5;20.5;20.5;20.5;20.5;20.5;20.5;20.5;0.0;0.0;0.0;0.0
310;72;20.5;20.5;20.5;20.5;20.5;20.5;20.5;20.5;0.0;0.0;0.0;0.0
315;67;20.5;20.5;20.5;20.5;20.5;20.5;20.5;20.5;0.0;0.0;0.0;0.0
320;62;20.5;20.5;20.5;20.5;20.5;20.5;20.5;20.5;0.0;0.0;0.0;0.0
325;57;20.5;20.5;20.5;20.5;20.5;20.5;20.5;20.5;0.0;0.0;0.0;0.0
330;52;20.5;20.5;20.5;20.5;20.5;20.5;20.5;20.5;0.0;0.0;0.0;0.0
335;47;20.5;20.5;20.5;20.5;20.5;20.5;20.5;20.5;0.0;0.0;0.0;0.0
340;42;20.5;20.5;20.5;20.5;20.5;20.5;20.5;20.5;0.0;0.0;0.0;0.0
345;37;20.5;20.5;20.5;20.5;20.5;20.5;20.5;20.5;0.0;0.0;0.0;0.0
350;32;20.5;20.5;20.5;20.5;20.5;20.5;20.5;20.5;0.0;0.0;0.0;0.0
355;27;20.5;20.5;20.5;20.5;20.5;20.5;20.5;20.5;0.0;0.0;0.0;0.0
360;22;20.5;20.5;20.5;20.5;20.5;20.5;20.5;20.5;0.0;0.0;0.0;0.0
365;17;20.5;20.5;20.5;20.5;20.5;20.5;20.5;20.5;0.0;0.0;0.0;0.0
370;12;20.5;20.5;20.5;20.5;20.5;20.5;20.5;20.5;0.0;0.0;0.0;0.0
375;7;20.5;20.5;20.5;20.5;20.5;20.5;20.5;20.5;0.0;0.0;0.0;0.0
380;2;20.5;20.5;20.5;20.5;20.5;20.5;20.5;20.5;0.0;0.0;0.0;0.0
382;0;20.5;20.5;20.5;20.5;20.5;20.5;20.5;20.5;0.0;0.0;0.0;0.0
