Sludge Tank
SND;Ullage;VTr=-6;VTr=-4;VTr=-3;VTr=-2;VTr=-1;VTr=0;VTr=1;VTr=2;HC.P2;HC.P1;HC.S-1;HC.S-2
0;300;0.0;0.0;0.0;0.0;0.1;0.1;0.1;0.1;0.1;0.0;0.0;0.0
5;295;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.1;0.0;0.0;-0.1
10;290;0.3;0.3;0.3;0.3;0.3;0.4;0.4;0.4;0.1;0.0;0.0;-0.1
15;285;0.4;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.1;0.0;0.0;-0.1
20;280;0.6;0.6;0.6;0.7;0.7;0.7;0.7;0.7;0.1;0.0;0.0;-0.1
25;275;0.8;0.8;0.8;0.8;0.8;0.8;0.9;0.9;0.1;0.1;-0.1;-0.1
30;270;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.1;0.1;0.1;-0.1;-0.1
35;265;1.1;1.2;1.2;1.2;1.2;1.2;1.2;1.2;0.1;0.1;-0.1;-0.1
40;260;1.3;1.4;1.4;1.4;1.4;1.4;1.4;1.4;0.1;0.1;-0.1;-0.1
45;255;1.5;1.6;1.6;1.6;1.6;1.6;1.6;1.6;0.2;0.1;-0.1;-0.1
50;250;1.7;1.8;1.8;1.8;1.8;1.8;1.8;1.9;0.2;0.1;-0.1;-0.2
55;245;2.0;2.0;2.0;2.0;2.0;2.1;2.1;2.1;0.2;0.1;-0.1;-0.2
60;240;2.2;2.2;2.2;2.2;2.3;2.3;2.3;2.3;0.2;0.1;-0.1;-0.2
65;235;2.4;2.5;2.5;2.5;2.5;2.5;2.5;2.5;0.2;0.1;-0.1;-0.2
70;230;2.7;2.7;2.7;2.7;2.7;2.8;2.8;2.8;0.2;0.1;-0.1;-0.2
75;225;2.9;2.9;3.0;3.0;3.0;3.0;3.0;3.0;0.3;0.1;-0.1;-0.2
80;220;3.2;3.2;3.2;3.2;3.3;3.3;3.3;3.3;0.3;0.1;-0.1;-0.2
85;215;3.4;3.5;3.5;3.5;3.5;3.5;3.6;3.6;0.3;0.1;-0.1;-0.3
90;210;3.7;3.7;3.8;3.8;3.8;3.8;3.8;3.9;0.3;0.1;-0.1;-0.3
95;205;4.0;4.0;4.0;4.1;4.1;4.1;4.1;4.1;0.3;0.2;-0.1;-0.3
100;200;4.3;4.3;4.3;4.4;4.4;4.4;4.4;4.4;0.3;0.2;-0.2;-0.3
105;195;4.6;4.6;4.6;4.7;4.7;4.7;4.7;4.7;0.4;0.2;-0.2;-0.3
110;190;4.9;4.9;4.9;5.0;5.0;5.0;5.0;5.0;0.4;0.2;-0.2;-0.3
115;185;5.2;5.2;5.3;5.3;5.3;5.3;5.3;5.4;0.4;0.2;-0.2;-0.4
120;180;5.5;5.6;5.6;5.6;5.6;5.6;5.7;5.7;0.4;0.2;-0.2;-0.4
125;175;5.8;5.9;5.9;5.9;6.0;6.0;6.0;6.0;0.4;0.2;-0.2;-0.4
130;170;6.2;6.2;6.3;6.3;6.3;6.3;6.3;6.4;0.5;0.2;-0.2;-0.4
135;165;6.5;6.6;6.6;6.6;6.6;6.7;6.7;6.7;0.5;0.2;-0.2;-0.4
140;160;6.9;6.9;7.0;7.0;7.0;7.0;7.1;7.1;0.5;0.2;-0.2;-0.4
145;155;7.2;7.3;7.3;7.3;7.4;7.4;7.4;7.4;0.5;0.3;-0.2;-0.5
150;150;7.6;7.7;7.7;7.7;7.7;7.8;7.8;7.8;0.6;0.3;-0.3;-0.5
155;145;8.0;8.0;8.1;8.1;8.1;8.1;8.2;8.2;0.6;0.3;-0.3;-0.5
160;140;8.4;8.4;8.5;8.5;8.5;8.5;8.6;8.6;0.6;0.3;-0.3;-0.5
