sawage_holding_tank
REMOTE Height (cm);Height (m);VTr=-6;VTr=-4;VTr=-3;VTr=-2;VTr=-1;VTr=0;VTr=1;VTr=2;HC.P2;HC.P1;HC.S-1;HC.S-2
Cm;M;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3
0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.0;0.0;0.0;0.0
10;;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
15;;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.0;0.0;0.0;0.0
20;;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.0;0.0;0.0;0.0
25;;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.0;0.0;0.0;0.0
30;;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;0.0;0.0;0.0;0.0
35;;1.3;1.3;1.3;1.3;1.3;1.3;1.3;1.3;0.0;0.0;0.0;0.0
40;;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;0.0;0.0;0.0;0.0
45;;1.7;1.7;1.7;1.7;1.7;1.7;1.7;1.7;0.0;0.0;0.0;0.0
50;;1.9;1.9;1.9;1.9;1.9;1.9;1.9;1.9;0.0;0.0;0.0;0.0
55;;2.05;2.05;2.05;2.05;2.05;2.05;2.05;2.05;0.0;0.0;0.0;0.0
60;;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;0.0;0.0;0.0;0.0
65;;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;0.0;0.0;0.0;0.0
70;;2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;0.0;0.0;0.0;0.0
75;;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;0.0;0.0;0.0;0.0
80;;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;0.0;0.0;0.0;0.0
85;;3.15;3.15;3.15;3.15;3.15;3.15;3.15;3.15;0.0;0.0;0.0;0.0
90;;3.3;3.3;3.3;3.3;3.3;3.3;3.3;3.3;0.0;0.0;0.0;0.0
95;;3.5;3.5;3.5;3.5;3.5;3.5;3.5;3.5;0.0;0.0;0.0;0.0
100;;3.7;3.7;3.7;3.7;3.7;3.7;3.7;3.7;0.0;0.0;0.0;0.0
105;;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;0.0;0.0;0.0;0.0
110;;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;0.0;0.0;0.0;0.0
115;;4.25;4.25;4.25;4.25;4.25;4.25;4.25;4.25;0.0;0.0;0.0;0.0
120;;4.4;4.4;4.4;4.4;4.4;4.4;4.4;4.4;0.0;0.0;0.0;0.0
125;;4.6;4.6;4.6;4.6;4.6;4.6;4.6;4.6;0.0;0.0;0.0;0.0
130;;4.8;4.8;4.8;4.8;4.8;4.8;4.8;4.8;0.0;0.0;0.0;0.0
135;;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;0.0;0.0;0.0;0.0
