FWT_Tech_W
REMOTE Height (cm);Height (m);VTr=-6;VTr=-4;VTr=-3;VTr=-2;VTr=-1;VTr=0;VTr=1;VTr=2;HC.P2;HC.P1;HC.S-1;HC.S-2
Cm;M;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3
0;1.122;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;-0.3;-0.2;0.2;0.4
5;1.172;4.5;4.4;4.4;4.4;4.4;4.4;4.4;4.4;-0.4;-0.2;0.2;0.4
10;1.222;5.0;5.0;5.0;5.0;4.9;4.9;4.9;4.9;-0.4;-0.2;0.2;0.5
15;1.272;5.6;5.6;5.5;5.5;5.5;5.5;5.5;5.5;-0.5;-0.2;0.3;0.5
20;1.322;6.3;6.2;6.2;6.1;6.1;6.1;6.1;6.0;-0.5;-0.3;0.3;0.6
25;1.372;6.9;6.8;6.8;6.8;6.7;6.7;6.7;6.7;-0.6;-0.3;0.3;0.6
30;1.422;7.6;7.5;7.5;7.4;7.4;7.4;7.3;7.3;-0.6;-0.3;0.3;0.7
35;1.472;8.3;8.2;8.2;8.1;8.1;8.1;8.0;8.0;-0.6;-0.3;0.4;0.7
40;1.522;9.1;9.0;8.9;8.9;8.8;8.8;8.7;8.7;-0.7;-0.4;0.4;0.8
45;1.572;9.9;9.7;9.7;9.6;9.6;9.5;9.5;9.5;-0.7;-0.4;0.4;0.8
50;1.622;10.7;10.5;10.5;10.4;10.4;10.3;10.3;10.2;-0.8;-0.4;0.4;0.9
55;1.672;11.5;11.4;11.3;11.3;11.2;11.1;11.1;11.0;-0.8;-0.4;0.5;0.9
60;1.722;12.4;12.2;12.2;12.1;12.0;12.0;11.9;11.9;-0.9;-0.5;0.5;1.0
65;1.772;13.3;13.1;13.0;13.0;12.9;12.8;12.8;12.7;-0.9;-0.5;0.5;1.1
70;1.822;14.2;14.0;13.9;13.9;13.8;13.7;13.7;13.6;-1.0;-0.5;0.5;1.1
75;1.872;15.1;14.9;14.9;14.8;14.7;14.6;14.6;14.5;-1.0;-0.5;0.6;1.2
80;1.922;16.1;15.9;15.8;15.7;15.7;15.6;15.5;15.4;-1.1;-0.6;0.6;1.2
85;1.972;17.1;16.9;16.8;16.7;16.6;16.5;16.5;16.4;-1.1;-0.6;0.6;1.3
90;2.022;18.1;17.9;17.8;17.7;17.6;17.5;17.5;17.4;-1.2;-0.6;0.6;1.3
95;2.072;19.1;18.9;18.8;18.7;18.6;18.5;18.5;18.4;-1.2;-0.6;0.7;1.4
100;2.122;20.1;19.9;19.9;19.8;19.7;19.6;19.5;19.4;-1.3;-0.7;0.7;1.4
105;2.172;21.2;21.0;20.9;20.8;20.7;20.6;20.5;20.4;-1.3;-0.7;0.7;1.5
110;2.222;22.3;22.1;22.0;21.9;21.8;21.7;21.6;21.5;-1.4;-0.7;0.7;1.5
115;2.272;23.4;23.2;23.1;23.0;22.9;22.8;22.7;22.6;-1.4;-0.7;0.8;1.6
120;2.322;24.6;24.3;24.2;24.1;24.0;23.9;23.8;23.7;-1.5;-0.8;0.8;1.6
125;2.372;25.7;25.5;25.4;25.3;25.2;25.0;24.9;24.8;-1.5;-0.8;0.8;1.7
