Urea Drian Tank
SND;Ullage;VTr=-6;VTr=-4;VTr=-3;VTr=-2;VTr=-1;VTr=0;VTr=1;VTr=2;HC.P2;HC.P1;HC.S-1;HC.S-2
0;285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;280;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10;275;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
15;270;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20;265;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25;260;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.0;0.0;0.0;0.0
30;255;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.0;0.0;0.0;0.0
35;250;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.0;0.0;0.0;0.0
40;245;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.0;0.0;0.0;0.0
45;240;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.0;0.0;0.0;0.0
50;235;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
55;230;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.0;0.0;0.0;0.0
60;225;0.5;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.0;0.0;0.0;0.0
65;220;0.6;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.0;0.0;0.0;0.0
70;215;0.7;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.1;0.0;0.0;0.0
75;210;0.8;0.8;0.8;0.7;0.7;0.7;0.7;0.7;0.1;0.0;0.0;-0.1
80;205;0.9;0.9;0.9;0.9;0.9;0.8;0.8;0.8;0.1;0.0;0.0;-0.1
85;200;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9;0.1;0.0;0.0;-0.1
90;195;1.2;1.2;1.1;1.1;1.1;1.1;1.1;1.1;0.1;0.0;0.0;-0.1
95;190;1.3;1.3;1.3;1.3;1.3;1.3;1.2;1.2;0.1;0.0;0.0;-0.1
100;185;1.5;1.5;1.5;1.4;1.4;1.4;1.4;1.4;0.1;0.1;-0.1;-0.1
105;180;1.7;1.6;1.6;1.6;1.6;1.6;1.6;1.5;0.1;0.1;-0.1;-0.1
110;175;1.8;1.8;1.8;1.8;1.8;1.7;1.7;1.7;0.1;0.1;-0.1;-0.1
115;170;2.0;2.0;2.0;2.0;1.9;1.9;1.9;1.9;0.1;0.1;-0.1;-0.1
120;165;2.2;2.2;2.2;2.1;2.1;2.1;2.1;2.1;0.1;0.1;-0.1;-0.1
125;160;2.4;2.4;2.4;2.3;2.3;2.3;2.3;2.3;0.2;0.1;-0.1;-0.1
130;155;2.6;2.6;2.6;2.6;2.5;2.5;2.5;2.5;0.2;0.1;-0.1;-0.2
135;150;2.9;2.9;2.9;2.8;2.8;2.8;2.8;2.8;0.2;0.1;-0.1;-0.2
140;145;3.2;3.1;3.1;3.1;3.1;3.1;3.0;3.0;0.2;0.1;-0.1;-0.2
145;140;3.5;3.4;3.4;3.4;3.4;3.3;3.3;3.3;0.2;0.1;-0.1;-0.2
150;135;3.7;3.7;3.7;3.6;3.6;3.6;3.6;3.6;0.2;0.1;-0.1;-0.2
155;130;4.0;3.9;3.9;3.9;3.9;3.9;3.8;3.8;0.2;0.1;-0.1;-0.2
160;125;4.3;4.2;4.2;4.2;4.2;4.1;4.1;4.1;0.2;0.1;-0.1;-0.2
165;120;4.6;4.5;4.5;4.5;4.4;4.4;4.4;4.4;0.2;0.1;-0.1;-0.2
170;115;4.8;4.8;4.8;4.7;4.7;4.7;4.7;4.6;0.2;0.1;-0.1;-0.2
175;110;5.1;5.1;5.1;5.0;5.0;5.0;5.0;4.9;0.2;0.1;-0.1;-0.2
180;105;5.4;5.4;5.4;5.3;5.3;5.3;5.3;5.2;0.2;0.1;-0.1;-0.2
185;100;5.8;5.7;5.7;5.6;5.6;5.6;5.6;5.5;0.2;0.1;-0.1;-0.2
190;95;6.1;6.0;6.0;6.0;5.9;5.9;5.9;5.8;0.2;0.1;-0.1;-0.2
195;90;6.4;6.3;6.3;6.3;6.2;6.2;6.2;6.2;0.2;0.1;-0.1;-0.2
200;85;6.7;6.6;6.6;6.6;6.6;6.5;6.5;6.5;0.2;0.1;-0.1;-0.2
205;80;6.8;6.8;6.8;6.8;6.8;6.8;6.8;6.8;0.0;0.0;-0.1;-0.2
210;75;6.8;6.8;6.8;6.8;6.8;6.8;6.8;6.8;0.0;0.0;0.0;0.0
215;70;6.8;6.8;6.8;6.8;6.8;6.8;6.8;6.8;0.0;0.0;0.0;0.0
