UREA_P
REMOTE Height (cm);Height (m);VTr=-6;VTr=-4;VTr=-3;VTr=-2;VTr=-1;VTr=0;VTr=1;VTr=2;HC.P2;HC.P1;HC.S-1;HC.S-2
Cm;M;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3
0;0.111;2.5;2.2;2.1;2.0;1.9;1.8;1.6;1.5;-0.3;-0.1;0.1;0.3
5;0.161;3.2;3.0;2.9;2.8;2.7;2.6;2.4;2.3;-0.3;-0.1;0.1;0.3
10;0.211;4.0;3.8;3.7;3.6;3.5;3.3;3.2;3.1;-0.3;-0.1;0.1;0.3
15;0.261;4.8;4.6;4.5;4.4;4.3;4.1;4.0;3.9;-0.3;-0.1;0.1;0.3
20;0.311;5.6;5.4;5.3;5.2;5.1;4.9;4.8;4.7;-0.3;-0.1;0.1;0.3
25;0.361;6.4;6.2;6.1;6.0;5.8;5.7;5.6;5.5;-0.3;-0.1;0.1;0.3
30;0.411;7.2;7.0;6.9;6.8;6.6;6.5;6.4;6.3;-0.3;-0.1;0.1;0.3
35;0.461;8.0;7.8;7.7;7.5;7.4;7.3;7.2;7.1;-0.3;-0.1;0.1;0.3
40;0.511;8.8;8.6;8.5;8.3;8.2;8.1;8.0;7.9;-0.3;-0.1;0.1;0.3
45;0.561;9.6;9.4;9.3;9.1;9.0;8.9;8.8;8.7;-0.3;-0.1;0.1;0.3
50;0.611;10.4;10.2;10.0;9.9;9.8;9.7;9.6;9.5;-0.3;-0.1;0.1;0.3
55;0.661;11.2;11.0;10.8;10.7;10.6;10.5;10.4;10.3;-0.3;-0.1;0.1;0.3
60;0.711;12.0;11.7;11.6;11.5;11.4;11.3;11.2;11.1;-0.3;-0.1;0.1;0.3
65;0.761;12.8;12.5;12.4;12.3;12.2;12.1;12.0;11.9;-0.3;-0.1;0.1;0.3
70;0.811;13.6;13.3;13.2;13.1;13.0;12.9;12.8;12.6;-0.3;-0.1;0.1;0.3
75;0.861;14.4;14.1;14.0;13.9;13.8;13.7;13.6;13.4;-0.3;-0.1;0.1;0.3
80;0.911;15.2;14.9;14.8;14.7;14.6;14.5;14.3;14.2;-0.3;-0.1;0.1;0.3
85;0.961;16.0;15.7;15.6;15.5;15.4;15.3;15.1;15.0;-0.3;-0.1;0.1;0.3
90;1.011;16.7;16.5;16.4;16.3;16.2;16.1;15.9;15.8;-0.3;-0.1;0.1;0.3
95;1.061;17.5;17.3;17.2;17.1;17.0;16.8;16.7;16.6;-0.3;-0.1;0.1;0.3
100;1.111;18.3;18.1;18.0;17.9;17.8;17.6;17.5;17.4;-0.3;-0.1;0.1;0.3
105;1.161;19.1;18.9;18.8;18.7;18.5;18.4;18.3;18.2;-0.3;-0.1;0.1;0.3
110;1.211;19.9;19.7;19.6;19.5;19.3;19.2;19.1;19.0;-0.3;-0.1;0.1;0.3
115;1.261;20.7;20.5;20.4;20.3;20.1;20.0;19.9;19.8;-0.3;-0.1;0.1;0.3
120;1.311;21.5;21.3;21.2;21.0;20.9;20.8;20.7;20.6;-0.3;-0.1;0.1;0.3
125;1.361;22.3;22.1;22.0;21.8;21.7;21.6;21.5;21.4;-0.3;-0.1;0.1;0.3
130;1.411;23.1;22.9;22.7;22.6;22.5;22.4;22.3;22.2;-0.3;-0.1;0.1;0.3
135;1.461;23.9;23.7;23.5;23.4;23.3;23.2;23.1;23.0;-0.3;-0.1;0.1;0.3
140;1.511;24.7;24.5;24.3;24.2;24.1;24.0;23.9;23.8;-0.3;-0.1;0.1;0.3
145;1.561;25.5;25.2;25.1;25.0;24.9;24.8;24.7;24.6;-0.3;-0.1;0.1;0.3
150;1.611;26.3;26.0;25.9;25.8;25.7;25.6;25.5;25.3;-0.3;-0.1;0.1;0.3
155;1.661;27.1;26.8;26.7;26.6;26.5;26.4;26.3;26.1;-0.3;-0.1;0.1;0.3
160;1.711;27.9;27.6;27.5;27.4;27.3;27.2;27.0;26.9;-0.3;-0.1;0.1;0.3
165;1.761;28.7;28.4;28.3;28.2;28.1;28.0;27.8;27.7;-0.3;-0.1;0.1;0.3
170;1.811;29.5;29.2;29.1;29.0;28.9;28.8;28.6;28.5;-0.3;-0.1;0.1;0.3
175;1.861;30.2;30.0;29.9;29.8;29.7;29.5;29.4;29.3;-0.3;-0.1;0.1;0.3
180;1.911;31.0;30.8;30.7;30.6;30.5;30.3;30.2;30.1;-0.3;-0.1;0.1;0.3
185;1.961;31.8;31.6;31.5;31.4;31.2;31.1;31.0;30.9;-0.3;-0.1;0.1;0.3
190;2.011;32.6;32.4;32.3;32.2;32.0;31.9;31.8;31.7;-0.3;-0.1;0.1;0.3
195;2.061;33.4;33.2;33.1;33.0;32.8;32.7;32.6;32.5;-0.3;-0.1;0.1;0.3
200;2.111;34.2;34.0;33.9;33.7;33.6;33.5;33.4;33.3;-0.3;-0.1;0.1;0.3
205;2.161;35.0;34.8;34.7;34.5;34.4;34.3;34.2;34.1;-0.3;-0.1;0.1;0.3
210;2.211;35.8;35.6;35.5;35.3;35.2;35.1;35.0;34.9;-0.3;-0.1;0.1;0.3
215;2.261;36.5;36.4;36.2;36.1;36.0;35.9;35.8;35.7;-0.3;-0.1;0.1;0.1
220;2.311;36.8;36.8;36.8;36.8;36.8;36.7;36.6;36.5;-0.6;-0.3;-0.1;-0.2
225;2.361;36.8;36.8;36.8;36.8;36.8;36.8;36.8;36.8;-0.3;0.0;0.0;-0.1
230;2.411;36.8;36.8;36.8;36.8;36.8;36.8;36.8;36.8;-0.1;0.0;0.0;0.0
