Waste Oil Tanc
SND;Ullage;VTr=-6;VTr=-4;VTr=-3;VTr=-2;VTr=-1;VTr=0;VTr=1;VTr=2;HC.P2;HC.P1;HC.S-1;HC.S-2
0;441;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;436;0.2;0.1;0.1;0.1;0.1;0.1;0.1;0.0;0.0;0.0;0.0;0.0
10;431;0.4;0.3;0.2;0.2;0.2;0.1;0.1;0.1;0.0;0.0;0.0;0.0
15;426;0.7;0.5;0.4;0.3;0.3;0.2;0.2;0.2;0.0;0.0;0.0;0.0
20;421;0.9;0.7;0.6;0.5;0.4;0.4;0.3;0.3;0.0;0.0;0.0;0.0
25;416;1.2;1.0;0.8;0.7;0.7;0.6;0.5;0.5;0.0;0.0;0.0;0.0
30;411;1.6;1.3;1.1;1.0;0.9;0.8;0.7;0.7;0.0;0.0;0.0;0.0
35;406;1.9;1.6;1.4;1.3;1.2;1.1;1.0;0.9;0.0;0.0;0.0;0.0
40;401;2.3;1.9;1.8;1.6;1.5;1.4;1.2;1.1;0.1;0.0;0.0;0.0
45;396;2.7;2.3;2.2;2.0;1.8;1.7;1.6;1.4;0.1;0.0;0.0;-0.1
50;391;3.2;2.8;2.6;2.4;2.2;2.1;1.9;1.8;0.1;0.0;0.0;-0.1
55;386;3.7;3.2;3.0;2.8;2.6;2.4;2.3;2.1;0.1;0.0;0.0;-0.1
60;381;4.1;3.7;3.5;3.3;3.1;2.9;2.7;2.5;0.1;0.0;0.0;-0.1
65;376;4.7;4.2;3.9;3.7;3.5;3.3;3.1;2.9;0.1;0.1;0.0;-0.1
70;371;5.2;4.7;4.5;4.2;4.0;3.8;3.6;3.4;0.1;0.1;-0.1;-0.1
75;366;5.8;5.2;5.0;4.7;4.5;4.3;4.1;3.8;0.1;0.1;-0.1;-0.1
80;361;6.3;5.8;5.5;5.3;5.0;4.8;4.6;4.3;0.1;0.1;-0.1;-0.1
85;356;6.9;6.4;6.1;5.8;5.6;5.3;5.1;4.8;0.1;0.1;-0.1;-0.1
90;351;7.6;7.0;6.7;6.4;6.1;5.9;5.6;5.4;0.1;0.1;-0.1;-0.1
95;346;8.2;7.6;7.3;7.0;6.7;6.5;6.2;5.9;0.2;0.1;-0.1;-0.1
100;341;8.8;8.2;7.9;7.6;7.3;7.1;6.8;6.5;0.2;0.1;-0.1;-0.2
105;336;9.5;8.9;8.6;8.3;8.0;7.7;7.4;7.1;0.2;0.1;-0.1;-0.2
110;331;10.2;9.5;9.2;8.9;8.6;8.3;8.0;7.7;0.2;0.1;-0.1;-0.2
115;326;10.9;10.2;9.9;9.6;9.3;9.0;8.7;8.4;0.2;0.1;-0.1;-0.2
120;321;11.6;10.9;10.6;10.3;9.9;9.6;9.3;9.0;0.2;0.1;-0.1;-0.2
125;316;12.3;11.6;11.3;11.0;10.6;10.3;10.0;9.7;0.2;0.1;-0.1;-0.2
130;311;13.0;12.4;12.0;11.7;11.3;11.0;10.7;10.4;0.2;0.1;-0.1;-0.2
135;306;13.8;13.1;12.7;12.4;12.1;11.7;11.4;11.1;0.2;0.1;-0.1;-0.2
140;301;14.6;13.8;13.5;13.1;12.8;12.4;12.1;11.8;0.2;0.1;-0.1;-0.2
145;296;15.3;14.6;14.2;13.9;13.5;13.2;12.8;12.5;0.2;0.1;-0.1;-0.2
150;291;16.1;15.4;15.0;14.6;14.3;13.9;13.6;13.2;0.2;0.1;-0.1;-0.2
155;286;16.9;16.1;15.8;15.4;15.0;14.7;14.3;14.0;0.2;0.1;-0.1;-0.2
160;281;17.7;16.9;16.6;16.2;15.8;15.5;15.1;14.7;0.2;0.1;-0.1;-0.2
165;276;18.5;17.7;17.4;17.0;16.6;16.2;15.9;15.5;0.2;0.1;-0.1;-0.2
170;271;19.3;18.6;18.2;17.8;17.4;17.0;16.7;16.3;0.2;0.1;-0.1;-0.2
175;266;20.2;19.4;19.0;18.6;18.2;17.8;17.5;17.1;0.2;0.1;-0.1;-0.2
180;261;21.0;20.2;19.8;19.4;19.0;18.7;18.3;17.9;0.2;0.1;-0.1;-0.2
185;256;21.8;21.0;20.6;20.3;19.9;19.5;19.1;18.7;0.3;0.1;-0.1;-0.2
190;251;22.5;21.9;21.5;21.1;20.7;20.3;19.9;19.5;0.3;0.1;-0.1;-0.2
195;246;23.3;22.7;22.3;21.9;21.5;21.2;20.8;20.4;0.2;0.1;-0.1;-0.2
200;241;23.5;23.3;23.1;22.7;22.4;22.0;21.6;21.2;0.1;0.1;-0.1;-0.2
205;236;23.5;23.5;23.4;23.2;22.9;22.6;22.3;21.9;0.1;0.0;-0.1;-0.1
210;231;23.5;23.5;23.5;23.4;23.3;23.0;22.7;22.4;0.0;0.0;0.0;-0.1
215;226;23.5;23.5;23.5;23.5;23.4;23.3;23.1;22.8;0.0;0.0;0.0;0.0
220;221;23.5;23.5;23.5;23.5;23.5;23.4;23.3;23.2;0.0;0.0;0.0;0.0
225;216;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.4;0.0;0.0;0.0;0.0
230;211;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
235;206;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
240;201;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
245;196;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
250;191;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
255;186;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
260;181;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
265;176;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
